GEL-Biliary_common_SBS18	GEL-Biliary_common_SBS1	GEL-Biliary_common_SBS110	GEL-Biliary_common_SBS13	GEL-Biliary_common_SBS5	GEL-Biliary_common_SBS2	GEL-Biliary_common_SBS17	GEL-Biliary_rare_SBS88	unassigned
GEL-2629536-11	6198.478387979	2368.21102763195	1856.34120272862	3263.85813083525	0	0	1221.3824463236	0	1008.72880450158
GEL-2257042-11	0	1539.07328111401	370.722019147084	0	471.554395126197	0	0	0	500.650304612709
GEL-2563198-11	0	856.679425837321	280.523480418217	0	815.885167464115	743.865674286727	0	0	145.04625199362
GEL-2610056-11	0	1051.24848594414	0	702.837566663654	482.260869565217	0	2641.907258429	0	667.745819397989
GEL-2383195-11	0	0	0	3989.52347959969	0	2338.09982037465	0	0	1468.37670002566
GEL-2001652-11	0	2492.79478741609	0	0	390.859813084112	391.360273792286	0	0	526.985125707512
GEL-2649173-11	296.606310505558	332.119039082108	624.223736106131	0	1193.4277518824	0	0	0	343.623162423803
GEL-2891846-11	547.125381571509	614.572300734878	1209.01119276427	0	1671.07292255512	0	0	0	410.218202374223
GEL-2898088-11	482.230620422827	1553.41094376123	683.700290175487	274.278015752384	0	0	0	0	615.380129888072
GEL-2643445-11	0	2424.69027101844	1473.22319953565	3482.20940304505	0	1765.86685716837	1553.26249051212	0	504.74777872037
GEL-2106674-11	3960.78749471905	2997.67807351077	0	0	0	679.192789747923	2276.8508660752	0	771.490775947057
GEL-2758244-11	545.364743250397	434.689253573319	641.517204870302	262.41609317099	1399.71942826893	300.476442562202	0	0	199.81683430386
GEL-2261267-11	0	1355.97498309669	0	347.891548343475	772.98093306288	286.734820824882	367.441649763354	0	575.976064908719
GEL-2125919-11	1050.17142857143	2296.15450643777	0	0	0	0	0	0	737.6740649908
GEL-2681553-11	499.747006240513	771.109630629111	862.063585764884	1347.81767583066	1632.17372238151	0	813.088379153314	0	8.18545231595635e-12
GEL-2138631-11	850.983827107485	0	6765.42130623539	0	1418.30637851248	0	772.577453365775	0	660.711034778869
GEL-2593660-11	8599.41352942858	0	0	0	5465.62294543064	0	0	16703.5440642598	4234.41946088098
GEL-2123487-11	407.581589958159	384.99394026836	479.862068965517	0	752.419708555764	996.868272976482	450.247150483336	0	7.02726879238207
GEL-2077348-11	1651.01109805458	0	1056.60704182443	1034.07276842059	790.702615659137	0	6260.02115158637	0	713.585324454893
GEL-2329066-11	497.896213183731	990.783410138249	253.957122821078	0	571.027850130234	0	0	0	186.335403726708
GEL-2748137-11	215.297027403623	798.957733395262	0	220.817464003716	478.270552717139	0	0	0	447.65722248026
GEL-2848345-11	0	218.66143332102	540.398965644625	254.187661618027	1331.48300701884	0	0	0	364.268932397488
GEL-2266772-11	432.801939687831	1799.65085619033	0	0	0	231.498711926049	251.629034702228	0	605.419457493562
GEL-2178930-11	842.586775157071	0	764.578741373983	452.046554743022	1736.17880317231	0	734.075599958801	0	325.533525594813
GEL-2941157-11	0	0	0	2512.24757886662	0	7502.65797296002	0	0	440.09444817336
GEL-2680693-12	7074.04001383194	1211.77770093366	0	0	0	0	1253.80467322037	0	588.37761201403
