GEL-Bladder_common_SBS13	GEL-Bladder_common_SBS17	GEL-Bladder_common_SBS92+100	GEL-Bladder_common_SBS1	GEL-Bladder_common_SBS2	GEL-Bladder_common_SBS2+13+107	GEL-Bladder_common_SBS92	GEL-Bladder_rare_SBS57	GEL-Bladder_rare_SBS94	GEL-Bladder_rare_SBS23	GEL-Bladder_rare_SBS109	GEL-Bladder_rare_SBS31	GEL-Bladder_rare_SBS33	GEL-Bladder_rare_SBS6	GEL-Bladder_rare_SBS20	GEL-Bladder_rare_SBS4	GEL-Bladder_rare_SBS147	GEL-Bladder_rare_SBS105	unassigned
GEL-2461138-11	2730.95892430099	0	14823.2770466407	4257.43596492547	2358.4645269	3632.44536525937	3968.9403041196	0	0	0	0	0	0	0	0	0	0	0	1471.47786785387
GEL-2556474-11	1268.01300954033	0	0	1945.28701936976	848.843422954611	1579.13888407054	2391.46753396936	0	0	0	0	0	0	0	0	0	0	0	618.250130095399
GEL-2593344-11	14479.843169501	0	3308.79224444029	3280.27679872921	27477.8837039806	0	0	0	0	0	0	0	0	0	0	0	0	0	4992.2040833489
GEL-2527101-11	0	0	425.601882819274	1726.85593955159	0	0	540.359717577109	1001.38684503902	0	0	0	0	0	0	0	0	0	0	333.795615013007
GEL-2159374-11	445.335547011534	0	408.098450425259	2505.95595945474	0	0	728.136199464057	0	0	0	0	0	0	0	0	0	0	0	231.47384364441
GEL-2136429-11	4519.31342158177	0	0	1829.69772117962	1910.09655663539	0	2507.34504859249	0	0	0	0	0	0	0	0	0	0	0	1154.54725201073
GEL-2162770-11	0	0	966.042109220791	1051.32512454178	0	446.364319954883	2665.71764263559	0	0	0	0	0	0	0	0	0	0	0	176.550803646956
GEL-2955456-11	2251.17438692098	0	1600.11171662125	2019.79673024523	0	4356.11008174387	0	0	0	0	0	0	0	0	0	0	0	0	800.80708446867
GEL-2166517-11	2534.26714740549	0	2893.30499504502	3554.37468108883	0	7405.78067345605	6512.68652877053	0	0	0	0	0	0	0	0	0	0	0	815.58597423408
GEL-2757886-11	1515.19240204668	0	598.286254994042	2789.17256606154	753.101563047592	518.381579869629	871.460363075629	0	0	0	0	0	0	0	0	0	0	0	79.4052709048883
GEL-2500279-11	11665.4999656994	0	1749.59991767853	2820.96727721753	3349.14838444124	1923.65960074089	0	0	0	0	0	0	0	0	0	0	0	0	364.124854222409
GEL-2456418-11	36286.2168482722	0	4915.88760844023	0	10530.4039529381	6658.96130755983	0	0	0	0	0	0	0	0	0	0	0	0	3706.53028278964
GEL-2836044-11	1112.37356517786	0	907.896806455279	1663.81088760086	0	0	3404.6130242073	0	1042.38152062734	0	0	0	0	0	0	0	0	0	666.924195931361
GEL-2351611-11	43363.3008356973	0	0	0	16290.7455033351	0	0	0	0	0	0	0	0	0	0	0	0	0	5577.9536609676
