GEL-Bone_SoftTissue_common_SBS127	GEL-Bone_SoftTissue_common_SBS8	GEL-Bone_SoftTissue_common_SBS122	GEL-Bone_SoftTissue_common_SBS1	GEL-Bone_SoftTissue_common_SBS100	GEL-Bone_SoftTissue_common_SBS5	GEL-Bone_SoftTissue_common_SBS18	GEL-Bone_SoftTissue_common_SBS13	GEL-Bone_SoftTissue_common_SBS3	GEL-Bone_SoftTissue_common_SBS17	GEL-Bone_SoftTissue_rare_SBS7a	GEL-Bone_SoftTissue_rare_SBS124_a	GEL-Bone_SoftTissue_rare_SBS31	GEL-Bone_SoftTissue_rare_SBS30	GEL-Bone_SoftTissue_rare_SBS57	GEL-Bone_SoftTissue_rare_SBS44	GEL-Bone_SoftTissue_rare_SBS26	GEL-Bone_SoftTissue_rare_SBS108	GEL-Bone_SoftTissue_rare_SBS124_b	GEL-Bone_SoftTissue_rare_SBS135	GEL-Bone_SoftTissue_rare_SBS5+8	GEL-Bone_SoftTissue_rare_SBS96	GEL-Bone_SoftTissue_rare_SBS129	GEL-Bone_SoftTissue_rare_SBS117	unassigned
GEL-2961870-11	0	581.348081769812	434.013301596192	458.485858302996	350.107392887147	838.559647157659	0	0	514.423130775693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390.062587510501
GEL-2649052-11	0	1109.47984458475	1616.15565808645	1027.37032540068	899.199368625546	1105.47450218553	0	0	1068.42508499271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420.89521612433
GEL-2000070-11	0	521.350571182901	834.461982557425	618.194325021496	283.506326004176	602.639110674364	459.631494902346	0	406.442697457315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358.773492199977
GEL-2099954-11	0	0	657.768021821016	802.937524353812	468.046499545396	377.941291076763	445.520197428237	0	425.997402260034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675.789063514742
GEL-2572759-11	0	2452.33922178532	554.011855155819	1336.82211397382	0	694.887728153061	1944.28687129526	0	863.239391983098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666.412817653621
GEL-2898531-11	0	0	0	0	2847.97219584972	0	0	28716.0100366201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1655.01776753018
GEL-2848652-11	464.763754045307	618.843042071197	347.057281553398	427.885760517799	0	449.608414239482	0	208.638511326861	501.136569579288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.066666666668
GEL-2378331-11	0	0	288.098265895954	412.356300578035	308.139884393064	377.283468208093	0	0	286.094104046243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495.027976878611
GEL-2033892-11	480.362538654101	1079.06803121779	0	1301.27315564718	0	713.553084965395	943.248269768812	454.896333382418	1104.53423648947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705.064349874834
GEL-2511016-11	0	1543.12535504639	557.949252035599	960.634349555008	635.581329293694	0	415.206400302973	0	459.281386101117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718.221927665219
GEL-2889472-11	0	0	610.071994367189	981.725048406971	1329.33585636332	0	1186.08414011618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1583.78296074634
GEL-2813249-11	0	0	880.056869652743	0	0	467.764469048817	367.31504781077	0	809.592350276799	0	1476.25666834424	0	0	0	0	0	0	0	0	0	0	0	0	0	964.014594866631
GEL-2667704-11	0	0	0	0	0	328.597208854668	0	0	0	0	1160.70644850818	0	0	0	0	0	0	0	0	0	0	0	0	0	611.696342637152
GEL-2643035-11	0	0	457.272697422427	604.181579379412	0	323.901494007552	326.90986701691	0	473.317353472336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868.417008701363
GEL-2670123-11	0	709.064987221614	944.249908725812	579.688207374954	2008.34884994524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252.64804673238
GEL-2092602-11	0	1730.41498645802	533.862097502257	962.956891363226	744.399262714415	567.447788143244	787.007974721637	711.816130003009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625.094869094192
GEL-2640598-11	0	658.623679977621	1393.64570949017	0	0	802.432337925729	1120.00979089447	599.202741450451	1318.74536680887	451.39939855934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795.940974893349
GEL-2014511-11	0	695.753369763206	473.172313296903	452.664845173042	0	928.338069216758	0	0	613.72349726776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955.347905282331
GEL-2387245-11	0	2363.61851165717	1274.45587053025	1364.84281170261	960.612324792897	0	0	828.546960746618	1597.84026005802	0	0	4028.74682792128	0	0	0	0	0	0	0	0	0	0	0	0	1947.33643259116
GEL-2052787-11	0	323.547054545455	239.034763636364	380.055272727273	495.072	871.126690909091	0	0	711.603490909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417.560727272726
GEL-2578056-11	0	390.27089604075	442.30701551285	907.630006946052	568.39453577217	802.056726094003	0	319.221579069229	442.30701551285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449.812225052096
GEL-2153147-11	0	641.793103448276	2001.67639257294	556.021220159151	1640.13793103448	0	608.880636604775	1334.45092838196	783.915119363395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705.124668435023
