GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS2	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	GEL-Breast_common_SBS17	GEL-Breast_rare_SBS44	GEL-Breast_rare_SBS6	GEL-Breast_rare_SBS26	GEL-Breast_rare_SBS57	GEL-Breast_rare_SBS116	GEL-Breast_rare_SBS7a	GEL-Breast_rare_SBS96	GEL-Breast_rare_SBS30	GEL-Breast_rare_SBS87	GEL-Breast_rare_SBS94	GEL-Breast_rare_SBS4	GEL-Breast_rare_SBS124	GEL-Breast_rare_SBS105	GEL-Breast_rare_SBS31	GEL-Breast_rare_SBS23+114	GEL-Breast_rare_SBS33+114	GEL-Breast_rare_SBS136	GEL-Breast_rare_SBS123	GEL-Breast_rare_SBS114	unassigned
GEL-2965861-11	0	983.697828430618	0	245.052826120437	377.042661327584	0	663.933774834437	371.563837979362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592.709071307562
GEL-2239110-11	0	509.177835051546	0	166.713058419244	349.494845360825	242.537371134021	891.312285223368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.764604810996
GEL-2474917-11	12751.5099006011	0	0	7757.76468392724	0	1549.35172671198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3408.37368875968
GEL-2516072-11	0	1819.5748150385	3274.03593537672	0	0	1617.78831345312	1471.44315264986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1741.1577834818
GEL-2905314-11	0	861.635823653643	372.991684266103	281.37090813094	443.084081309398	0	912.703141499472	404.032602956705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517.181758183739
GEL-2464811-11	1253.57246039143	782.672180801491	0	509.310577819198	352.676374650513	543.231360671016	619.054287045666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.482758620686
GEL-2142020-11	0	798.94327563249	0	0	260.448468708389	0	453.52223701731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375.086018641811
GEL-2674175-11	0	494.967328203051	0	0	541.511273120022	0	1686.59241258269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983.928986094237
GEL-2916300-11	0	0	515.569487750557	0	0	819.700371195249	3407.06755753526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006.66258351893
GEL-2662453-11	0	591.275333662877	0	0	204.807711319822	269.722194760257	742.239248640633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227.955511616411
GEL-2588453-11	0	615.042351576098	260.653645329723	0	263.159930380971	413.035776445562	803.514987429897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.593308837749
GEL-2042229-11	4780.88501607717	2372.19485530547	4471.42482315113	2415.68926045016	3655.52977491961	0	1567.79832797428	3103.60077170418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954.877170418
GEL-2743428-11	0	895.465167440724	525.599120019555	0	443.240283549254	530.590564654119	1205.43387924713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483.670985089218
GEL-2238639-11	0	865.712444771723	0	0	572.140402552774	2555.62714776632	1145.28105056456	1517.87248404516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1493.36647029946
GEL-2853024-11	0	626.578469022017	503.169098822325	239.795442908346	426.916154633897	0	1164.36239119304	520.727342549923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437.451100870452
GEL-2375129-11	0	672.976323355319	273.09910366988	0	404.888212413327	325.714527312701	900.976492474209	242.030948756976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.314392017588
GEL-2661080-11	0	524.777868185517	0	0	0	267.651749389748	597.454841334418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458.115541090317
GEL-2604973-11	0	481.615319687698	0	0	258.598860519097	432.000422029964	912.613420552859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290.171977210382
GEL-2401702-11	4907.28032227626	0	0	5913.14524207012	0	0	1182.42897582928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1779.14545982434
GEL-2495816-11	26608.4771554147	0	0	0	4054.13923953595	2689.75583891245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5792.6277661369
GEL-2613596-11	663.037180480248	409.449264136328	0	676.067389620449	0	580.34546862897	977.766847405112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575.333849728893
GEL-2269741-11	10945.4498370942	0	0	5787.56527090624	0	0	1151.41614577048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2822.56874622908
GEL-2897093-11	0	620.365721705259	0	334.927504869076	329.428695087643	226.950876433672	493.893096732309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304.434105172041
GEL-2133130-11	0	914.185097224284	1451.20639750631	0	825.763915689476	619.947380139528	1139.9838206917	0	600.964301617931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178.94908713077
GEL-2659277-11	0	1293.35530194241	3586.16688081022	0	4248.81188118812	848.265437230746	0	1207.03181921246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020.36867961604
GEL-2122666-11	0	536.834460662157	458.138839444642	0	347.864720541118	219.545745817017	513.275898896404	391.473122107512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.86721253115
GEL-2315350-11	0	788.954462659381	0	0	412.906091884234	236.088646023072	773.015988666262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.034810767051
GEL-2542905-11	0	774.495474035255	0	0	411.922820390662	0	586.662696522154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340.919009051929
GEL-2147517-11	171.393926701571	911.094031413613	214.492984293194	0	199.959581151832	0	621.92942408377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.13005235602
GEL-2195778-11	0	994.798570622532	0	0	385.083317660335	0	713.005830355464	290.818130524732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282.294150836937
GEL-2094671-11	1495.86551344018	465.802425167472	582.752819469177	588.750275587213	738.186890528279	363.845671160858	1348.42805053845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.368354108371
GEL-2043307-11	5296.97622820919	0	2178.2565451664	2696.9604437401	2542.54858954041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3051.2581933439
GEL-2871850-11	0	0	0	0	0	0	11559.4586358767	0	0	77517.0755862397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11739.4657778836
GEL-2968043-11	0	701.162268770403	0	309.908732317737	455.63071273123	326.377312295974	1068.96055495103	436.167845484222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.792573449404
