GEL-CNS_common_SBS5	GEL-CNS_common_SBS8	GEL-CNS_common_SBS120	GEL-CNS_common_SBS3	GEL-CNS_common_SBS1	GEL-CNS_rare_SBS11_a	GEL-CNS_rare_SBS113	GEL-CNS_rare_SBS11_b	GEL-CNS_rare_SBS14	GEL-CNS_rare_SBS121	GEL-CNS_rare_SBS4	GEL-CNS_rare_SBS17	GEL-CNS_rare_SBS7a	GEL-CNS_rare_SBS119	GEL-CNS_rare_SBS137	GEL-CNS_rare_SBS2+13	unassigned
GEL-2936800-11	1079.64906103286	1135.1567246617	742.102457884562	836.115437724386	3449.97631869649	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2737798-11	654.923695246971	2495.70922646785	972.886649580615	961.387989282386	3498.09243942218	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2446731-11	922.354216680864	936.828389994579	945.812359637575	0	3330.05808100364	0	0	0	0	0	0	0	0	0	0	0	309.946952683342
GEL-2222585-11	794	2163.5	935	941.5	1444	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2058230-11	1099.6316004912	361.522717969709	1303.9923591213	0	709.990448901624	0	0	0	0	0	0	0	0	0	0	0	204.862873516167
GEL-2212670-11	683.083059710568	532.564757387815	532.564757387815	352.042806761523	2011.74461875228	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2459748-11	1182.45045507585	2534.75015169195	1104.02007001167	1346.80457409568	4534.97474912485	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2370258-11	549.666666666667	692.949439903118	2188.1825613079	597.594005449591	918.607326672722	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2874107-11	2157.49163194207	1094.22781610766	486.434455905458	0	3154.33267299679	0	0	0	0	0	0	0	0	0	0	0	418.513423048023
GEL-2226234-11	805.826086956522	2799.42185227089	2221.76337481817	932.641344755132	2507.34734119929	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2451868-11	2056.75021250759	0	891.741347905282	0	953.688646023072	0	0	0	0	0	0	0	0	0	0	0	211.819793564056
GEL-2167339-11	622.057999640869	1207.08277967319	686.615909499012	0	2674.8994433471	0	0	0	0	0	0	0	0	0	0	0	383.343867839829
GEL-2730190-11	2500.81577671211	1207.47971334662	2710.46500350234	0	2710.46500350234	0	0	0	0	0	0	0	0	0	0	0	134.774502936591
GEL-2729575-11	1800.9024352651	3404.54171804357	4091.45807644883	0	0	0	0	0	0	0	0	0	0	0	0	0	448.097770242501
GEL-2098979-11	673.682424242424	1700.93575757576	773.561212121212	633.231515151515	2810.58909090909	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2279578-11	1030.70873224957	1761.43879714708	936.871811347427	1537.32827860952	2501.65238064641	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2041330-11	943.925061522585	0	2399.30951813924	1265.39953957291	1689.36588076526	0	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
GEL-2665022-11	1525.61673391616	2439.98800717328	677.663472315624	810.998879175073	3456.73290741986	0	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
GEL-2176280-11	0	1283.94197134722	4769.78442626655	3898.82378993989	989.455280878565	0	0	0	0	0	0	0	0	0	0	0	120.994531567774
GEL-2549670-11	844.776879225772	0	1373.51849396792	1034.29722921914	549.407397587167	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2479836-11	780.288914378247	2963.49625531341	629.13609068214	987.998920450712	2057.07981917549	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2644324-11	0	0	0	0	0	89916.1327864677	0	0	0	0	0	0	0	0	0	0	4325.8672135323
GEL-2038718-11	530.707610146863	223.798397863818	207.276368491322	410.547396528705	877.670226969292	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2078900-11	0	5767.02609716453	5124.91288904942	0	5046.46014689061	0	0	0	0	0	0	0	0	0	0	0	662.600866895438
GEL-2579049-11	1816.58094132545	2891.9449134656	734.723828619671	1235.69459687632	2787.05571971296	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2988845-11	954.280150548192	1712.90034364261	596.487645229913	566.463099329079	2285.8687612502	0	0	0	0	0	0	0	0	0	0	0	6.3664629124105e-12
GEL-2291233-11	419.388977972825	1885.74900835514	1016.44273778378	1341.74445100852	1266.67482487974	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2117544-11	574.075562700965	2595.32073954984	960.453376205788	1025.34887459807	2917.80144694534	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2930199-11	738.84155027287	997.961335676626	778.860049949126	435.701415225234	2456.63564887614	0	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
GEL-2719590-11	883.111232976876	1283.70807056028	590.405812996984	1260.23169728544	1447.54318618042	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2291778-11	895.981574906778	745.817065145865	827.906997148497	706.774292608028	3669.52007019083	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2773494-11	816.619642472539	2116.2186086582	1074.84126642257	1088.32672840836	1860.99375403834	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2996245-11	542.225458898643	0	1057.36472466081	576.835594573025	301.459297685555	0	0	0	0	0	0	0	0	0	0	0	36.1149241819671
GEL-2585923-11	0	1651.16242257399	2242.18926359257	1049.09772883689	997.922229869236	0	3506.02339986235	0	0	0	0	0	0	0	0	0	30.6049552649638
GEL-2140051-11	1303.7378435518	1443.44186046512	1296.25369978858	2101.54756871036	0	0	0	0	0	0	0	0	0	0	0	0	227.01902748414
GEL-2529414-11	1174.25097760398	1637.2442232492	707.25346605048	762.812655527906	1350.43867756843	0	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
GEL-2453096-11	2031.21430121528	0	1275.58854166667	0	954.184353298611	0	0	0	0	0	0	0	0	0	0	0	360.012803819439
GEL-2751842-11	874.727681721948	1597.58944954128	786.805310515173	564.002028934368	1839.87552928723	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2752397-11	422.460287621017	1279.8796879406	711.933076416957	840.92095121722	2063.80599680421	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2924043-11	0	4164.45578231293	1067.59141156463	1128.03996598639	1502.22151360544	0	0	0	0	0	0	0	0	0	0	0	362.69132653061
GEL-2051944-11	3181.5611305588	793.514067159341	1545.00090755867	0	2197.92389472319	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2541776-11	900.420280530176	1045.32698494402	297.808261485008	601.612662463004	1037.83181057779	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2691212-11	2732.56424210247	1743.26506503849	2863.97115299531	0	3523.00429165561	0	0	0	0	0	0	0	0	0	0	0	430.19524820812
GEL-2824491-11	684.773538762534	1940.44142822206	661.298442977093	725.230618733187	2115.25597130513	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2435750-11	1042.42280022136	1172.8505810736	504.720531267294	1079.40232429441	715.603763143332	0	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
GEL-2902897-11	64.9365853658537	0	60.3707317073171	0	0	0	0	0	0	0	0	0	0	0	0	0	82.6926829268292
GEL-2703740-11	1637.65650691799	0	0	1836.73631441749	1202.48205333868	0	0	0	0	0	0	0	0	0	0	0	312.12512532584
GEL-2956380-11	564.5	650.5	501	588	0	0	0	0	0	0	0	0	0	0	0	0	54
GEL-2975468-11	0	2308.47049429051	651.427293779446	673.907530144534	2310.96829833107	0	0	0	0	0	0	0	0	0	0	0	311.22638345444
GEL-2381037-11	1547.29270980948	2051.73610455046	561.380569988978	0	1736.08439615809	0	0	0	0	0	0	0	0	0	0	0	447.506219492992
GEL-2743465-11	3584.91860329324	0	0	0	0	48500.1632605395	0	0	0	0	0	0	0	0	0	0	3580.91813616726
GEL-2497039-11	0	2359.58747354003	1140.28389988793	618.654028140954	3411.3493338314	0	0	0	0	0	0	0	0	0	0	0	503.125264599686
GEL-2483364-11	1038.99807692308	0	768.738461538462	1827.25528846154	2254.16538461538	0	0	0	0	0	0	0	0	0	0	0	356.842788461538
GEL-2995715-11	902.413360323887	483.561133603239	469.014170040486	423.366801619433	199.644534412955	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2816225-11	1218.34023808275	3174.99265824112	1215.83748492317	1764.94152813467	2170.88809061828	0	0	0	0	0	0	0	0	0	0	0	1.09139364212751e-11
GEL-2781237-11	385.390968228528	2510.78966720091	1499.57575186198	906.243612708589	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2773290-11	664.728770699078	2660.91426706909	1005.58968920793	707.211436495636	1088.55583652826	0	0	0	0	0	0	0	0	0	0	0	6.3664629124105e-12
GEL-2696315-11	0	2412.2220396426	994.121803430215	954.076614973811	0	0	0	0	0	0	0	0	0	0	0	0	513.579541953374
GEL-2434562-11	849.655172413793	1888.23367139959	856.152535496957	443.819878296146	2122.13874239351	0	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
GEL-2613309-11	650.188788846936	1740.50537322103	873.253557943654	945.274469939007	956.777810049376	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2579033-11	251.772307692308	0	599.84	369.633846153846	245.753846153846	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2329269-11	787.794994156603	759.211725749903	0	0	3041.86151149201	0	0	0	0	0	0	0	0	0	0	0	560.131768601485
GEL-2752928-11	1158.42878265155	2660.68802365697	1246.38541153277	1316.85066535239	1729.64711680631	0	0	0	0	0	0	0	0	0	0	0	1.00044417195022e-11
GEL-2894644-11	1072.5	284.5	1043	0	751	0	0	0	0	0	0	0	0	0	0	0	236
GEL-2949710-11	557.682398167839	2468.80745951251	1072.85089154261	850.77825944708	1164.88099132995	0	0	0	0	0	0	0	0	0	0	0	1.09139364212751e-11
GEL-2288436-11	0	1644.66852057842	798.610678531702	0	4282.73081201335	0	0	0	0	0	0	0	0	0	0	0	457.989988876528
GEL-2354436-11	2593.02330835561	4945.76646458561	0	1392.62371502805	3854.99469066536	0	0	0	0	0	0	0	0	0	0	0	507.591821365369
