GEL-Kidney_common_SBS13	GEL-Kidney_common_SBS5	GEL-Kidney_common_SBS1	GEL-Kidney_common_SBS125	GEL-Kidney_common_SBS107	GEL-Kidney_rare_SBS150	GEL-Kidney_rare_SBS57	GEL-Kidney_rare_SBS22	GEL-Kidney_rare_SBS17	GEL-Kidney_rare_SBS44	GEL-Kidney_rare_SBS26	GEL-Kidney_rare_SBS6	GEL-Kidney_rare_SBS18	GEL-Kidney_rare_SBS31_a	GEL-Kidney_rare_SBS168	GEL-Kidney_rare_SBS117	GEL-Kidney_rare_SBS13	GEL-Kidney_rare_SBS2+13	GEL-Kidney_rare_SBS141	GEL-Kidney_rare_SBS121	GEL-Kidney_rare_SBS108	GEL-Kidney_rare_SBS152	GEL-Kidney_rare_SBS138	GEL-Kidney_rare_SBS153	GEL-Kidney_rare_SBS127	GEL-Kidney_rare_SBS31_b	unassigned
GEL-2938037-11	718.664168532651	2306.52689302198	1326.30297491203	1935.44212402321	4657.06383951012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-12
GEL-2244282-11	0	3109.78084701571	460.467549855542	2916.29448241843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608.457120710318
GEL-2578134-11	201.704204204204	1064.35435435435	633.783783783784	606.118618618619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.039039039043
GEL-2608193-11	503.358506576156	2037.90284259652	716.087399236317	2206.18837505303	1598.46287653797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.27595761418343e-12
GEL-2908555-11	0	1406.95391705069	358.142857142857	759.986175115207	1028.21658986175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.700460829496
GEL-2971390-11	2779.4438092676	3102.03107135651	1358.26215616383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.26296321206
GEL-2810616-11	0	3340.72615756738	426.197650310988	1854.56288873531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.513303386322
GEL-2287254-11	0	2173.62070139598	668.343207354443	903.166496424923	519.320735444331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.548859380323
GEL-2185761-11	0	2577.02639296188	619.588269794721	1053.35014662757	1399.45806451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328.577126099699
GEL-2551296-11	217.364705882353	1052.26554621849	586.484033613445	407.183193277311	418.702521008403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2849578-11	0	904.534184823441	541.217129977461	227.511645379414	268.102930127724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.63410969196
GEL-2125568-11	456.779931584949	1864.18301026226	1062.31385404789	1509.07668187001	2135.64652223489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2824666-11	282.174181593576	1890.16676961087	497.80728844966	1459.40086473132	730.450895614577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
