GEL-Lung_common_SBS4_a	GEL-Lung_common_SBS2	GEL-Lung_common_SBS3+8	GEL-Lung_common_SBS92	GEL-Lung_common_SBS17	GEL-Lung_common_SBS13	GEL-Lung_common_SBS1+5	GEL-Lung_common_SBS4_b	GEL-Lung_rare_SBS5	GEL-Lung_rare_SBS44	GEL-Lung_rare_SBS148	GEL-Lung_rare_SBS18	GEL-Lung_rare_SBS1+18	GEL-Lung_rare_SBS31	GEL-Lung_rare_SBS33	GEL-Lung_rare_SBS113	GEL-Lung_rare_SBS7a	GEL-Lung_rare_SBS3	GEL-Lung_rare_SBS7a+38	GEL-Lung_rare_SBS144	unassigned
GEL-2579316-11	13919.6546346061	0	0	10071.4207331441	0	3453.65865152654	2973.56709266968	8696.65855054251	0	0	0	0	0	0	0	0	0	0	0	0	5455.04033751107
GEL-2168392-11	11615.3354385965	0	3743.62466165414	16406.855037594	0	0	3056.1935839599	10387.9584962406	0	0	0	0	0	0	0	0	0	0	0	0	4660.03278195486
GEL-2784036-11	9664.54629694507	0	0	5640.7779918722	0	0	3487.09914517937	7262.28909753363	0	0	0	0	0	0	0	0	0	0	0	0	2498.28746846973
GEL-2765846-11	0	572.863991593879	1560.35331976095	849.280882642674	0	588.387403953504	2873.33355224273	616.930452485716	0	0	0	0	0	0	0	0	0	0	0	0	563.850397320547
GEL-2330541-11	34333.4148527718	0	9684.78349921734	10109.2082754954	0	0	0	5605.50649753389	0	0	0	0	0	0	0	0	0	0	0	0	7973.08687498157
GEL-2913373-11	5993.36151143346	0	0	8706.96818924861	0	1753.00693335338	2600.47716127093	5152.89930666466	0	0	0	0	0	0	0	0	0	0	0	0	2434.28689802896
GEL-2631216-11	17116.8225138049	3527.00884142841	0	5743.45702982286	0	3255.39264501717	2603.61381642815	14002.990427875	0	0	0	0	0	0	0	0	0	0	0	0	1670.71472562351
GEL-2959172-11	1976.83118326327	0	0	2482.16021645649	0	0	1216.5883944533	2653.10238198773	0	0	0	0	0	0	0	0	0	0	0	0	2016.31782383921
GEL-2491410-11	9958.04962190208	0	0	2299.62692498758	0	2114.11668598554	2957.66324446652	6626.86576143953	0	0	0	0	0	0	0	0	0	0	0	0	3220.67776121875
GEL-2092923-11	10740.2022820504	0	2362.61463683684	2806.85414871247	0	0	2038.8045089455	9109.65838188149	0	0	0	0	0	0	0	0	0	0	0	0	1933.8660415733
GEL-2036127-11	7705.30706450526	1582.97396203811	2002.09945340871	5741.71914192655	0	0	2975.3908689304	5097.02611283741	0	0	0	0	0	0	0	0	0	0	0	0	1614.48339635356
GEL-2821342-11	16370.6602930308	0	7265.68628808052	7912.43582765376	0	0	3789.53246448555	2974.84795945898	0	0	0	0	0	0	0	0	0	0	0	0	4293.83716729039
GEL-2026678-11	12163.6440982328	10998.2740039878	0	19117.3689548838	0	12583.0973410777	9247.96911340359	14889.8402045896	0	0	0	0	0	0	0	0	0	0	0	0	1737.80628382471
GEL-2539739-11	9688.88167772098	0	1892.83281704327	2058.99370949657	0	0	0	9335.53953894981	0	0	0	0	0	0	0	0	0	0	0	0	3358.75225678937
GEL-2854761-11	17599.1233325787	0	0	9149.28591351596	0	0	10219.9417160969	12759.9389630971	0	0	0	0	0	0	0	0	0	0	0	0	5440.71007471134
GEL-2816654-11	9088.79305499799	0	0	2258.95730630269	0	0	1749.30535929346	8949.8879164994	0	0	0	0	0	0	0	0	0	0	0	0	2846.05636290646
GEL-2066890-11	1192.23930044689	1319.92557579924	1381.51542626332	3122.55534547955	0	1865.72181161911	2521.17802509453	0	0	0	0	0	0	0	0	0	0	0	0	0	249.86451529736
GEL-2329723-11	4871.00375812628	0	4582.62194318283	8725.42413393891	0	0	3590.02872918336	3140.21307329237	0	0	0	0	0	0	0	0	0	0	0	0	3151.70836227625
GEL-2784011-11	42516.7019007881	0	9905.59017153454	11079.1339823829	11572.3625405656	0	0	35204.3133982383	0	0	0	0	0	0	0	0	0	0	0	0	10569.8980064905
GEL-2832522-11	16435.6001955135	0	7146.58733278452	9474.593033546	0	0	3198.88192014818	7168.09662481992	0	0	0	0	0	0	0	0	0	0	0	0	5187.24089318788
GEL-2497254-11	8402.83669981355	0	3589.70704963154	15221.4787356832	0	0	3604.21799254195	8079.59293705052	0	0	0	0	0	0	0	0	0	0	0	0	6188.16658527924
GEL-2978471-11	8234.53424384228	1723.99483077593	0	3248.27986360504	0	0	2494.87465085065	8726.81889578119	0	0	0	0	0	0	0	0	0	0	0	0	3098.49751514491
GEL-2469629-11	0	202.739384181928	374.714831958141	0	0	0	657.137854699135	0	985.45461863554	0	0	0	0	0	0	0	0	0	0	0	285.953310525256
GEL-2309118-11	0	0	2443.49357798165	0	0	0	5818.05626911315	0	0	10822.6152905199	0	0	0	0	0	0	0	0	0	0	3819.8348623853
GEL-2291083-11	0	1630.1697934944	1106.83115130247	1091.2914023485	0	1031.6388176542	2409.66365231475	0	0	0	0	0	0	0	0	0	0	0	0	0	158.40518288568
GEL-2253887-11	10377.0780451624	1812.40234053074	3552.8284160211	3037.49835173892	0	0	2917.53791000494	7595.49530245591	0	0	0	0	0	0	0	0	0	0	0	0	1032.15963408599
GEL-2085102-11	12170.8752958534	0	5229.44641850839	10146.3960388938	0	3110.46812979641	7116.92707917089	8411.41381571532	0	0	0	0	0	0	0	0	0	0	0	0	2613.47322206179
GEL-2721366-11	19632.4331555591	0	3265.81871007542	3848.14300212931	0	0	0	17909.973930867	0	0	0	0	0	0	0	0	0	0	0	0	5622.63120136917
GEL-2977775-11	252.541780134728	0	400.859968467823	619.328651282786	0	0	1987.26329367923	0	0	0	0	0	0	0	0	0	0	0	0	0	236.006306435433
GEL-2776955-11	12789.274336127	3323.9413498015	0	10991.3060608734	0	11288.8008116453	7158.3736921041	6949.87737097486	0	0	0	0	0	0	0	0	0	0	0	0	4172.42637847384
GEL-2971766-11	2624.8036598493	0	1341.13326157158	1948.74058127018	0	0	2505.38083961249	1677.41593110872	0	0	0	0	0	0	0	0	0	0	0	0	1507.52572658773
GEL-2232816-11	0	0	0	1044.50216450216	0	0	676.825396825397	0	0	0	0	0	0	0	0	0	0	0	0	0	358.672438672443
GEL-2295099-11	34837.5691512327	0	7845.65503726008	15214.6791539803	0	0	0	18198.4987467829	0	0	0	0	0	0	0	0	0	0	0	0	13098.597910744
GEL-2411209-11	0	9510.62541091387	0	0	0	7569.98767258383	3829.75854700855	0	0	0	0	0	0	0	0	0	0	0	0	0	390.628369493748
GEL-2689121-11	0	1249.60665658094	2883.6308623298	987.50378214826	0	0	3440.78668683812	1049.40998487141	0	0	0	0	0	0	0	0	0	0	0	0	1279.06202723147
GEL-2155298-11	25628.9929039301	0	0	6591.79858078603	0	0	0	28655.3186408297	0	0	0	0	0	0	0	0	0	0	0	0	12423.8898744542
GEL-2081632-11	44221.1060419236	9205.48122767081	9323.96811470486	9667.93004837333	0	12335.6348129881	0	35348.5879651586	0	0	0	0	0	0	0	0	0	0	0	0	6399.2917891807
GEL-2233640-11	10657.8514226412	2987.1555824613	3740.43829456024	4268.93505145723	0	2255.85194153766	0	8757.16129032258	0	0	0	0	0	0	0	0	0	0	0	0	1988.60641701979
GEL-2351166-11	27241.8349754806	0	4618.56540987093	11854.4512349935	0	0	0	24901.0484138082	0	0	0	0	0	0	0	0	0	0	0	0	8985.09996584678
GEL-2473000-11	18075.1607756208	0	0	6197.66881385319	0	0	2747.02893763649	12968.6132540301	0	0	0	0	0	0	0	0	0	0	0	0	5517.52821885942
GEL-2400693-11	29763.8185291095	0	6806.71629953979	11083.4805191904	0	0	3842.18656449667	9281.15846030115	0	0	0	0	0	0	0	0	0	0	0	0	6377.63962736249
GEL-2728837-11	16967.9331813718	0	0	4482.83055882246	0	0	3693.74050947537	11964.7027292457	0	0	0	0	0	0	0	0	0	0	0	0	4081.79302108467
GEL-2700361-11	3670.55643811523	0	0	4902.41780375025	0	2587.85991886755	3095.42083912513	1875.07219653343	0	0	0	0	0	0	0	0	0	0	0	0	1513.67280360841
GEL-2929313-11	6013.42964578908	0	0	1728.27900568345	0	0	4320.19685400999	3580.22108042942	0	0	0	0	0	0	0	0	0	0	0	0	1799.87341408806
GEL-2882057-11	7127.59323038247	0	6691.34270066439	5278.53135212785	0	0	2924.67958340815	2788.60143652361	0	0	0	0	0	0	0	0	0	0	0	0	3050.25169689353
GEL-2161564-11	25772.4607942669	0	9365.94063899672	7590.04670050761	0	0	0	25949.9501940878	0	0	0	0	0	0	0	0	0	0	0	0	6669.60167214097
GEL-2434500-11	25361.0028502209	0	0	8427.18901714883	0	0	0	22355.4319984799	0	0	0	0	0	0	0	0	0	0	0	0	6958.37613415037
GEL-2680285-11	10791.3506284908	6635.52624085859	0	2815.02630778404	0	6687.49903262311	2531.17490660858	9177.19565349655	0	0	0	0	0	0	0	0	0	0	0	0	2431.22723013833
GEL-2536420-11	18726.4787523861	3618.54174465798	3689.57200837673	7183.06047183973	0	0	4597.4588298523	13188.1190348227	0	0	0	0	0	0	0	0	0	0	0	0	2978.76915806446
GEL-2019515-11	14443.1832744914	0	4590.28698032999	5641.00931863487	0	0	0	11812.8783533876	0	0	0	0	0	0	0	0	0	0	0	0	5138.64207315614
GEL-2993075-11	6818.10682671963	1515.68992616262	3743.76410898571	5547.70488794853	0	1386.80132993653	1581.13336068051	2185.1113174144	0	0	0	0	0	0	0	0	0	0	0	0	360.688242152071
GEL-2340602-11	14144.1978171165	6488.29711866526	3958.65597256212	12072.4012254158	0	4894.33829334953	7131.57871420661	6536.78065772316	0	0	0	0	0	0	0	0	0	0	0	0	735.750200961018
GEL-2155753-11	9057.14427337589	0	3063.6004506196	11842.9182125422	0	0	3939.12940292903	8540.53713856553	0	0	0	0	0	0	0	0	0	0	0	0	3548.67052196775
GEL-2394041-11	76385.343875177	12486.2533671052	37686.3102788312	19796.36533358	0	23726.231915817	0	29812.57402651	0	0	0	0	0	0	0	0	0	0	0	0	10979.9212029796
GEL-2322789-11	8779.00693512304	0	0	9812.36138702461	0	0	3900.1120059657	6417.91217002237	0	0	0	0	0	0	0	0	0	0	0	0	4659.60750186428
GEL-2453780-11	25467.6197753884	0	0	6411.48479909079	0	0	4472.01064736582	23040.7725994826	0	0	0	0	0	0	0	0	0	0	0	0	7599.11217867239
GEL-2465198-11	15675.2533963379	0	0	2714.60248080331	0	0	3983.85174246899	16354.6544595393	0	0	0	0	0	0	0	0	0	0	0	0	4468.6379208505
GEL-2984975-11	14545.0075891769	10322.31182254	4441.62814658325	3954.77851629154	0	12977.9915820265	0	11585.9215405867	0	0	0	0	0	0	0	0	0	0	0	0	3688.36080279511
GEL-2395489-11	0	1655.96477565447	3727.2986281675	0	0	2156.51207092793	2203.10956688432	2010.70700293536	0	0	3311.42850296532	0	0	0	0	0	0	0	0	0	1662.9794524651
GEL-2073557-11	0	11340.1201097362	0	0	1029.14702940588	1873.26762495356	2509.35850027148	0	0	0	0	0	0	0	0	0	0	0	0	0	747.106735632879
GEL-2686288-11	8504.70093818771	0	4032.8888459905	7544.27481564418	0	0	2429.84305625265	0	0	0	0	0	0	0	0	0	0	0	0	0	3414.29234392496
GEL-2774804-11	10275.2955725191	0	2746.885971162	0	0	0	1785.87630195081	10867.918201866	0	0	0	0	0	0	0	0	0	0	0	0	3830.02395250209
GEL-2204950-11	53704.4367227745	0	18657.5202502434	13762.7525893843	0	0	0	38526.1067252901	0	0	0	0	0	0	0	0	0	0	0	0	12503.1837123077
GEL-2489354-11	8349.79949310463	0	14768.9546190659	19013.5734671498	4035.71143274196	9026.99936819631	6079.30574215147	4599.46158706182	0	0	0	0	0	0	0	0	0	0	0	0	2946.1942905281
GEL-2650305-11	0	708.034355913381	0	1350.79601610217	0	861.001665741255	3313.95953636868	0	0	0	0	0	0	0	0	0	0	0	0	0	945.208425874514
GEL-2526582-11	3553.38445997138	0	0	1672.3281420995	0	0	2135.83483458204	2476.20691977439	0	0	0	0	0	0	0	0	0	0	0	0	2054.24564357269
GEL-2034151-11	0	1565.70558681672	0	0	0	1581.75381832797	3588.78577170418	2552.67182475884	0	0	0	5346.06712218649	0	0	0	0	0	0	0	0	338.0158762058
GEL-2520817-11	36969.0838966244	0	10891.1139171744	21848.7315830741	0	0	5547.81272260458	14024.7905582346	0	0	0	0	0	0	0	0	0	0	0	0	8290.46732228792
GEL-2577953-11	15104.2409575874	0	6260.0504640946	14628.1230346172	4795.18765277135	0	0	12459.0858162119	0	0	0	0	0	0	0	0	0	0	0	0	7316.31207471755
GEL-2323794-11	804.724813205059	777.734043072716	1409.51799580017	1212.58533964936	1279.5624359037	1099.62396835474	3458.81720955218	0	0	0	0	0	0	0	0	0	0	0	0	0	192.434194462076
GEL-2908510-11	27479.674944121	0	6809.16724387788	3911.09606268268	0	0	3322.08159555916	16200.8979195834	0	0	0	0	0	0	0	0	0	0	0	0	3348.08223417588
GEL-2993936-11	11339.1328413893	0	2871.62777337559	2460.46742934496	0	0	0	10149.6154912837	0	0	0	0	0	0	0	0	0	0	0	0	3442.15646460645
GEL-2193025-11	8608.23221188261	0	4273.61173944166	1862.26657122405	1725.7470293486	0	2448.35046528275	7633.09262705798	0	0	0	0	0	0	0	0	0	0	0	0	1392.69935576235
GEL-2999846-11	5029.38715702052	0	5006.43331147802	1644.69293278496	0	1704.07353321015	4312.32898213825	5896.64332121357	0	0	0	0	0	0	0	0	0	0	0	0	1521.44076215453
GEL-2321790-11	487.970973320158	0	0	569.047677865613	0	0	1891.4540513834	0	0	0	0	0	666.239006916996	0	0	0	0	0	0	0	462.288290513833
GEL-2285153-11	13546.5171573102	0	0	7495.47923401605	0	0	26486.9295234618	5314.30278490801	0	34111.0371070466	0	0	0	0	0	0	0	0	0	0	6247.73419325735
GEL-2913909-11	21221.6191145467	3641.41987350668	0	3109.0046943078	0	3066.01154368705	2976.52579995315	17474.7160459124	0	0	0	0	0	0	0	0	0	0	0	0	1864.70292808623
GEL-2384440-11	13402.6062556276	2017.22006878533	0	3236.95779886932	0	0	2144.29692827727	10588.4041507373	0	0	0	0	0	0	0	0	0	0	0	0	2504.51479770318
GEL-2501967-11	37164.0603748549	46922.207512176	0	11421.1722130913	0	47256.7125559794	0	40483.610428384	0	0	0	0	0	0	0	0	0	0	0	0	15712.2369155144
GEL-2426592-11	1617.2326511771	0	2192.20418525927	959.621480227727	0	0	2797.7273426681	883.492845053085	0	0	0	0	0	0	0	0	0	0	0	0	1314.72149561472
GEL-2547954-11	16555.8629714673	4994.41116793062	0	10836.8921537237	0	4704.88733270517	0	11601.455096832	0	0	0	0	0	0	0	0	0	0	0	0	5967.49127734121
GEL-2322783-11	19350.5	4238.5	18424.5	9462.5	0	0	0	11254	0	0	0	0	0	0	0	0	0	0	0	0	5501
GEL-2785782-11	1343.94763445208	628.677180212967	1084.66835152986	1258.85597789459	0	0	2190.35934762097	551.093610998787	0	0	0	0	0	0	0	0	0	0	0	0	369.397897290746
