GEL-NET_common_SBS3+8	GEL-NET_common_SBS4_a	GEL-NET_common_SBS4_b	GEL-NET_common_SBS92	GEL-NET_common_SBS2+13	GEL-NET_common_SBS17	GEL-NET_common_SBS1	GEL-NET_common_SBS5	GEL-NET_rare_SBS44	GEL-NET_rare_SBS7a	GEL-NET_rare_SBS57	GEL-NET_rare_SBS100	GEL-NET_rare_SBS156	unassigned
GEL-2611723-11	0	35497.6010598636	18519.6822406263	12929.2881204729	0	0	0	0	0	0	0	0	0	8243.42857903719
GEL-2499088-11	0	5444.13970818679	1553.32242225859	4374.54051607062	0	0	889.329665355016	1400.59407319706	0	0	0	0	0	718.073614931924
GEL-2829582-11	0	56117.4848526811	64871.6064750705	0	0	0	0	0	0	0	0	0	0	19837.9086722484
GEL-2674202-11	3979.52823491449	23443.7851726363	9168.12842852533	16743.8450306551	3325.948773798	0	0	0	0	0	0	0	0	5373.76435947078
GEL-2996577-11	0	9467.40663396514	4325.01852557387	0	2580.43127916944	1280.22945042385	0	0	0	0	0	0	0	3315.9141108677
GEL-2873539-11	8338.51071638794	21492.8511478134	14444.9907897926	9409.80547764966	6128.4656002216	10533.0660295696	0	0	0	0	0	0	0	1807.3102385652
GEL-2712683-11	310.204835021235	0	0	339.049330284221	0	0	265.166938908853	505.53773276707	0	0	0	0	0	129.041163018621
GEL-2876351-11	0	0	1043.43479472413	0	2923.92169793795	0	1170.16979379528	0	0	0	0	0	0	255.47371354264
GEL-2486870-11	13349.5438979169	60833.3645981023	54340.0728541826	0	0	0	0	0	0	0	0	0	0	13581.0186497982
GEL-2978908-11	0	0	0	316.613890963406	96.1418969380134	0	164.095593726662	555.206870799104	0	0	0	0	0	215.941747572815
GEL-2565008-11	3681.80180710852	11339.4086400404	12727.7849982644	13147.503392273	0	0	0	0	0	0	0	0	0	6719.50116231368
GEL-2724771-11	0	4625.82104217733	4191.5092342152	4855.48592680247	6338.05031273772	0	0	2564.34103203449	0	0	0	0	0	1103.79245203279
GEL-2168442-11	5457.44145323681	27949.8359052273	24282.8909932365	8247.87759231512	0	0	0	0	0	0	0	0	0	5434.95405598427
GEL-2751641-11	228.59027027027	0	0	0	0	0	274.905945945946	463.156756756757	0	0	0	0	0	415.347027027027
GEL-2665291-11	0	16225.3907039247	16242.4010731373	10729.5405333283	0	0	0	5266.71049120332	0	0	0	0	0	4030.95719840638
GEL-2872961-11	6400.82616171988	20098.3436262285	15496.2623506593	14563.3200169511	0	0	0	0	0	0	0	0	0	4922.24784444122
GEL-2195556-11	3184.28682774747	15231.630200052	11724.1694777864	10404.5011171733	0	0	0	3453.51515718368	0	0	0	0	0	4065.89722005715
