GEL-Oral_Oropharyngeal_common_SBS2	GEL-Oral_Oropharyngeal_common_SBS3+16	GEL-Oral_Oropharyngeal_common_SBS17	GEL-Oral_Oropharyngeal_common_SBS1	GEL-Oral_Oropharyngeal_common_SBS13	GEL-Oral_Oropharyngeal_common_SBS127	GEL-Oral_Oropharyngeal_common_SBS18	GEL-Oral_Oropharyngeal_rare_SBS4	GEL-Oral_Oropharyngeal_rare_SBS7a	GEL-Oral_Oropharyngeal_rare_SBS10a	GEL-Oral_Oropharyngeal_rare_SBS31	GEL-Oral_Oropharyngeal_rare_SBS33	GEL-Oral_Oropharyngeal_rare_SBS13	GEL-Oral_Oropharyngeal_rare_SBS93+121	unassigned
GEL-2411823-11	6217.83186470665	12796.2409653542	0	0	6115.30990441832	0	13737.9426786368	30177.4640376521	0	0	0	0	0	0	3317.21054923194
GEL-2002720-11	0	4377.32849327675	899.861956132727	1707.73802341633	680.895546807096	1235.31049644665	729.388107776471	0	0	0	0	0	0	0	147.477376143976
GEL-2748299-11	0	5201.47159927975	0	913.502209854313	2032.16803077427	1994.23023408086	1376.24349320674	0	0	0	0	0	0	0	680.384432804067
GEL-2416542-11	597.984304399524	613.535909631391	0	1350.98299643282	0	772.563614744352	601.997621878716	0	0	0	0	0	0	0	281.935552913197
GEL-2303922-11	0	4625.63014149391	1010.32181638697	1107.04409345179	0	1475.89174070418	1677.35472194801	0	0	0	0	0	0	0	764.75748601514
GEL-2243002-11	13650.1722883244	0	0	10555.0402094719	0	20748.18190068	14957.8056084598	0	110154.111146113	0	0	0	0	0	2892.68884695088
GEL-2877843-11	0	916.224602375679	763.853553452788	3604.94914435273	0	0	6460.53247433058	0	0	0	0	0	0	0	661.440225488222
GEL-2441082-11	334.613222784538	379.261763755788	0	1448.31840206741	0	549.829223645957	1491.9636050393	0	0	0	0	0	0	0	455.013782707007
GEL-2517718-11	1314.9493107105	13872.5650053022	0	0	0	0	4881.73679745493	0	0	0	0	0	0	0	1179.74888653237
GEL-2733042-11	0	3299.27493853562	23926.8721395423	2017.58541730313	0	2404.79372699632	2174.16965623591	0	0	0	0	0	0	0	565.304121386718
GEL-2619309-11	1169.45507039512	5917.80279634075	0	1559.10669564653	0	3149.22545902809	2389.42979951989	0	0	0	0	0	0	0	1233.98017906962
GEL-2382884-11	0	964.009433962264	3538.20492662474	1297.85901467505	0	652.182914046122	755.791404612159	0	0	0	0	0	0	0	431.952306079665
GEL-2658246-11	0	578.510470169893	0	1518.09126827341	1506.62080205452	500.710786250494	741.091860924536	0	0	0	0	0	0	0	203.974812327147
GEL-2290294-11	811.201889209094	589.600384245917	0	1838.99167467179	1694.59974383606	627.703810438681	646.755523535062	0	0	0	0	0	0	0	54.1469740633956
GEL-2282173-11	0	10856.2832175888	0	0	8011.62610670441	2474.76671164796	7296.33805088372	0	0	0	0	0	0	0	1734.98591317511
GEL-2386754-11	0	0	0	0	0	0	0	0	831790.989643308	0	0	0	0	0	60412.010356692
GEL-2343039-11	0	609.202667439838	0	1793.51270899778	849.373924809123	516.9448149222	954.668213008602	0	0	0	0	0	0	0	464.297670822457
GEL-2418413-11	0	452.6947060734	0	729.536862617733	0	272.320233842157	0	0	0	0	0	0	0	0	92.4481974667099
GEL-2251469-11	0	271.943482522052	0	806.314929761516	0	199.325057170859	155.253185233584	0	0	0	0	0	0	0	100.163345311989
GEL-2092638-11	3625.04141654852	20150.9655214021	0	0	0	0	11242.5338602154	31357.459201834	0	0	0	0	0	0	0
GEL-2888839-11	0	0	0	2673.5785976775	9047.76598559459	1147.03372041746	2975.08746141408	0	0	0	0	0	0	0	1164.53423489637
GEL-2478025-11	0	1824.76109438408	778.398088755073	1081.85835842388	854.388139808876	1021.36627830868	2006.73726927608	0	0	0	0	0	0	0	70.4907710433308
GEL-2882965-11	0	847.688900033434	0	1975.44020951744	3218.71726289981	0	1837.90956201939	0	0	0	0	0	0	0	1095.24406552993
GEL-2469969-11	2757.34773964906	0	0	1347.23830927479	8398.78341544933	1858.19091249604	2536.30086149768	0	0	0	0	0	0	0	420.138761633101
GEL-2485353-11	0	3216.26131596091	0	1174.82600651466	1650.16020846906	2151.01235179153	1755.73443648208	0	0	8144.72646254072	0	0	0	0	1108.27921824104
GEL-2999120-11	0	0	0	2022.97243208861	26791.8787136009	0	1860.39428163639	0	0	0	0	0	0	0	1569.7545726741
GEL-2916523-11	2411.18113892096	0	0	0	33800.5666442553	0	0	0	0	0	0	0	0	0	3230.25221682374
GEL-2815079-11	0	935.592098885119	0	302.206737760543	0	522.492971400873	0	0	0	0	0	0	0	0	300.708191953465
GEL-2481789-11	189.933458099397	581.326679143273	0	983.243917654398	0	289.661052193803	226.015803701393	0	0	0	0	0	0	0	139.819089207736
GEL-2899471-11	374.040912382332	687.494207096307	0	1963.83997103548	0	525.259594496742	1518.6962346126	0	0	0	0	0	0	0	462.669080376539
GEL-2703767-11	5073.66054564533	0	0	2164.6350996852	9399.42890870934	0	0	0	0	0	0	0	0	0	525.275445960131
GEL-2721409-11	0	693.66096609661	0	1799.8096309631	2204.77932793279	822.970597059706	895.644614461446	0	0	0	0	0	0	0	265.134863486348
GEL-2553497-11	0	894.686829023769	0	1794.37470236852	4242.38589748945	905.189022097832	3230.67463135469	0	0	0	0	0	0	0	904.688917665739
GEL-2149702-11	0	1702.75636690494	846.121217309421	848.624534520396	2605.95321662458	0	4749.79407610324	0	0	0	0	0	0	0	943.750588537423
GEL-2069010-11	7015.56514721783	0	0	0	22211.8705987433	0	0	0	0	0	0	0	0	0	2699.56425403887
GEL-2105614-11	0	323.648054919908	0	375.671853546911	0	173.579405034325	148.067734553776	0	0	0	0	0	0	0	72.03295194508
