GEL-Prostate_common_SBS2+13+92	GEL-Prostate_common_SBS17	GEL-Prostate_common_SBS1	GEL-Prostate_common_SBS5	GEL-Prostate_common_SBS18	GEL-Prostate_common_SBS3+8	GEL-Prostate_rare_SBS57	GEL-Prostate_rare_SBS93+121	GEL-Prostate_rare_SBS44	GEL-Prostate_rare_SBS6	GEL-Prostate_rare_SBS32	GEL-Prostate_rare_SBS33	unassigned
GEL-2371244-11	0	0	743.5	678	345.5	0	0	0	0	0	0	0	273
GEL-2394208-11	0	0	1739.341117598	559.396163469558	707.76647206005	0	0	0	0	0	0	0	599.496246872392
GEL-2747967-11	290.851375869368	0	939.635167825824	814.483973389779	812.982159056547	283.342304203205	0	0	0	0	0	0	169.705019655277
GEL-2428569-11	989.068315171836	0	1150.90674769489	1116.33445096396	1042.68042749371	7105.35854987427	0	0	0	0	0	0	550.651508801335
GEL-2821784-11	322.155022488756	0	974.995652173913	884.170014992504	726.605097451274	275.487706146927	0	0	0	0	0	0	163.586506746626
GEL-2712389-11	313.126601051638	0	1226.49588782527	954.385870297964	848.843198058514	0	0	0	0	0	0	0	367.148442766614
GEL-2363308-11	410.678277886497	0	1744.63326810176	498.60939334638	1261.51174168297	930.77084148728	0	0	0	0	0	0	259.796477495113
GEL-2741618-11	214.585699623674	0	799.682689018132	752.554054054054	655.789941840575	377.029079712624	0	0	0	0	0	0	131.358535750941
GEL-2888061-11	571.595544399121	0	540.875431440226	1075.70756197051	0	725.699717602761	0	0	0	0	0	0	296.121744587382
GEL-2075446-11	478.974990478609	0	498.413101434556	1654.73149676273	827.365748381363	0	0	0	0	0	0	0	466.514662942742
GEL-2714360-11	0	0	1176.20101273592	858.972533374252	699.105416602731	0	0	0	0	0	0	0	531.721037287097
GEL-2766820-11	277.544834503511	0	384.331594784353	930.858174523571	441.250952858576	332.953059177533	0	0	0	0	0	0	144.061384152456
GEL-2748389-11	0	0	866.583657587549	997.369900840969	1478.58340655203	0	0	0	0	0	0	0	634.463035019452
GEL-2656418-11	315.786396000606	229.936676261173	634.585062869262	1242.05968792607	574.841690652931	316.790486289956	0	0	0	0	0	0	2.27373675443232e-12
GEL-2369837-11	400.980829246545	0	1319.22692822113	447.594850646456	1764.3156486848	418.523740526081	0	0	0	0	0	0	146.358002674988
GEL-2275142-11	340.179930431116	0	2197.89301148941	952.403604933066	442.885211341836	572.143564878255	0	0	0	0	0	0	247.494676926317
GEL-2356677-11	231.386503067485	0	634.559955382041	375.627440044618	261.436698271054	224.374790853318	0	0	0	0	0	0	68.614612381484
GEL-2543450-11	421.730748634465	0	956.754846310378	1541.68790832173	830.98425618507	633.344757416729	0	0	0	0	0	0	275.497483131629
GEL-2590876-11	187.154545454545	0	223.184297520661	513.423966942149	0	185.152892561983	0	0	0	0	0	0	102.084297520662
GEL-2642679-11	378.039334555195	0	818.332158466093	1309.33145354575	447.823487945862	452.843930635838	0	0	0	0	0	0	154.629634851262
GEL-2893055-11	586.161813464033	0	2780.89556004036	1430.67457114026	1073.3807121234	697.597520542021	0	0	0	0	0	0	364.289822689926
GEL-2252872-11	1516.75884343279	0	0	0	4024.64718548139	2936.30882805291	0	0	0	0	0	0	1296.28514303291
GEL-2468522-11	0	0	457.639313488871	494.569857870743	510.040761598284	0	0	0	0	0	0	0	398.750067042102
GEL-2708257-11	272.961473327688	0	776.813293818798	562.951735817104	240.406435224386	385.651989839119	0	0	0	0	0	0	127.215071972905
GEL-2385212-11	0	0	1292.9839055794	457.617846924177	293.35765379113	564.613018597997	0	0	0	0	0	0	200.427575107296
GEL-2041346-11	315.264817150063	0	256.715636822194	971.816309373687	343.288356452291	320.769440941572	0	0	0	0	0	0	173.145439260193
GEL-2164278-11	475.209944751381	0	1722.2608839779	377.166629834254	731.323093922652	1050.96430939227	0	0	0	0	0	0	170.075138121543
GEL-2944973-11	446.056449485624	0	413.479293062517	1482.51121076233	931.205486678977	374.386705354788	0	0	0	0	0	0	152.360854655764
GEL-2847051-11	236.761569416499	0	1052.93963782696	405.591549295775	742.252515090543	399.098088531187	0	0	0	0	0	0	142.356639839036
GEL-2237337-11	347.774538386783	0	846.451247165533	871.43505021056	671.56462585034	0	0	0	0	0	0	0	347.774538386784
GEL-2997221-11	381.555663587749	0	521.759844433641	682.49392318911	1033.50510452115	399.581915410792	0	0	0	0	0	0	71.1035488575581
GEL-2875463-11	0	0	1665.70760730982	1450.11602209945	0	736.312792180195	0	0	0	0	0	0	855.863578410535
GEL-2100285-11	256.751251510444	0	696.036595891593	600.75781115139	1068.6267909546	0	0	0	0	0	0	0	282.827550491973
GEL-2133499-11	266.111798980335	188.724690458849	279.59213401311	1660.07829570284	0	0	0	0	0	0	0	0	347.493080844866
GEL-2347031-11	448.330681516839	0	1186.69875364625	557.533015115354	761.410766374967	647.700079554495	0	0	0	0	0	0	176.326703792095
GEL-2527080-11	1263.61308423133	0	707.503411337117	2407.80998533444	842.408722820889	2143.9951539884	0	0	0	0	0	0	470.669642287824
GEL-2146848-11	651.001148545176	0	540.086140888208	1719.182618683	484.628637059724	360.723583460949	0	0	0	0	0	0	159.377871362943
GEL-2381271-11	345.00933252181	0	0	1149.36538851694	461.843173057415	277.105903834449	0	0	0	0	0	0	227.676202069386
GEL-2976002-11	237.878096479791	0	195.987614080834	1180.91264667536	322.157757496741	253.337679269883	0	0	0	0	0	0	104.726205997391
GEL-2419150-11	0	0	1084.39911390068	390.783459479417	490.228355178143	508.218386560827	0	0	0	0	0	0	233.370684880933
GEL-2014619-11	0	0	807.9907566638	0	697.878761822872	351.453353396389	0	0	0	0	0	0	481.677128116939
GEL-2049778-11	257.623282134196	0	529.28051738076	861.083265966047	0	464.122877930477	0	0	0	0	0	0	367.89005658852
GEL-2257461-11	453.872608193142	278.535507897778	960.847309618595	1281.46372158726	438.34275073841	487.938101964813	0	0	0	0	0	0	2.27373675443232e-12
GEL-2285192-11	617.417738659445	0	387.26201760325	2079.90724441435	1143.77386594448	737.99932295193	0	0	0	0	0	0	206.639810426545
GEL-2094781-11	231.13923061902	0	798.526264401484	528.033587190002	462.776606131615	424.917594219879	0	0	0	0	0	0	105.606717438
GEL-2520979-11	972.078431372549	648.052287581699	1163.59388364399	664.053578633099	1487.62002743484	1261.60179133382	0	0	0	0	0	0	2.72848410531878e-12
GEL-2690001-11	258.286116167466	0	798.83849081582	937.223895416184	431.642561641569	437.637597219924	0	0	0	0	0	0	155.371338739037
GEL-2960224-11	568.716	232.566	338.64	1615.512	0	0	0	0	0	0	0	0	481.566
GEL-2443277-11	714.649918077553	422.884580375023	621.565264882578	2336.12452211906	871.292372109958	531.483342435827	0	0	0	0	0	0	9.09494701772928e-13
GEL-2076766-11	0	0	858.874974505405	406.914542117071	685.698551906996	298.804405466041	0	0	0	0	0	0	203.707526004487
GEL-2214945-11	486.910395584177	0	0	749.862005519779	706.370009199632	472.912971481141	0	0	0	0	0	0	300.944618215271
GEL-2408596-11	188.80118694362	0	624.49623373659	455.727002967359	466.744578863273	383.111161835197	0	0	0	0	0	0	75.1198356539608
GEL-2824427-11	0	0	936.857202072539	450.652849740933	424.114404145078	310.449740932642	0	0	0	0	0	0	293.925803108808
GEL-2463637-11	0	0	2579.09267879814	674.455184088024	1475.62014388489	647.018027930597	0	0	0	0	0	0	517.813965298349
