GEL-Skin_common_SBS13	GEL-Skin_common_SBS1+5+18	GEL-Skin_common_SBS17	GEL-Skin_common_SBS7a	GEL-Skin_common_SBS38	GEL-Skin_rare_SBS38	GEL-Skin_rare_SBS129	GEL-Skin_rare_SBS5	GEL-Skin_rare_SBS7a+7c	GEL-Skin_rare_SBS2+13	GEL-Skin_rare_SBS8+23	GEL-Skin_rare_SBS131	GEL-Skin_rare_SBS17	GEL-Skin_rare_SBS99	GEL-Skin_rare_SBS96	GEL-Skin_rare_SBS7a+7c+115	unassigned
GEL-2186648-11	0	0	62132.9953420027	694741.310955895	0	0	0	0	0	0	0	0	0	0	0	0	6031.69370210229
GEL-2628461-11	0	0	13273.073928427	182862.907001885	0	0	0	0	0	0	0	0	0	0	0	0	441.019069687987
GEL-2818398-11	0	0	3511.31021654536	50712.2590437414	0	0	0	0	0	0	0	0	0	0	0	0	1281.43073971324
GEL-2710496-11	0	0	9371.70338700622	156384.737353145	0	0	0	0	0	0	0	0	0	0	0	0	789.559259848786
GEL-2063903-11	0	0	1869.55233323069	14622.9093301234	1057.02958878034	0	0	0	0	0	0	0	0	0	0	0	312.50874786557
GEL-2417988-11	0	0	0	95091.7264387114	0	0	0	0	0	0	0	0	0	0	0	0	4977.2735612886
GEL-2866792-11	0	0	0	88352.3635021409	0	0	0	0	0	0	0	0	0	0	0	0	6471.6364978591
GEL-2262694-11	0	1252.09671290139	0	0	506.370036101083	3310.26211286339	0	0	0	0	0	0	0	0	0	0	224.271138134137
GEL-2852371-11	0	0	2837.7186895811	42549.273254565	0	0	0	0	0	0	0	0	0	0	0	0	1183.0080558539
GEL-2008396-11	0	0	7994.09891238446	72590.3981736968	0	0	0	0	0	0	0	0	0	0	0	0	235.502913918739
GEL-2501934-11	0	0	0	57930	0	0	78127	0	0	0	0	0	0	0	0	0	0
GEL-2189244-11	0	0	0	30088.089205715	0	0	0	0	0	0	0	0	0	0	0	0	2946.910794285
GEL-2701815-11	0	0	4273.8003394634	58668.2591756334	0	0	0	0	0	0	0	0	0	0	0	0	1273.9404849032
GEL-2501951-11	0	0	0	125536.406179225	0	0	0	0	0	0	0	0	0	0	0	0	5174.593820775
GEL-2910723-11	0	3256.46443383805	2440.22269585253	19605.8064516129	4171.2353522054	0	0	0	0	0	0	0	0	0	0	0	915.271066491117
GEL-2043407-11	0	3189.45338102684	4566.7173410157	38922.8292779575	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2928978-11	661.866127975541	2306.01768945185	517.176785324307	0	1099.93939724831	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2714730-12	0	0	1903.54358927386	19655.9501019029	0	0	0	0	0	0	0	0	0	0	0	0	275.506308823238
GEL-2294613-11	0	1879.53773995455	0	7452.527440646	0	0	0	0	0	0	0	0	0	0	0	0	1027.93481939945
GEL-2696664-11	0	0	5070.72013842577	48323.3030857411	0	0	0	0	0	0	0	0	0	0	0	0	2072.97677583313
GEL-2836735-11	0	0	3666.59658342553	33363.8788525367	0	0	0	0	0	0	0	0	0	0	0	0	932.524564037769
GEL-2220821-11	354.241308793456	2620.78527607362	603.911383776414	441.800954328562	383.261077027948	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2547276-11	0	2141.25147963328	2171.74794011837	30151.0005802483	0	0	0	0	0	0	0	0	0	0	0	0	5.0931703299284e-11
GEL-2981310-11	0	0	0	52322.9647453627	0	0	0	0	0	0	0	0	0	0	0	0	1912.0352546373
GEL-2354904-11	0	0	0	81405.934758583	0	0	0	0	0	0	0	0	0	0	0	0	2745.065241417
GEL-2884315-11	0	0	0	24021.4107967393	0	0	0	0	0	0	0	0	0	0	0	0	2281.5892032607
GEL-2067400-11	0	0	3107.5	40222	0	0	0	0	0	0	0	0	0	0	0	0	460.5
GEL-2007410-11	0	0	0	48584.0197499135	0	0	0	0	0	0	0	0	0	0	0	0	1997.9802500865
GEL-2377373-11	0	0	45801.6279093796	338664.066259139	0	0	0	0	0	0	0	0	0	0	0	0	2637.30583148141
GEL-2629512-11	0	0	7025.59187543319	107571.40673836	0	0	0	0	0	0	0	0	0	0	0	0	106.001386206801
GEL-2051295-11	0	0	0	8185.73371173975	7689.70447679209	0	0	0	0	0	0	0	0	0	0	0	526.56181146816
GEL-2236485-11	0	0	17497.1330344814	158483.820391116	0	0	0	0	0	0	0	0	0	0	0	0	382.046574402601
