GEL-Uterus_common_SBS17	GEL-Uterus_common_SBS3+8	GEL-Uterus_common_SBS1	GEL-Uterus_common_SBS18	GEL-Uterus_common_SBS13	GEL-Uterus_common_SBS2	GEL-Uterus_rare_SBS44	GEL-Uterus_rare_SBS10a	GEL-Uterus_rare_SBS20	GEL-Uterus_rare_SBS26_a	GEL-Uterus_rare_SBS10d	GEL-Uterus_rare_SBS14_a	GEL-Uterus_rare_SBS31	GEL-Uterus_rare_SBS5	GEL-Uterus_rare_SBS9	GEL-Uterus_rare_SBS26_b	GEL-Uterus_rare_SBS18+44	GEL-Uterus_rare_SBS14_b	unassigned
GEL-2595560-11	0	0	43050.5518891817	0	0	0	24993.949553306	0	0	0	0	0	0	0	0	0	0	0	65.4985575122992
GEL-2307267-11	0	3032.69348204269	6351.23509519242	2186.66311151576	0	0	17928.3347098704	0	0	0	0	0	0	0	0	0	0	0	1292.07360137873
GEL-2065064-11	0	0	288090.057424281	0	0	0	0	1056523.72066977	0	0	0	0	0	0	0	0	0	0	119042.221905949
GEL-2427766-11	0	0	2341.1808608359	0	0	0	10890.1217111738	0	0	0	0	0	0	0	0	0	0	0	2033.6974279903
GEL-2820746-11	0	0	0	0	0	0	0	1084139.7983541	0	0	0	0	0	0	0	0	0	0	21755.2016459
GEL-2469583-11	0	0	3928.39655966825	3431.47289202887	0	0	26188.4771924436	0	0	0	0	0	0	0	0	0	0	0	2256.65335585928
GEL-2900337-11	0	2094.23557598912	3002.96995402448	1596.65479505277	0	490.586673573787	0	0	0	0	0	0	0	0	0	0	0	0	530.553001359843
GEL-2201790-11	378.353601496726	2104.46679139383	1835.21515434986	709.663236669785	471.941066417212	385.360149672591	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2983451-11	0	0	3168.85123008201	4024.90582038803	0	0	26277.8275085006	0	0	0	0	0	0	0	0	0	0	0	4006.41544102936
GEL-2015630-11	760.841686067884	3957.27717191521	1825.81995670465	2145.96372993506	1897.35208103582	1659.74537434138	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2112359-11	0	0	0	0	0	0	0	0	969449.599342039	0	0	0	0	0	0	0	0	0	50670.400657961
GEL-2042684-11	105397.852764977	0	0	0	0	0	0	0	1192354.14723502	0	0	0	0	0	0	0	0	0	3.0267983675003e-09
GEL-2686894-11	0	4218.43040479119	2346.1297791562	0	1765.72659216085	0	0	0	0	0	0	0	0	0	0	0	0	0	1026.71322389176
GEL-2603199-11	0	0	4833.64036057488	3696.3426234451	0	0	52842.6022002489	0	0	0	0	0	0	0	0	0	0	0	3290.41481573112
GEL-2560145-11	0	2421.34548710019	1998.26092618214	563.778953365346	0	477.659965817531	0	0	0	0	0	0	0	0	0	0	0	0	690.954667534793
GEL-2101425-11	0	654.100168479093	3375.17690304794	1818.55873793843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692.164190534537
GEL-2206838-11	2489.6105243585	1634.72919300855	2606.66273707698	6124.73201933804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595.265526217931
GEL-2244934-11	0	868.188419315491	3248.33421826792	2243.69476931908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605.782593097509
GEL-2700991-11	0	255.493320138545	978.060366155369	598.812469074715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.633844631371
GEL-2951926-11	2927.22870910944	3758.15170049115	2032.31164859605	0	0	1324.87721249189	0	0	0	0	0	0	0	0	0	0	0	0	747.430729311469
GEL-2177839-11	0	470.173231471376	2639.6654430003	1361.55372556801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564.607599960314
