Hartwig-Bladder_common_SBS125	Hartwig-Bladder_common_SBS1	Hartwig-Bladder_common_SBS17	Hartwig-Bladder_common_SBS109	Hartwig-Bladder_common_SBS31	Hartwig-Bladder_common_SBS13	Hartwig-Bladder_common_SBS2	Hartwig-Bladder_common_SBS92	Hartwig-Bladder_rare_SBS6	Hartwig-Bladder_rare_SBS44	Hartwig-Bladder_rare_SBS88	Hartwig-Bladder_rare_SBS104	Hartwig-Bladder_rare_SBS132	Hartwig-Bladder_rare_SBS15	Hartwig-Bladder_rare_SBS18	Hartwig-Bladder_rare_SBS149	unassigned
HMF001201A	3903.97738244472	2074.05051609634	0	1349.18336756194	0	7609.35417277892	0	1708.86554823567	0	0	0	0	0	0	0	0	2110.56901288241
HMF000969A	2344.89104300309	2375.90282727489	0	0	0	10362.9378474697	0	2755.04689950107	0	0	0	0	0	0	0	0	3214.22138275125
HMF000108A	5422.37391810784	1705.20244932296	0	4751.38449840648	0	7652.1771795577	6568.00216782877	2972.23831556469	0	0	0	0	0	0	0	0	1811.62147121156
HMF000361A	1043.34888819292	1294.55327278422	0	649.528468524898	0	3129.04585029753	1106.40018791106	0	0	0	0	0	0	0	0	0	766.123332289372
HMF000394A	0	3136.11544408177	0	0	0	0	0	0	39594.8957223845	0	0	0	0	0	0	0	948.988833533731
HMF001716A	1290.46434195726	1638.08942632171	0	0	3167.13961754781	9237.82400449944	3316.69343082115	2435.37631046119	0	0	0	0	0	0	0	0	1147.41286839144
HMF003452A	0	1678.8112324493	0	0	0	986.564382575303	822.38725549022	0	0	0	0	0	0	0	0	0	683.237129485177
HMF000917A	0	0	0	0	0	25529.9482226269	1989.16469004829	0	0	0	0	0	0	0	0	0	4076.88708732481
HMF002344A	3411.24168176876	0	0	10656.8170351577	2129.46299383835	5403.6748822037	0	3576.2775643349	0	0	0	0	0	0	0	0	2418.52584269659
HMF003054A	3471.42084387016	3174.88489451623	0	0	7432.40103751689	30521.2001160495	7016.35059930024	3571.93302906433	0	0	0	0	0	0	0	0	2552.80947968265
