Hartwig-Bone_SoftTissue_common_SBS17	Hartwig-Bone_SoftTissue_common_SBS18	Hartwig-Bone_SoftTissue_common_SBS2+13	Hartwig-Bone_SoftTissue_common_SBS1	Hartwig-Bone_SoftTissue_common_SBS3	Hartwig-Bone_SoftTissue_common_SBS8	Hartwig-Bone_SoftTissue_common_SBS127	Hartwig-Bone_SoftTissue_common_SBS122	Hartwig-Bone_SoftTissue_common_SBS161	Hartwig-Bone_SoftTissue_rare_SBS7a	Hartwig-Bone_SoftTissue_rare_SBS30	Hartwig-Bone_SoftTissue_rare_SBS31	Hartwig-Bone_SoftTissue_rare_SBS117	Hartwig-Bone_SoftTissue_rare_SBS11	Hartwig-Bone_SoftTissue_rare_SBS93+121	unassigned
HMF002684A	0	0	0	736.351864720871	0	276.319666435024	324.375260597637	257.297660412323	334.386842714848	0	0	0	0	0	0	232.268705119297
HMF001639A	0	0	248.723640399556	730.188679245283	0	408.046614872364	995.394006659267	285.682574916759	315.649278579356	0	0	0	0	0	0	166.315205327415
HMF000714B	0	339.796772265391	295.823072325164	835.000597728631	0	870.479378362224	508.196054991034	554.668260609683	505.697549312612	0	0	0	0	0	0	270.338314405261
HMF000256A	0	0	304.068657418293	592.582647542911	608.137314836586	1271.46861039266	508.286386080414	417.968963084881	402.916059252292	0	0	0	0	0	0	162.571361391963
HMF002377A	0	0	803.493438970042	1463.80985392424	0	1439.7801435999	781.466204506066	1218.50656102996	1350.66996781382	0	0	0	0	0	0	1030.27383015597
HMF001009A	0	1214.99120623859	356.703832752613	507.57856313257	495.088933134229	1242.46839223494	925.73137547702	877.771196283391	0	0	0	0	0	0	0	401.666500746647
HMF000330A	0	344.667238238131	0	0	0	1603.45193441217	708.815668202765	566.45311327832	404.109848890794	0	0	0	0	0	0	1033.50219697782
HMF001976A	0	273.283056042032	0	466.040718038529	0	226.980954465849	506.303415061296	0	445.406085814361	0	0	0	0	0	0	380.985770577933
HMF001044B	644.442888402626	519.857267896218	855.587996248828	0	0	2222.52741481713	1595.09621756799	841.07802438262	890.61206627071	0	0	0	0	0	0	433.798124413878
HMF002185A	0	1822.734375	0	0	0	0	0	0	0	4698.203125	0	0	0	0	0	3104.0625
HMF003068A	0	0	0	895.104277667834	0	0	0	0	834.419241893743	0	4335.44009742731	0	0	0	0	579.036383011113
HMF000714A	0	333.468515571721	440.298249602182	848.647419868152	345.948624687429	753.299386224142	636.485564901114	513.681291202546	432.310979768129	0	0	0	0	0	0	87.8599681745845
HMF000662A	0	0	1179.22305677719	824.408163265306	0	2267.12244897959	1481.14008993428	2637.40747146316	835.88600088946	0	0	0	0	0	0	873.812768691014
HMF001702A	0	507.037194977493	0	355.824330727316	0	753.070007107321	1271.58540630182	555.944325989102	426.689765458422	0	0	0	0	0	0	342.848969438526
HMF001343B	3763.85961300947	0	638.578976259092	694.673756918714	839.919171126664	1985.8554046018	0	1815.06683134349	0	0	0	0	0	0	0	1211.04624674077
HMF003674A	0	0	4845.2962212631	1304.1367039549	1582.69990310931	0	988.498546639655	1086.19607152295	0	0	0	0	0	0	0	1569.17255351008
HMF002210A	0	0	0	602.959684428696	0	2096.85979808785	938.937220030755	1733.38410108979	1042.93026676473	0	0	0	0	0	0	1062.92892959818
HMF001882A	0	0	249.451024104779	579.547861223352	727.315034136826	0	434.285216664344	561.014351400307	379.1855928661	0	0	0	0	0	0	664.200919604292
HMF001829A	0	217.662337662338	0	643.917748917749	0	311.378066378066	481.678691678692	0	298.278018278018	0	0	0	0	0	0	142.085137085137
