Hartwig-Breast_common_SBS5	Hartwig-Breast_common_SBS31	Hartwig-Breast_common_SBS17	Hartwig-Breast_common_SBS13	Hartwig-Breast_common_SBS2	Hartwig-Breast_common_SBS18	Hartwig-Breast_common_SBS1	Hartwig-Breast_common_SBS8	Hartwig-Breast_common_SBS3	Hartwig-Breast_rare_SBS44	Hartwig-Breast_rare_SBS97	Hartwig-Breast_rare_SBS10d	Hartwig-Breast_rare_SBS4	Hartwig-Breast_rare_SBS90	Hartwig-Breast_rare_SBS119	Hartwig-Breast_rare_SBS106	unassigned
HMF003531A	822.78171691274	0	0	1687.55229422686	2066.95163999646	0	418.88886924233	0	0	0	0	0	0	0	0	0	657.82547962161
HMF001298A	783.159899988094	0	0	843.095606619836	732.214549351113	0	875.560781045363	399.071913323015	0	0	0	0	0	0	0	0	561.897249672579
HMF001293A	1044.05457798986	0	0	536.298538622129	692.030420518938	435.147927229347	1068.59111243662	697.538622129436	0	0	0	0	0	0	0	0	563.33880107367
HMF001423C	1269.88542114844	0	0	0	0	1789.95280489823	0	5866.90067847096	4037.40473274863	0	0	0	0	0	0	0	2159.85636273374
HMF001443A	0	0	0	5591.81889417796	4687.68648846576	0	1144.16755767118	0	0	0	0	0	0	0	0	0	2233.3270596851
HMF002764A	2497.69747596154	0	0	988.786418269231	0	591.573076923077	1155.16634615385	993.283173076923	971.299038461538	0	0	0	0	0	0	0	1116.19447115384
HMF003720A	870.996703872949	0	0	1888.74013034684	1242.85489549779	1044.19776762304	684.818038804405	0	0	0	0	0	0	0	0	0	931.392463854976
HMF001533A	845.468137394982	0	0	609.11682002629	0	1015.36126193062	1874.32091215637	2038.21780876722	1219.73269703378	0	0	0	0	0	0	0	1140.78236269074
HMF000997A	614.929564411492	0	0	609.934198331789	265.753475440222	291.22984244671	556.483781278962	480.55421686747	0	0	0	0	0	0	0	0	415.114921223355
HMF002397A	1284.09229191591	509.321483507093	0	0	832.978977952487	794.340796445052	993.051444197573	974.485045291403	0	0	0	0	0	0	0	0	483.729960690482
HMF002529A	691.557139518579	250.105632157046	0	0	228.007945781725	0	471.082495910259	210.93246085534	0	0	0	0	0	0	0	0	297.314325777051
HMF002559A	1851.28209488182	2396.8072323301	0	770.741937312249	946.411041206144	717.190387122371	0	1358.30754406847	0	0	0	0	0	0	0	0	789.259763078846
HMF000228A	1855.85827860353	0	0	0	0	690.261320428621	877.196681645351	600.792257172485	734.246111303146	0	0	0	0	0	0	0	1025.64535084687
HMF003062B	726.494938617273	0	0	0	0	714.453586043506	1965.24908464355	0	0	0	0	0	0	0	0	0	1252.80239069567
HMF003072A	0	0	0	28431.3738945537	20148.9736625912	0	0	0	0	0	0	0	0	0	0	0	3154.6524428551
HMF000085A	1218.95026801668	249.797200714711	0	0	0	563.670637284098	702.836212030971	0	0	0	0	0	0	0	0	0	626.74568195354
HMF002391A	1187.31847262442	0	0	1982.19274025187	696.014277055694	0	0	1876.34264933666	618.124587514311	0	0	0	0	0	0	0	1054.00727321704
HMF001607A	2054.40542328042	462.703924162257	0	512.725970017637	899.896604938272	664.792989417989	878.387125220459	927.40873015873	0	0	0	0	0	0	0	0	406.679232804236
HMF000408A	0	0	0	12769.609375	15184.7104779412	0	0	0	0	0	0	0	0	0	0	0	3080.6801470588
HMF001962A	1032.25878253449	1513.57886502631	0	1579.19065566776	898.530934433224	1009.72038116911	0	0	0	0	0	0	0	0	0	0	1009.72038116911
HMF001868A	0	0	0	8352.34731731607	4169.66637619818	1163.80243993527	962.57724386904	0	0	0	0	0	0	0	0	0	1435.60662268144
HMF000612A	4238.38484167814	2506.20584015651	0	3226.69623940294	0	0	0	10974.9700746323	9998.30531120933	0	0	0	0	0	0	0	3581.43769292078
HMF001502A	1272.10575870374	0	0	0	0	2639.6069629954	1349.02145828772	2391.87847602365	628.311364134005	0	0	0	0	0	0	0	843.075979855485
HMF002608A	0	0	0	6055.04715266559	5003.56290387722	0	0	0	0	0	0	0	0	0	0	0	3818.38994345719
HMF002744A	982.960331094799	270.126503201624	0	0	258.621115102296	264.123692019366	771.861471185382	0	0	0	0	0	0	0	0	0	655.306887396533
HMF001275A	1091.69796027434	0	0	9536.46471304296	2700.96386686856	0	1513.16044654256	0	0	0	0	0	0	0	0	0	2016.71301327158
HMF001219A	562.068137931034	0	0	366.891724137931	334.445517241379	314.977793103448	1244.936	304.495172413793	317.473655172414	0	0	0	0	0	0	0	173.712000000001
HMF003422A	576.145320197044	0	0	283.832629603566	301.291578700446	897.389983579639	971.715224020643	484.859957776214	427.494839315036	0	0	0	0	0	0	0	310.270466807412
HMF002573B	0	0	0	13782.817579041	14948.4215897146	0	0	0	0	0	0	0	0	0	0	0	2175.7608312444
HMF000145A	843.30869648685	217.208293338453	0	0	0	0	680.652716452294	409.392589748512	0	0	0	0	0	0	0	0	456.437703973891
HMF002360A	736.766826422171	240.250052094186	0	0	209.217753698687	210.218795582413	484.504271723276	0	0	0	0	0	0	0	0	0	521.042300479267
HMF001721A	1385.19063136456	0	0	0	0	739.402443991853	604.738085539715	1351.64969450102	447.045621181263	0	0	0	0	0	0	0	387.973523421589
HMF001157A	0	0	0	2576.76837163331	2200.53224610823	1212.0391895231	1295.37000247097	1321.81630837658	0	0	0	0	0	0	0	0	1490.47388188781
HMF003771A	0	0	0	3615.84	3952.55790784558	0	0	0	0	0	0	0	0	0	0	0	2475.60209215442
HMF002765B	2126.29744013212	1372.04665565648	0	3504.34211395541	1498.50487200661	1492.5068538398	0	6039.00462427746	1592.47382328654	0	0	0	0	0	0	0	533.823616845581
HMF000558A	2854.29342614076	0	0	2303.75462748131	817.299871100799	0	0	1553.01990203661	846.328280484661	0	0	0	0	0	0	0	1332.30389275586
HMF001718A	1249.71243310004	3545.84674763277	574.907678056814	0	0	0	1124.34160148209	0	2267.6636475916	0	0	0	0	0	0	0	943.527892136686
HMF000309A	2267.16442180536	0	0	0	0	1498.09981877847	2016.48038399373	823.104275848558	2149.57809668414	0	0	0	0	0	0	0	1461.57300288974
