Hartwig-Colorectal_common_SBS35	Hartwig-Colorectal_common_SBS1	Hartwig-Colorectal_common_SBS88	Hartwig-Colorectal_common_SBS2+13	Hartwig-Colorectal_common_SBS157	Hartwig-Colorectal_common_SBS17_a	Hartwig-Colorectal_common_SBS18	Hartwig-Colorectal_common_SBS93+121	Hartwig-Colorectal_common_SBS17_b	Hartwig-Colorectal_rare_SBS33	Hartwig-Colorectal_rare_SBS44_a	Hartwig-Colorectal_rare_SBS94	Hartwig-Colorectal_rare_SBS88	Hartwig-Colorectal_rare_SBS4	Hartwig-Colorectal_rare_SBS108	Hartwig-Colorectal_rare_SBS128	Hartwig-Colorectal_rare_SBS22+121	Hartwig-Colorectal_rare_SBS44_b	Hartwig-Colorectal_rare_SBS10a	Hartwig-Colorectal_rare_SBS145	Hartwig-Colorectal_rare_SBS124	Hartwig-Colorectal_rare_SBS146	Hartwig-Colorectal_rare_SBS13	Hartwig-Colorectal_rare_SBS112	Hartwig-Colorectal_rare_SBS97	unassigned
HMF001548A	0	4508.26356329538	990.997572002679	0	947.475720026792	0	2830.4211319491	1483.24472538513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1189.59728734092
HMF000753A	0	4601.74822144802	1403.100213719	3858.90101589718	0	1688.42562285915	2045.33266973095	1650.88280586703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1849.60945047867
HMF003782A	0	4109.22716294048	805.250572861832	699.283396296526	0	0	1051.17439772094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1406.06447018022
HMF001652A	0	4569.59915981096	4982.38228601435	1494.21494836338	2482.19586907054	1508.20759670926	2415.2310519867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2533.16908804481
HMF000760A	0	7898.50001266239	0	1915.74254818041	0	1463.68531415403	3562.95109782967	1957.74786638641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2947.37316078709
HMF000152A	0	3858.20669751963	5864.99542405491	1778.74455306536	2737.03127762467	1599.81758618897	0	1203.37156154126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2234.8329000052
HMF003061A	1710.45337045138	4321.14535692981	1275.33803937164	967.756512229072	2622.69516802545	0	2397.13538145423	911.741665009611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884.734506528806
HMF001085A	0	6555.33961124533	0	0	0	2453.19152207336	3427.87030529321	2270.75164726554	1121.630353613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2377.21656050956
HMF002027A	1246.38890610474	8922.94322900527	0	0	1075.19814068795	972.083235202975	1973.69938022932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1962.68710876975
HMF000049A	0	1257.4604103372	0	9112.58332395634	0	0	921.570308690597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2054.38595701586
HMF000036A	1014.2977623774	5107.99953015798	1216.8572267575	1198.85194103483	1709.00170317731	1208.35473072179	2696.79168379632	2599.2630527985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.58236917837
HMF002239A	1601.61761535698	6004.19442590977	0	0	3973.84838063953	3522.16126879844	1279.19786480521	0	1192.35415490428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1874.62628958579
HMF003322A	1626.45378199763	7333.55499119795	1408.25875155118	1597.92828489798	1824.13047242504	0	1754.56829528729	1064.45144440276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731.653978240171
HMF000559A	1774.2637068735	3397.84472548046	2482.77171130554	0	0	0	2285.6867382417	901.601383104726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2216.83173499407
HMF000098A	0	5424.82936575412	872.759607209658	0	972.904140452304	0	2435.01432579493	891.787068525761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181.70549226323
HMF001724A	2940.8	3414.07247956403	0	0	2720.94114441417	0	0	3923.90463215259	5492.96566757493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2644.31607629428
HMF001965A	2350.02538835038	3784.62519484708	0	0	1968.76462472901	8381.24087578163	2396.99591493021	4490.18246645047	3104.55193234551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1412.61360256571
HMF002990A	2015.72491544532	5521.76775648253	0	0	1150.20180383315	1611.6809470124	1712.5670800451	1174.67418263811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432.38331454339
HMF002884A	1049.65289743506	5016.62040161169	1449.40154617224	0	1085.6753038294	1271.79107020015	3742.82808661185	1208.25154781014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448.779146329471
HMF000202A	4697.50836543599	3656.95273177179	1418.75758513061	0	2324.2410932711	0	1818.47102325451	1883.00548322695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1992.06371790905
HMF003323A	133725.323598158	0	0	0	0	0	0	0	0	0	838756.196629738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24165.4797721041
HMF001105A	3535.14636507998	3816.39668461211	0	0	0	6618.89097176498	0	3937.50447344978	4698.68193965684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3235.37956543631
HMF001590A	2787.68193517102	4714.18982431273	2920.28572494312	1600.25252713641	3542.77294938267	2081.62930359208	0	6488.07825730165	1694.32615912567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.78331903465
HMF003675A	1124.26789858563	3492.6723299908	2427.83929587949	0	1575.27363489075	1143.247099006	857.060734772518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785.639006874811
HMF000869A	1233.98217392631	5355.58255242514	1222.99123958365	0	1461.29467964958	3338.74610054638	1207.50401391899	2088.27752510607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458.621714843879
HMF003365A	468.868543148778	1833.39622641509	432.801732137334	2920.91076399629	528.979894834519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293.042839467989
HMF003133A	590.681330767116	5491.83464393731	580.669782788012	0	897.535276326643	0	726.33780588397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.941160296949
HMF002628A	0	9082.62381375852	11859.0917471411	0	0	7537.69809241098	0	0	0	0	80067.2374653991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11167.3488812903
HMF001458B	0	7625.81915025087	0	2640.45675869399	0	19569.8852912825	2212.38270842087	3107.03747003139	2829.48945846412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2480.92916285626
HMF000753B	1220.65385657922	5085.47480649339	1633.86742161853	0	1296.10155708821	1689.82862994308	2409.82953347589	1905.17935126344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349.06484353824
HMF001328A	0	6327.31027700377	1464.79855761351	0	1412.34158334699	0	2629.84297656122	1434.32355351582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971.38305195869
HMF000075A	4135.73635427394	3216.18434603502	1216.745623069	0	0	1970.96807415036	2695.22142121524	0	3967.90937178167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.23480947477
HMF000067A	0	2439.04711689477	442.59928202827	0	549.123177024905	0	321.072021539152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706.158402512903
HMF001505A	3119.47149606299	5659.41273340832	5394.12776152981	2083.81095613048	0	0	2244.6805624297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3705.4964904387
HMF000166A	1404.45147578991	4396.58716523497	1103.8898730791	2317.61953452427	2080.4654460066	0	1700.51963261303	1762.42933151027	1363.51119103528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667.52635020657
HMF003218A	4653.61719103434	4687.11443553362	0	0	0	0	2282.8122146823	5428.05348550278	3813.68628418672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3447.71638906024
HMF001503A	4723.97421411791	2929.88292873923	0	0	0	8478.47983555207	4240.48858932767	3560.71179662155	9426.97074616848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2357.49188947309
HMF001388A	9055.10037131585	0	0	0	0	0	0	2863.68986838179	14559.4653217518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3686.74443855056
HMF000011A	1067.99258447489	6902.22067579909	874.084712328767	809.615342465753	1304.88003652968	0	1622.72902283105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099.47762557077
HMF002606A	4744	4792	0	0	1366	0	5301.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3108.5
HMF000032A	0	5524.72688992697	2467.82469241397	0	0	0	2078.27343904204	0	0	0	1882.74771366537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3247.42726495165
HMF001022A	0	5264.09574681714	1271.65797823206	0	1174.95015864091	0	1879.82055504237	1095.6896260894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725.78593517812
HMF002861A	0	3668.64679465589	0	527.736892331874	0	1796.80655664084	708.818176714943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2208.99157965645
HMF002810B	5519.09259722516	3120.40042719418	2072.59807185329	0	2462.71064329286	2905.33836858006	1865.03817807455	6442.85916062116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602.96255315874
HMF000136A	0	3424.71386040357	8634.3845793362	0	1530.1060756423	0	0	1868.57194839563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2705.2235362223
HMF001051A	3670.74984613017	4318.11659486075	2677.15211955686	2348.45816664102	2131.50011540237	4254.48224726881	2146.03079319895	3621.64617633482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882.86394060625
HMF002441B	0	4124.39316495291	1084.04895011813	0	1195.20778010715	1914.23516688297	0	3735.83797544175	1549.71431899105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1443.56264350604
HMF001762A	3223.67054122775	2786.51180530331	1514.04976389393	0	2125.27170359608	2388.36723574283	954.346531057029	2074.75335997094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457.02905920813
HMF001601A	566.229589149328	2966.84349486437	553.757571767185	0	684.464313932052	0	707.412825915196	0	0	0	0	1029.19087437451	0	0	0	0	0	0	0	0	0	0	0	0	0	1069.10132999736
HMF001544A	2459.0660691051	2862.24085586237	1287.05797310973	751.825936099465	761.830273239844	0	1549.17160618765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708.80728639584
HMF002994A	1173.66504992867	5133.03509272468	0	722.793723252496	0	0	894.744650499287	942.730955777461	2119.39514978602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277.63537803139
HMF002273A	858.380947867299	3401.47222748815	903.45345971564	674.084454976303	748.203696682465	740.691611374408	878.913981042654	2282.67232227488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.1272985782016
HMF001804A	17000.3170868075	0	0	0	0	14420.6346597953	0	16021.8168558718	30629.3560541605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4159.8753433649
HMF002800A	1530.10545988864	4003.46769952568	0	0	3002.22587131367	1179.19594246236	2578.33517220045	4824.75592905754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2272.91392555166
HMF002787A	4796.72804097311	5151.81895006402	1136.79103713188	0	1994.51062740077	1314.83661971831	1534.89295774648	1082.27708066581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565.14468629962
HMF003576A	726.334254143646	3503.6123388582	564.759898710866	0	1104.50828729282	0	1236.0688305709	891.410220994475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665.306169429093
HMF001773A	7118.29774772376	1757.84489643789	0	0	2710.44797046661	7277.14818167297	2112.0114299913	2527.12058285856	2147.9775659798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494.15162486911
HMF002719A	952.400135573525	3124.53202924515	1021.35670362659	0	1275.69650898175	0	1607.48753207766	1306.1773108023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032.34977969302
HMF002057A	2000.8928098809	5069.56254332346	995.190119100132	0	2084.99338332598	1116.83559140463	2767.30934526435	1200.93616484971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652.280042850838
HMF001212A	7515.58450986436	3269.406797164	2426.67305795314	3095.8586621455	4496.24707151665	2483.18873304562	1972.04696362515	7040.95286683107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.041337854509
HMF003324A	0	5260.92171549781	1333.00043086305	0	1323.48972557338	0	1868.10274426621	2957.82934508816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2359.65603871139
HMF000756A	1877.81598261092	2930.27331543281	3522.53067382688	2413.04856156502	2099.91249200869	0	1438.12492008695	4344.88801943485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934.40603503388
HMF002776A	4152.39452704159	2384.01357466063	1443.81103210515	0	4651.00193923723	2212.4766214178	2126.45809092868	2900.12475759535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018.71945701357
