Hartwig-Head_neck_common_SBS31	Hartwig-Head_neck_common_SBS13	Hartwig-Head_neck_common_SBS1	Hartwig-Head_neck_common_SBS2	Hartwig-Head_neck_common_SBS112	Hartwig-Head_neck_common_SBS18	Hartwig-Head_neck_common_SBS4	Hartwig-Head_neck_common_SBS17	Hartwig-Head_neck_common_SBS125	Hartwig-Head_neck_common_SBS16	Hartwig-Head_neck_rare_SBS104	Hartwig-Head_neck_rare_SBS88	Hartwig-Head_neck_rare_SBS44	Hartwig-Head_neck_rare_SBS121	Hartwig-Head_neck_rare_SBS111	unassigned
HMF002046A	406.739429444727	514.066479877738	1566.27279673968	893.723382577687	1140.475292919	433.821956189506	0	0	552.6841569027	0	0	0	0	0	0	399.216505348963
HMF003520A	0	0	1467.57726692209	0	409.7552149851	478.634312473393	0	0	319.257130693912	392.661132396765	0	0	0	0	0	475.11494252874
HMF002031A	0	38937.3227809476	0	6910.95988608073	0	0	0	0	0	0	0	0	0	0	0	5755.71733297167
HMF003022A	1321.9227008149	655.957857974389	1281.3944121071	1194.83399301513	806.562980209546	559.390454016298	0	0	0	0	0	0	0	0	0	626.937601862637
HMF003540A	0	0	683.120257234727	0	0	887.856591639871	0	0	403.979742765273	0	0	0	0	0	0	1131.04340836013
HMF003210A	0	0	661.572317262831	181.342146189736	0	0	0	0	225.547433903577	0	0	0	0	0	0	546.538102643856
HMF000316B	0	0	0	2614.46251109139	2821.65766415262	1247.6751608252	2930.76042590949	2258.12688553682	1621.52728482697	2180.05334960071	0	0	0	0	0	2374.7367180568
HMF001158A	3043.02086049544	0	0	0	1445.57366362451	0	0	0	0	0	7983.19947848762	0	0	0	0	299.20599739243
HMF000748A	0	2795.97036165204	2685.86111705542	1629.0134817034	0	0	1416.83950353092	0	0	0	0	0	0	0	0	870.31553605822
HMF001141A	624.586972343523	1407.07514556041	1390.53311499272	3144.99090247453	992.521834061135	0	0	0	0	0	0	0	0	0	0	705.292030567683
HMF003631A	0	0	417.431128791646	0	0	0	0	0	0	773.35670479032	0	4784.82952096801	0	0	0	107.382645450024
HMF003716A	0	0	1001.97240936798	0	0	0	0	0	0	197.572024382419	0	0	0	0	0	371.455566249601
HMF002513A	0	0	1128.80012433945	237.088125582841	291.723655579733	396.483525023314	0	0	327.311936586882	526.806807584706	0	0	0	0	0	316.785825303074
HMF002410A	0	0	866.722014925373	0	0	0	0	0	0	303.126865671642	0	0	0	0	0	444.151119402985
HMF002061A	0	0	819.516629711752	0	0	0	0	0	271.159891598916	212.29958117763	0	0	0	0	0	739.023897511702
HMF002402A	0	0	1226.87759140596	423.511119487373	396.916226912929	1450.1743309461	0	0	440.070203543159	681.431398416887	0	0	0	0	0	706.019129287592
HMF003381A	0	3109.33817197687	1811.27952392668	4694.02017468323	0	3042.80953991881	0	0	1413.10816213556	0	0	0	0	0	0	2194.44442735885
HMF000557A	3303.15491974878	2565.06720167481	0	3000.32407536636	0	2448.13251919051	5417.47390090719	0	0	2525.58925331472	0	0	0	0	0	2223.25812979763
HMF000138A	0	0	1355.41538461538	768.923076923077	0	552.820512820513	0	0	0	0	0	0	0	0	0	752.84102564103
HMF000472B	451.654008438819	0	515.238818565401	0	0	0	270.48776371308	0	511.706329113924	335.586497890295	0	0	0	0	0	307.326582278481
HMF000040A	0	7700.23865603258	2104.42857627694	0	0	1953.9336840319	0	0	972.966977770236	0	0	0	0	0	0	2000.43210588834
