Hartwig-Kidney_common_SBS107	Hartwig-Kidney_common_SBS2+13	Hartwig-Kidney_common_SBS5	Hartwig-Kidney_common_SBS125	Hartwig-Kidney_rare_SBS1+5	Hartwig-Kidney_rare_SBS2	Hartwig-Kidney_rare_SBS44	Hartwig-Kidney_rare_SBS158	Hartwig-Kidney_rare_SBS3	Hartwig-Kidney_rare_SBS90	Hartwig-Kidney_rare_SBS17+18	Hartwig-Kidney_rare_SBS165	Hartwig-Kidney_rare_SBS126	Hartwig-Kidney_rare_SBS151	unassigned
HMF003724A	1541.71507760532	625.384423503326	2044.12222838137	1199.77827050998	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
HMF002108A	2959.28389984275	522.373593806701	2467.90280633845	2315.4397000121	0	0	0	0	0	0	0	0	0	0	0
HMF002068A	2275.04593659615	0	3678.03255260024	2349.96512221403	0	0	0	0	0	0	0	0	0	0	503.95638858958
HMF002362A	2146.88699011327	0	3014.35146991423	2001.72559418582	0	0	0	0	0	0	0	0	0	0	482.03594578668
HMF000425A	737.322700757106	384.428943775599	2056.29440238302	854.953953084275	0	0	0	0	0	0	0	0	0	0	0
HMF002903A	3081.02546144306	561.049390822208	1949.43430364048	1256.49084409426	0	0	0	0	0	0	0	0	0	0	0
HMF000213B	819.08544600939	0	4372.95618153365	4007.91810119979	0	0	0	0	0	0	0	0	0	0	386.04027125717
HMF003060A	700.944034627812	0	2716.34548558191	4562.88087544961	0	0	0	0	0	0	0	0	0	0	214.829604340668
HMF000673A	451.39603090973	724.635756937127	2610.29012996136	1912.67808219178	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
HMF001771A	1253.38877150619	362.546332629037	1928.90673105946	1432.15816480531	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
HMF002487A	1951.77213777716	749.604518198299	1992.77785525031	2477.84548877423	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
HMF002139A	668.950355672033	0	2940.67772369899	2875.08453762636	0	0	0	0	0	0	0	0	0	0	202.287383002616
HMF003506A	263.5	202	540.5	0	514	0	0	0	0	0	0	0	0	0	60
HMF002471A	2595.81229695584	1043.12549633016	3059.86812657923	1613.19408013476	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-12
HMF002352A	1300.98761577688	530.106150483921	2171.9835570819	806.9226766573	0	0	0	0	0	0	0	0	0	0	0
HMF002394A	642.964013217182	2661.63027936317	1073.77999399219	0	0	3969.62571342746	0	0	0	0	0	0	0	0	0
HMF001936A	1907.1913263006	551.753493823821	2136.67288792715	937.382291948427	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
HMF001356A	1717.51197263398	652.295487864473	1566.905522072	2186.28701742955	0	0	0	0	0	0	0	0	0	0	0
HMF002469A	864.14425881729	0	1901.51789976134	2599.4420578096	0	0	0	0	0	0	0	0	0	0	298.89578361177
HMF002388A	698.844581876849	1164.40723312718	3094.74011831137	2489.00806668459	0	0	0	0	0	0	0	0	0	0	1.09139364212751e-11
HMF003272A	2005.50400100025	1075.64753688422	2495.98324581145	2436.86521630408	0	0	0	0	0	0	0	0	0	0	0
HMF001722A	2336.88070834451	1697.09203112423	2601.2065468205	2693.82071371076	0	0	0	0	0	0	0	0	0	0	0
HMF001591A	1736.465604854	0	2509.11543420554	1916.65073947668	0	0	0	0	0	0	0	0	0	0	418.76822146378
HMF001953A	2124.55363584583	562.822099867097	3501.17258401367	1695.4516802734	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
