Hartwig-Lung_common_SBS2	Hartwig-Lung_common_SBS3+8	Hartwig-Lung_common_SBS31	Hartwig-Lung_common_SBS4_a	Hartwig-Lung_common_SBS1+5	Hartwig-Lung_common_SBS17	Hartwig-Lung_common_SBS4_b	Hartwig-Lung_common_SBS92	Hartwig-Lung_common_SBS13	Hartwig-Lung_rare_SBS44	Hartwig-Lung_rare_SBS1	Hartwig-Lung_rare_SBS35	Hartwig-Lung_rare_SBS18+33	Hartwig-Lung_rare_SBS18	unassigned
HMF002778A	0	0	0	15821.6415678973	0	0	11676.3904736762	0	0	0	0	0	0	0	8479.9679584265
HMF001372A	0	3187.89995859837	2903.45349843803	23455.0851744514	0	0	16312.9295043095	0	0	0	0	0	0	0	7268.6318642027
HMF001179A	0	0	0	0	15790.4132923256	0	0	0	0	38196.2428797612	0	0	0	0	953.343827913195
HMF003600A	2157.37931944078	2347.41273190891	0	3030.03275301152	1642.28875406665	0	1807.31777015739	5922.54132594742	4783.34102699376	0	0	0	0	0	1059.68631847357
HMF003787A	0	1773.70832001704	0	4195.27111963354	1818.30155179148	0	2854.9689286602	1831.3287880402	0	0	0	0	0	0	1636.42129185754
HMF000009A	0	9271.75069625165	0	11313.8565379172	0	0	12100.0897936356	13160.9045107976	36501.3290302698	0	0	0	0	0	5290.06943112815
HMF002238A	0	8374.19744344245	11946.2746158708	59291.1787211776	0	0	41323.2453737997	13822.1028467357	0	0	0	0	0	0	12459.0009989738
HMF002585A	2654.41611820013	1252.8483546004	0	0	1024.5114842176	0	0	0	5885.18253861652	0	0	0	0	0	367.04150436535
HMF002269A	0	8394.78179035462	0	11911.7651285725	2603.42913586679	0	4917.36576682189	9251.7397071434	6966.35164501178	0	0	0	0	0	2096.56682622902
HMF002077A	4446.21249802621	6866.01179009421	0	18533.6331649034	0	0	26920.2046423496	8951.40791620612	0	0	0	0	0	0	10256.5299884205
HMF003544A	2395.61507190628	1570.71460418761	0	715.781352450059	2843.10355378765	0	0	0	3104.88932115225	0	0	0	0	0	820.896096516151
HMF001694A	638.40682912593	1494.78184736612	0	0	2362.65518750912	0	0	508.925725959434	1058.34554209835	0	0	0	0	0	788.884867941046
HMF002164A	11927.8520589322	0	0	4443.92541893607	0	0	3541.83157404283	0	8215.40817146254	0	0	0	0	0	3011.98277662636
HMF000059A	1714.70724151505	2023.06467900115	4504.91724716313	7797.3950399644	3964.66702038441	0	5984.23331678847	0	0	0	0	0	0	0	3211.01545518339
HMF000893A	887.065452671362	1257.5103934032	0	1496.79780106511	1272.02783026971	0	0	2943.5354750043	2974.07215255111	0	0	0	0	0	824.990895035207
HMF003735A	0	276.687116564417	0	0	700.773006134969	0	0	346.613496932515	0	0	0	0	0	0	151.926380368099
HMF000024A	0	6546.45094376862	0	49999.8499164785	0	0	25395.0512826685	0	6595.93545498746	0	0	0	0	0	15295.7124020969
HMF001290A	0	0	0	17072.657064722	2560.09899726527	0	12121.8663628077	0	0	0	0	0	0	0	6619.37757520503
HMF002958A	2655.95313137911	1611.84747285049	0	3110.34631610462	1651.29479328271	0	2752.82376636455	3417.43621567187	2352.8578971721	0	0	0	0	0	793.440407174548
HMF003233A	0	3639.94379985497	2607.66872909308	14331.9352031626	3092.82801936887	0	11244.6033240544	4055.15221408688	0	0	0	0	0	0	3746.8687103792
