Hartwig-NET_common_SBS18	Hartwig-NET_common_SBS2+13	Hartwig-NET_common_SBS17	Hartwig-NET_common_SBS1	Hartwig-NET_common_SBS3+8	Hartwig-NET_common_SBS5	Hartwig-NET_rare_SBS93+121	Hartwig-NET_rare_SBS4	Hartwig-NET_rare_SBS11_a	Hartwig-NET_rare_SBS11_b	unassigned
HMF003153A	0	0	0	666.622014676451	0	2363.70553702468	0	0	0	0	720.672448298869
HMF003578A	0	0	0	195.373801916933	315.488817891374	766.543130990415	0	0	0	0	126.594249201278
HMF003145A	0	0	0	233.611281154351	557.959991254919	1289.37385220813	0	0	0	0	212.0548753826
HMF001237A	0	0	0	198.658662092624	138.26243567753	450.22641509434	0	0	0	0	85.852487135506
HMF002455A	0	0	0	277.234246312967	603.421566749665	1456.10419459874	0	0	0	0	271.239992338628
HMF001842A	0	0	0	128.161820480405	178.225031605563	395.499367888748	0	0	0	0	90.113780025284
HMF002891A	0	0	0	142.363636363636	121.160541586074	454.352030947776	0	0	0	0	65.123791102514
HMF000001A	0	1261.16657366891	985.239523068339	4245.37761005551	1188.68573610173	1103.20833455699	7621.48503715016	0	0	0	615.837185398363
HMF003351A	358.530027818688	544.785877925053	0	0	1928.97144493536	2652.52299132712	0	0	0	0	618.189657993779
HMF001381A	0	12484.6260798506	20723.239726827	0	4582.39458323605	3605.73674994163	0	0	0	0	1419.00286014472
HMF001603A	1529.76968796434	1905.82763744428	4140.64338781575	5977.86924219911	0	0	0	0	0	0	936.890044576519
HMF000697A	214.007522653445	0	0	321.508975893315	723.644041716533	1378.10890750556	0	0	0	0	273.730552231147
HMF002629A	0	585.760152848129	406.180396338754	0	1436.638052075	2739.2165644717	0	0	0	0	461.204834266417
HMF003041A	0	0	0	522.887077997672	1143.34638586094	2365.25092602392	0	0	0	0	696.515610117468
HMF003482A	0	0	0	536.101056282516	591.265804824216	1700.07725051238	0	0	0	0	353.555888380888
HMF000091A	143.57103960396	0	0	533.263861386139	273.135148514851	841.916584158416	0	0	0	0	229.113366336634
HMF003032A	295.5	0	0	777.5	541.5	2313.5	0	0	0	0	398
HMF002874A	0	310.764521362899	0	639.015792320173	975.261005949162	2285.76798269335	0	0	0	0	408.190697674416
HMF003561A	0	0	225.461485909479	346.94073441503	407.930315969257	1747.70145175064	0	0	0	0	198.966011955594
HMF001185A	0	126.980988593156	0	423.604562737643	0	839.178707224335	0	0	0	0	62.2357414448661
HMF002928A	533.090200812027	0	0	0	1207.57171074289	2241.27707670361	0	0	0	0	571.061011741473
HMF001116A	249.873545776429	0	0	887.550834597876	333.831057157309	2131.42134547294	0	0	0	0	349.323216995446
HMF000837A	349.318349547132	0	0	1116.11472660181	477.618919825562	805.386782958739	0	0	0	0	239.561221066757
HMF001409A	0	327.176756756757	0	619.834864864865	0	703.38	0	0	0	0	200.608378378378
HMF001090A	0	724.414899713467	374.214326647564	531.304297994269	1417.81203438395	2805.10659025788	0	0	0	0	258.14785100287
HMF001021A	0	0	0	310.383751403969	747.220142268813	1264.02658180457	0	0	0	0	348.369524522648
HMF001282A	323.186669235215	0	0	453.261799267964	413.738971296475	1223.2065112695	0	0	0	0	183.606048930846
HMF000510A	255.494871084003	0	0	465.902411976712	1180.78708067646	1540.98475187136	0	0	0	0	170.830884391465
HMF002533A	0	301.745621181263	0	474.886558044807	452.368228105906	1066.36802443992	0	0	0	0	161.631568228104
HMF003111A	0	332.262945914845	0	299.688147295742	0	916.604718066743	0	0	0	0	193.44418872267
HMF000839A	1108.40729901	2711.55004708218	1543.67454762935	2556.1331534879	7807.32517242257	3908.90978036801	0	0	0	0	0
HMF003078A	0	0	0	312.587747287811	320.628589661774	765.387683471602	0	0	0	0	176.395979578813
HMF000419A	0	0	347.943599556854	490.329741162252	1546.19317151778	2239.57357236378	0	0	0	0	353.959915399334
HMF002807A	0	0	272.23451516446	441.691727182116	634.712516018795	1967.3079880393	0	0	0	0	205.053253595329
HMF001815A	0	320.454390934844	0	410.301416430595	263.551274787535	1486.46912181303	0	0	0	0	162.223796033996
HMF002183A	288.246364414029	420.359281437126	0	917.784431137725	1083.92643284859	1856.58682634731	0	0	0	0	113.09666381522
HMF002798A	0	11648.6697625744	0	973.730917653215	0	1816.09340048401	0	0	0	0	893.505919288375
HMF003685A	0	0	0	481.08830548926	0	1685.30934459335	0	0	0	0	557.60234991739
HMF003144A	0	0	0	605.239860627178	627.711637630662	1889.12738675958	0	0	0	0	460.92111498258
HMF003107A	0	0	0	626.576321119499	414.881605597496	1463.34597679985	0	0	0	0	213.196096483155
HMF002561A	0	0	0	427.4943273906	330.382032877981	1249.94535772169	0	0	0	0	154.178282009729
HMF002919A	653.491952605986	775.083487432368	608.458050818437	2723.04992808712	1107.8339839737	1438.08259708239	0	0	0	0	0
HMF000739A	0	0	0	518.572264808362	718.600139372822	1931.26912891986	0	0	0	0	419.558466898956
HMF003636A	378.162860835847	501.716070659199	0	618.266264541146	1332.07367514003	1697.23093494184	0	0	0	0	116.550193881938
HMF001901A	482.294837288965	1069.15359677025	0	1634.9995106435	2243.37142158062	2433.98794959628	0	0	0	0	315.192684120385
HMF001761A	0	0	0	168.171428571429	187.190816326531	523.533673469388	0	0	0	0	102.104081632652
HMF002991A	0	313.886149383611	0	585.787527193619	274.900290065265	1331.5170413343	0	0	0	0	250.908992023205
HMF000154A	17200.593765843	0	0	0	23909.1303361844	0	0	44023.2399845182	0	0	6588.0359134544
HMF002757A	0	0	26319.0515065515	0	0	1972.40432341042	0	0	0	0	4820.54417003808
HMF000569A	0	0	0	600.073464702506	1328.76984886168	2532.92060455328	0	0	0	0	770.236081882534
HMF002788B	0	0	0	0	0	0	0	0	220066.895012198	0	1291.10498780201
HMF000029A	0	254.718853362734	0	329.636163175303	342.122381477398	1628.20286659316	0	0	0	0	163.319735391405
HMF000322A	0	0	267.935685145188	360.413486921046	847.296616270698	2386.92704583633	0	0	0	0	303.427165826738
HMF001240A	0	0	0	479.417369631902	577.104294478528	1223.84183282209	0	0	0	0	332.63650306748
HMF002403A	915.366912404414	4521.40317780118	674.165483767572	957.81436878978	2636.73611429095	1200.51394294611	0	0	0	0	0
HMF002291A	0	3248.9126383865	4495.91439219555	1400.68683547079	2861.44601556506	1129.36007892141	0	0	0	0	564.680039460691
HMF003052A	0	0	0	411.172265904217	517.475339528234	1507.79878484632	0	0	0	0	369.553609721229
HMF001964A	1261.5433740389	0	0	5113.14925373134	2169.21483491633	1611.91655359566	0	0	0	0	895.175983717771
HMF001000A	1769.75402472212	6068.08537984852	0	1147.48890127545	3903.6632020722	1968.83884717532	0	0	0	0	398.169644906391
HMF002365A	0	0	0	556.150768748039	681.072325070599	1581.00721681832	0	0	0	0	366.769689363042
HMF002347A	0	299.099774943736	0	424.223180795199	330.006751687922	1432.18942235559	0	0	0	0	172.480870217553
HMF001306A	0	0	0	759.947269890796	536.66895475819	1676.08923556942	0	0	0	0	236.294539781594
HMF003623A	0	0	0	772.422581400796	272.708362614195	947.699226985242	0	0	0	0	151.169828999767
HMF001460B	0	0	0	0	0	0	0	0	79003.9626716641	0	6374.03732833589
HMF000648A	0	210.647237118209	0	319.723478666356	310.216833760783	1228.35859174633	0	0	0	0	77.053858708322
HMF000736A	0	0	0	596.821313734497	644.887459807074	1722.37023426734	0	0	0	0	305.920992191089
HMF000578A	0	0	0	282.952289465258	315.504322766571	796.773615113673	0	0	0	0	168.769772654498
HMF001754A	0	0	0	207.27207362669	474.266609145815	910.893011216566	0	0	0	0	152.568306010929
HMF002354A	0	252.27125941873	0	297.319698600646	0	642.691065662002	0	0	0	0	202.717976318622
HMF002351A	0	0	0	583	421	1214	0	0	0	0	313
HMF000762A	503.272123038875	1684.41077363011	0	3028.63760723394	569.808099544014	526.284566040652	0	0	0	0	160.58683051241
HMF002098A	320.661749209694	548.920969441517	0	887.064278187566	436.040042149631	2407.46048472076	0	0	0	0	139.852476290832
