Hartwig-Pancreas_common_SBS13	Hartwig-Pancreas_common_SBS127	Hartwig-Pancreas_common_SBS1	Hartwig-Pancreas_common_SBS17	Hartwig-Pancreas_common_SBS3+8	Hartwig-Pancreas_common_SBS100	Hartwig-Pancreas_common_SBS18	Hartwig-Pancreas_common_SBS31	Hartwig-Pancreas_rare_SBS6	Hartwig-Pancreas_rare_SBS98	Hartwig-Pancreas_rare_SBS108	unassigned
HMF002336A	408.831133773245	333.493701259748	1013.03734253149	0	481.155068986203	646.395170965807	268.70350929814	0	0	0	0	197.384073185367
HMF003646A	1684.13246675182	868.326095123601	1059.39785107822	534.70080396724	680.755654068675	840.815763768878	687.258096025246	0	0	0	0	301.61326921632
HMF000092A	734.710743801653	901.145218417946	1421.44037780401	0	1183.03423848878	0	1294.49035812672	0	0	0	0	815.179063360891
HMF003347A	0	1220.96969405426	1421.5468539542	0	505.194342890129	773.797671733693	662.754954781605	0	0	0	0	614.736482586113
HMF002574A	0	0	0	0	7260.35508229808	1156.88902808226	4627.55611232905	955.560288130285	0	0	0	391.639489160325
HMF001394A	405.412976685342	706.976323874932	1560.74010482559	0	752.909813844208	789.856316645581	880.225465389481	0	0	0	0	428.878998734866
HMF003012A	0	5685.32121742938	0	9595.23160718196	0	0	2091.4289467922	0	0	0	0	926.018228596458
HMF003274A	5741.11732848297	2290.04680059676	0	0	13384.2735280293	0	0	0	0	0	0	3050.56234289097
HMF001350A	0	408.902330925804	1142.12376887722	0	442.435325016415	449.442219304005	305.300393959291	0	0	0	0	300.795961917265
HMF000051A	0	567.645771144279	731.924378109453	0	518.109452736318	571.689552238806	0	0	0	0	0	150.630845771144
HMF001934A	648.6930350788	0	1019.23131672598	0	385.098729028978	2235.78179969497	394.638332486019	0	0	0	0	254.556786985253
HMF003521A	6162.6997072056	0	1992.21109762194	1704.10826251518	4843.22873669928	2521.90016425052	1935.69092337356	0	0	0	0	1852.16110833392
HMF003175A	1589.10121190107	4356.01862431067	0	0	5675.43294917941	0	0	0	0	0	0	3531.44721460885
