Hartwig-Prostate_common_SBS1	Hartwig-Prostate_common_SBS8	Hartwig-Prostate_common_SBS18	Hartwig-Prostate_common_SBS3	Hartwig-Prostate_common_SBS5	Hartwig-Prostate_common_SBS17	Hartwig-Prostate_common_SBS2+13	Hartwig-Prostate_rare_SBS44	Hartwig-Prostate_rare_SBS33	Hartwig-Prostate_rare_SBS97	Hartwig-Prostate_rare_SBS35+116	Hartwig-Prostate_rare_SBS4	unassigned
HMF002989A	905.686887692208	1958.97463180432	909.703237526763	1310.83617725297	1640.1768636865	0	588.897294491663	0	0	0	0	0	423.724907545576
HMF000995A	5508.98949204458	0	0	0	0	0	0	16476.3997277291	0	0	0	0	1552.61078022632
HMF003190A	1646.9785202864	2009.15437759075	1298.253485743	1173.21065192815	841.423690491144	0	711.399070468534	0	0	0	0	0	251.580203492022
HMF002517A	2004.10180045011	907.63120780195	835.000675168792	866.557389347337	1194.14613653413	590.060465116279	0	0	0	0	0	0	279.502325581402
HMF002297A	2472.57587100489	0	913.626259717823	553.063057875036	561.04232651886	0	360.064497552548	0	0	0	0	0	335.627987330843
HMF003733A	1539.21919891837	3254.84890992057	1471.25367584925	1529.22426905526	1138.92225790096	1185.39868176441	1709.13300659118	0	0	0	0	0	0
HMF000679A	1558.82176287051	539.630655226209	1093.27769110764	403.471528861154	934.091653666147	0	436.510140405616	0	0	0	0	0	168.196567862724
HMF001440A	2101.90313658565	1379.4675454599	1008.01482963573	1396.44253516154	1004.51997881481	1052.94862590478	540.703348437592	0	0	0	0	0	0
HMF001885A	0	5892.68802482658	1307.59647681636	1295.5910003651	942.429901423877	677.809191310697	722.329499817452	0	0	0	0	0	122.555905439935
HMF002110A	1585.51738207932	947.309123551493	1022.83376856537	967.815815244002	1031.33654316958	0	0	0	0	0	0	0	574.187367390236
HMF003266A	1187.48651858891	516.929445302292	0	407.338401235301	1028.85473334125	501.41655778596	385.320109276636	0	0	0	0	0	185.654234469651
HMF000826B	0	0	0	0	10400.7388946024	0	0	43216.5272202501	0	0	0	0	6652.7338851475
HMF003020A	2224.12988556992	1094.78674394412	1326.16436320404	0	1021.16659236142	0	0	0	0	0	0	0	1073.7524149205
HMF001250A	1412.92221304707	1952.89248554913	2998.33492981007	1297.42857142857	0	0	579.468097990641	0	0	0	0	0	840.953702174518
HMF002537A	1140.98347160589	1365.88886745128	693.167406264068	1346.93896713615	2275.9827641649	0	474.744871052801	0	0	0	0	0	456.293652324911
HMF002468A	6204.68440254756	0	0	0	0	0	0	15881.7105318655	0	0	0	0	1638.60506558694
HMF000589A	1469.18722101773	1088.0278025762	2277.46499171024	839.749649279429	1074.53985461038	602.461675806657	482.568804999362	0	0	0	0	0	1.81898940354586e-12
HMF000458C	0	0	0	0	0	0	0	158889.709289664	0	0	0	0	15625.290710336
HMF001547A	0	6347.34179864648	2130.10793274262	1943.68600432568	1871.7161445615	1376.42356798995	0	0	0	0	0	0	657.724551733771
HMF002029A	0	0	0	0	14527.0243961892	0	0	77934.0837311341	0	0	0	0	5986.8918726767
HMF003585A	1365.28429620051	4623.6895751721	0	2643.17841250523	1811.72327235386	0	1182.51397710417	0	0	0	0	0	1503.61046666413
HMF001477A	618.471168437026	843.913884673748	768.600056904401	0	1739.20077769348	324.198596358118	656.37746585736	0	0	0	0	0	308.238050075867
HMF000312A	2936.29944047849	1401.68821146054	0	0	0	4492.89793555856	0	0	0	0	0	0	1529.11441250241
HMF000474A	1909.42082606166	0	920.595695171611	0	759.554159394997	0	0	0	0	0	0	0	722.429319371732
HMF000551B	1677.74271695799	1511.76816927323	508.921956455075	1288.80236123888	0	0	799.377414903404	0	0	0	0	0	734.387381171421
HMF003801A	1411.27852348993	692.855033557047	0	1265.88926174497	1131.02818791946	0	0	0	0	0	0	0	727.948993288593
HMF002427A	1442.06450363946	1684.16292395849	524.797196840638	510.762505807651	932.805714728202	842.582700944711	535.824454080843	0	0	0	0	0	5.45696821063757e-12
HMF001972A	1006.50594227504	815.340057924698	1052.16498551883	0	1076.2488764606	391.363227803855	0	0	0	0	0	0	682.376910016977
HMF001592B	1209.7131277533	2323.90942731278	0	1112.19594713656	2167.88193832599	3355.09110132159	0	0	0	0	0	0	1183.20845814978
HMF000938A	1055.77941176471	1343.03563348416	535.409502262443	0	1450.81938159879	0	360.950226244344	0	0	0	0	0	572.005844645553
HMF002207A	1920.13789039481	1300.62548287828	616.00667845217	1427.33254763308	0	1283.59765599424	653.067242846854	0	0	0	0	0	448.232501800566
HMF001539A	516.977075641796	1093.33665321542	738.039666867004	836.34515325835	2089.36584528205	0	0	0	0	0	0	0	537.93560573538
HMF000826A	3391.27641122004	0	0	0	9607.94938398619	0	0	42694.1586671315	0	0	0	0	3151.61553766227
HMF003028A	2249.31753143518	0	1890.29281688105	678.269692152045	1641.54357566122	0	0	0	0	0	0	0	508.576383870505
HMF001731A	2346.45461215234	0	3106.53131461349	711.913426265591	0	608.061361968919	0	0	0	0	0	0	749.039284999661
HMF000002A	1467.05880565264	260.276553715241	619.157878741833	254.270171706428	474.504178696247	0	0	0	0	0	0	0	218.732411487611
HMF000589B	1360.31754251751	1063.81239333843	2960.04295886542	671.644265285706	932.08797740246	1086.35079150238	0	0	0	0	0	0	436.744071088094
HMF003341A	1985.06209140104	5408.16916387751	1518.04748349964	4204.13150239294	1251.53914729895	0	0	0	0	0	0	0	1618.05061152992
HMF003756A	1465.48266485384	645.31339225017	925.88443235894	0	823.676410605031	519.056424201224	519.557443915704	0	0	0	0	0	260.029231815091
HMF003143A	1043.6299987542	516.064283044724	773.596362277314	468.05830322661	918.114364021428	0	0	0	0	0	0	0	294.536688675724
HMF000222A	0	2985.57284499488	0	3415.87604530539	1203.74690377898	4547.48830316503	1223.28337038213	0	0	0	0	0	821.032532373591
HMF001867C	1432.75075570212	1423.73344325364	0	524.006045616928	602.156086837043	558.071448200055	604.159934047815	0	0	0	0	0	324.122286342399
