Hartwig-Stomach_common_SBS18	Hartwig-Stomach_common_SBS17	Hartwig-Stomach_common_SBS2+13	Hartwig-Stomach_common_SBS1+5	Hartwig-Stomach_common_SBS93+121	Hartwig-Stomach_common_SBS17+18	Hartwig-Stomach_rare_SBS31	Hartwig-Stomach_rare_SBS26	unassigned
HMF003039A	4581.67390771343	4511.66361006228	0	2347.84533908694	7147.55131662826	0	0	0	1807.26582650909
HMF002880A	5728.99016081001	5995.47811792734	2755.54558665873	0	3547.99661703395	2909.82808814771	0	0	88.16142942226
HMF002898A	0	22544.6546887461	0	0	4558.50379196572	0	0	0	4854.84151928818
HMF000409A	0	28042.14214636	4439.3853020997	0	4610.30388515926	4152.52194924535	0	0	741.646717135685
HMF001808A	0	22256.9400272747	0	0	6206.37753322127	0	0	0	3074.68243950403
HMF000883A	1124.22659150282	0	706.01429946377	3295.73271002337	1192.67949951877	732.496081396948	0	0	216.850818094322
HMF001043A	2450.91600841318	0	0	1633.2759990652	0	1163.83440056088	4322.16933863052	0	1148.80425333022
HMF001981A	0	0	0	17972.8374096445	0	0	0	288411.149717794	11829.0128725615
HMF003257A	7326.64958108573	2912.26447836566	0	7571.08784574773	0	2746.80626649834	0	0	1220.19182830254
HMF001007A	0	2594.45544931864	8314.5382929386	0	2608.43365839713	0	0	0	2198.57259934563
HMF000155A	1953.31243833953	13739.2822341959	8970.41587614783	0	0	0	0	0	1728.98945131674
HMF003294A	0	20579.1285382107	0	0	6923.37039009626	8921.68866343643	0	0	2062.81240825661
HMF000590A	2521.80422039859	5417.33912394756	2472.6423318768	0	2199.74368538847	1504.45411915166	0	0	5.01651923691861
HMF000946A	0	303.825441696113	1064.14233215548	1712.97286219081	300.812296819788	0	0	0	171.247067137809
HMF002713A	663.539839478888	0	0	1886.53483773409	4605.24671396999	1004.81749447482	0	0	443.861114342212
HMF000726C	6869.95282859935	11614.193807069	0	0	7374.26584453654	2007.25577007312	0	0	1802.33174972199
HMF002282A	0	16545.7388061086	0	6694.34488133455	2330.01226549888	0	0	0	1392.90404705797
HMF001135A	396	0	1205.5	606.5	449	0	0	0	8
HMF001911A	1263.90012642225	474.898862199747	1426.69405815424	1460.65107458913	707.604298356511	986.251580278129	0	0	0
HMF003135A	0	24885.509906682	0	0	2450.41017139496	4682.87280408567	0	0	5371.20711783737
HMF002430A	1886.14658380852	3036.8209103015	0	3359.58930583535	2902.41735240892	2946.38580257452	0	0	501.64004507119
HMF000473A	2294.06750465549	5260.94809124767	1384.14408752328	2571.19646182495	2383.60917132216	3298.03468342644	0	0	1.09139364212751e-11
HMF002033A	1350.65644989339	2180.98214285714	0	1278.54131130064	1767.82249466951	937.997601279318	0	0	1.81898940354586e-12
HMF000386A	5564.90927751915	1038.60287379495	1503.09611084638	0	3394.10413841135	2046.17279425241	0	0	108.114805175759
HMF002406A	3392.62975486052	2399.96956889265	0	2227.61538461538	2608.29332206255	9600.87743026205	0	0	455.614539306851
HMF001595A	3775.76343831399	3297.04700449917	0	1848.40510300734	1238.76622069619	6488.15676059673	0	0	233.86147288658
HMF003475B	2823.65581986651	19882.6593892868	3686.66189521551	0	11832.938953133	2701.0839424981	0	0	8.00355337560177e-11
HMF002104A	6108.64701105187	11462.2140461142	0	2413.25560538117	3081.32636559444	4122.93669008863	0	0	1135.62028176969
HMF002541A	0	3699.10710327456	2372.6722418136	2472.74277078086	0	0	0	0	1387.47788413098
HMF003611A	0	11602.9206520858	0	2053.27810970829	2820.00854308038	0	0	0	2011.79269512553
HMF002760A	8458.68301384318	4906.6969826395	0	0	6409.09445686674	0	0	38841.0548618613	1164.47068478928
HMF002497A	0	6090.74868539486	0	5657.4820218864	2939.80937041073	5578.93367757828	0	0	855.026244729728
HMF000095A	1859.86635581533	517.601957049977	658.629736652	2692.03027516911	1694.33374926118	0	0	0	192.537926052402
HMF003475A	3183.2323287384	26369.6406729912	0	0	14514.9995492426	0	0	0	3618.1274490278
HMF002288A	8685.26162399951	3736.96716971141	6334.5967902894	0	5790.17441599967	0	0	0	1.09139364212751e-11
HMF002875A	0	32366	7315	0	0	0	0	0	0
HMF003007A	5724.30273380697	7215.7935518717	0	0	7473.46472641157	3346.22294237401	0	0	325.216045535752
HMF002150A	2156.46288708909	712.313530252501	0	4405.53153882801	859.481610290615	2321.15097665555	0	0	52.0594568842334
HMF000455A	3863.30380004064	810.742613289982	0	3094.65165616745	3696.94623044097	0	0	0	863.355700060958
