Hartwig-Uterus_common_SBS17	Hartwig-Uterus_common_SBS31	Hartwig-Uterus_common_SBS13	Hartwig-Uterus_common_SBS111	Hartwig-Uterus_common_SBS2	Hartwig-Uterus_common_SBS3+8	Hartwig-Uterus_common_SBS1	Hartwig-Uterus_rare_SBS44	Hartwig-Uterus_rare_SBS108	Hartwig-Uterus_rare_SBS159	unassigned
HMF002431A	0	0	0	0	0	1069.40492488221	3830.65943639435	0	0	0	723.93563872344
HMF001824A	482.436678614098	0	1314.91577060932	0	734.687873357228	1126.35424133811	1308.89784946237	0	0	0	69.7075866188743
HMF001215A	0	0	0	0	0	1663.64763594614	2350.84980690951	0	0	0	763.50255714435
HMF002012A	0	1156.95478097033	8271.10221384833	1656.71926519077	2818.6716910033	1176.44559585492	1673.71125765426	0	0	0	222.39519547809
HMF001789A	0	6071.72963235481	5280.82997995585	0	3709.52934311014	2168.72483698272	1861.7637835232	0	0	0	611.42242407328
HMF002482A	0	0	0	0	1408.27844799478	0	5220.5575480926	0	0	0	1021.16400391262
HMF000810A	0	618.664809818087	1350.63451997563	481.295151884411	674.314561754722	746.508834537384	1812.37705631474	0	0	0	76.2050657150257
HMF001101B	0	1276.48974008208	1395.22132108657	1498.92358803987	3903.61383623217	0	1699.81541919093	0	0	0	479.936095368379
HMF000343A	0	0	24859.329996826	0	15759.9998299628	0	0	0	0	0	3509.6701732112
HMF003548A	5465.53752552402	0	2509.13997583031	0	0	1675.09205317331	0	0	0	0	2342.23044547236
HMF002970A	0	313.795400943396	0	235.978183962264	0	213.239386792453	0	0	0	0	93.987028301887
HMF000905A	0	5120.39830243467	0	0	1032.67697118606	1512.02702702703	2189.31516640608	0	0	0	1334.58253294616
HMF003505A	0	4050.14443021767	0	0	0	0	28754.423815621	33532.8134443022	0	0	115.618309859128
HMF002941A	0	0	12233.0456012596	0	9922.36477071443	0	0	0	0	0	3273.58962802597
HMF000457A	942.705153919944	0	0	0	0	2938.43202232493	1162.33539722682	0	0	0	706.527426528306
HMF000544A	0	0	870.114100785946	0	604.384650947758	978.004253351826	2623.32907998151	0	0	0	326.16791493296
HMF001311B	417.324829600779	649.005160662123	606.972444011685	0	0	1270.98928919182	1617.75920155794	0	0	0	576.949074975653
