ICGC-Bone_SoftTissue_common_SBS5	ICGC-Bone_SoftTissue_common_SBS122	ICGC-Bone_SoftTissue_common_SBS18	ICGC-Bone_SoftTissue_common_SBS3	ICGC-Bone_SoftTissue_common_SBS1+5	ICGC-Bone_SoftTissue_common_SBS2+13	ICGC-Bone_SoftTissue_common_SBS8	ICGC-Bone_SoftTissue_common_SBS17	ICGC-Bone_SoftTissue_rare_SBS31	ICGC-Bone_SoftTissue_rare_SBS30	unassigned
fc876f51-0577-3b53-e040-11ac0d48515e	374.525925925926	0	0	0	582.931481481481	0	411.273765432099	0	0	0	262.268827160494
fc876f5c-8339-bc9c-e040-11ac0d485160	127.62433460076	0	0	0	195.793155893536	0	280.876045627376	0	0	0	69.706463878328
fc876f66-ff0d-f338-e040-11ac0d485162	149.060586319218	0	0	0	278.985016286645	0	190.857980456026	0	0	0	154.096416938111
fc93369d-3ffb-1b53-e040-11ac0c4852ba	116.4696485623	0	0	0	239.522364217252	0	162.551118210863	0	0	0	115.456869009585
fc93bd81-a3f9-2f8e-e040-11ac0d48306f	187.366646598435	0	0	0	338.995785671282	0	212.382901866346	0	0	0	109.254665863937
fc9404ed-1ba3-2638-e040-11ac0c484da2	116.727051177904	0	0	0	220.598700243704	0	189.231519090171	0	0	0	106.442729488221
fc94ea15-2d98-0c5b-e040-11ac0c48569b	0	0	0	0	295.176470588235	0	445.058823529412	0	0	0	143.764705882353
fc94ec40-2cf2-7ce8-e040-11ac0d4871fb	137.213715359324	225.999060591827	109.972757162987	0	372.29309534993	0	150.329732268671	0	0	0	78.1916392672611
fc9500f3-e7d0-9820-e040-11ac0c48617e	192.242964996568	0	0	0	178.511324639671	0	235.98078242965	0	0	0	134.264927934111
fc95d5ce-6899-62f1-e040-11ac0c486011	0	1327.47990039132	0	0	1304.34080398435	2631.82070437567	0	0	0	0	392.35859124866
fc962061-8ab0-42b3-e040-11ac0c4810cc	707.330805134189	405.194476857254	0	320.737067288993	610.305328665889	209.132633216647	0	0	0	0	332.299688837028
fc96e36c-67f1-4c02-e040-11ac0d48393d	218.27885235332	0	721.181173436493	0	356.032559638943	0	158.518052869117	0	0	0	116.989361702127
fc975588-6e70-b496-e040-11ac0c484689	243.736972704715	221.168734491315	323.979597463468	0	757.289771160739	204.618693134822	0	0	0	0	68.206231044941
fc97c1c5-9f4a-be90-e040-11ac0c480992	411.435940099834	0	376.113144758735	0	298.502495840266	0	371.138103161398	786.554076539102	0	0	447.256239600665
fc990cee-3a1e-9d45-e040-11ac0c484ab3	0	0	278.548915449314	0	409.987605135015	0	0	0	0	0	453.463479415671
fc99832e-a4ae-8259-e040-11ac0c48131c	279.883470550982	0	170.03673210893	0	251.794806839772	0	0	0	0	0	90.284990500316
fc9650a1-9aef-ab3b-e040-11ac0c4829a7	376.982763492512	296.74145238768	0	0	661.612319864368	168.557219553546	0	0	0	0	282.106244701894
fc968a86-32e3-ee88-e040-11ac0d487adb	0	574.89539748954	0	745.10460251046	1111.12970711297	1147.78242677824	0	0	0	0	261.08786610879
fc969f27-bdc6-cd03-e040-11ac0c48577e	470.651549942595	341.561423650976	157.218714121699	0	499.282433983927	0	0	0	0	0	281.285878300803
f8407106-8a96-8f85-e040-11ac0d481656	281.897454545455	358.869454545455	520.810545454545	373.364181818182	330.879636363636	408.851272727273	425.845090909091	0	0	0	48.4823636363631
f85ae2b7-cebf-17a2-e040-11ac0c48033a	0	291.712315270936	240.762561576355	699.809852216749	363.641379310345	406.599014778325	375.629556650246	0	0	0	156.845320197044
f86e2d80-911b-7a19-e040-11ac0d486900	0	0	734.040203757463	0	0	872.54778988881	1974.10812291176	4302.2356356466	0	0	1246.06824779537
f8809cee-8f81-28f8-e040-11ac0d4873bf	0	0	0	0	180.898876404494	0	82.6966292134831	0	0	0	150.404494382023
f82d213f-9843-28eb-e040-11ac0d483e48	179.390625	0	0	252.45703125	487.78125	122.953125	183.92578125	0	0	0	63.4921875
f8425828-5b0f-23a8-e040-11ac0d484128	703.383004430125	345.662505034233	0	0	438.107128473621	0	641.083366894885	0	0	0	366.763995167136
f8572359-f29a-5945-e040-11ac0d4821cf	869.081844619859	572.71292064811	0	0	319.397590361446	234.79227253843	0	0	0	0	414.015371832155
f86ae246-2492-9785-e040-11ac0d4813b0	0	1221.83792899907	1520.66514883211	0	0	1363.49304325828	0	426.466987098406	0	0	1403.53689181213
f87e94a9-ef37-fcba-e040-11ac0c482332	192.945433983602	0	456.370935821317	200.943172179813	0	276.921685043822	285.91914051456	0	0	0	354.899632456886
f82d213f-bc06-5b51-e040-11ac0c48687e	221.30259295499	569.916340508806	327.726761252446	0	189.972113502935	0	0	246.665362035225	0	0	477.416829745598
