ICGC-Kidney_common_SBS100	ICGC-Kidney_common_SBS17	ICGC-Kidney_common_SBS107	ICGC-Kidney_common_SBS3	ICGC-Kidney_common_SBS1	ICGC-Kidney_common_SBS5	ICGC-Kidney_common_SBS125	ICGC-Kidney_rare_SBS18	ICGC-Kidney_rare_SBS2	ICGC-Kidney_rare_SBS44	ICGC-Kidney_rare_SBS22	unassigned
fae88d21-171c-4df4-b258-3c5948a1034b	284.977845351868	0	0	699.628149435274	934.345351867941	279.449174630756	0	0	0	0	0	115.599478714161
9fc0e0e8-1b0f-400c-b4cf-126193283695	0	0	0	214.004124926341	926.34649381261	251.680907483795	0	0	0	0	0	312.968473777254
4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c	0	0	448.87524312309	0	373.396221172548	523.854404001111	197.944984717977	0	0	0	0	254.929146985274
d72a7338-c144-4c62-a70e-2177a3b4b77e	0	0	316.324428709366	0	626.10074026392	416.560991309945	0	0	0	0	0	206.013839716769
2ccd028d-e7e0-4f77-a512-f658a31819a4	0	0	242.817704426107	227.329332333083	736.946736684171	499.624906226557	0	0	0	0	0	291.281320330082
09537dce-c797-4b60-962a-d4c3cd6ab00a	0	0	557.890699904123	226.845637583893	758.312559923298	214.3815915628	0	0	0	0	0	322.569511025886
7087a2b6-7fc4-45b0-8c48-248864f03deb	0	0	374.588430173293	185.534403669725	1018.67940876656	176.986748216106	0	0	0	0	0	217.211009174316
c6d6f49e-6e95-4e41-8388-71f6fe017d80	207.669736424262	0	280.553826611623	338.461733883773	394.372816767228	179.21498888536	0	0	0	0	0	171.726897427754
c56505cb-e150-408d-9df6-3af4e608c376	0	0	322.058420812414	0	207.71519853948	340.033774532177	0	0	0	0	0	224.192606115929
94434272-4cbd-4b4d-bd98-44f18526dd69	0	0	0	128.163818503241	392.936358279316	120.712433706541	0	0	0	0	0	201.187389510902
d113ce88-04ab-4675-b363-92f80c28de34	0	0	181.045714285714	92.04	498.634285714286	0	0	0	0	0	0	113.28
e9032df3-8692-4146-a867-b9b64c9b310a	1284.95480585614	0	0	711.169955442393	1035.43921069383	0	0	0	0	0	0	142.436028007637
f38fc6ac-2af8-4d89-a514-4e2c5fdf08de	0	0	0	216.147431621081	589.127418278852	337.290527018012	174.425950633756	0	0	0	0	190.008672448299
34739bd6-b3be-441d-8cdb-e4233bf14080	0	0	463.949374130737	0	382.431154381085	393.501529902643	275.752990264256	0	0	0	0	293.364951321279
3ace181a-23bd-424e-a87e-e0c01a2a2cb8	0	0	324.077017114914	136.665036674817	237.154034229829	223.085574572127	186.407090464548	0	0	0	0	125.611246943765
bd2ec47b-a120-4b3b-b10d-aee09805ab33	0	0	520.797151389846	237.645302090512	1096.20215943028	0	205.285090742017	0	0	0	0	141.070296347345
148536ce-ee2a-4952-a19d-10d6f44146b9	267.003154574133	0	554.195583596215	356.845425867508	923.659305993691	0	0	0	0	0	0	138.296529968453
9d3b0b87-5fc5-4d09-9c63-4d5fc4bc46d0	75.1895534962089	0	0	0	205.518112889638	121.305812973884	87.7211457455771	0	0	0	0	105.265374894692
cdf313c8-59f9-41c6-9bd2-f47cb4287da5	0	0	296.568616730454	0	413.769272826681	0	0	0	0	0	0	221.662110442865
97c1a300-978d-4df1-9e97-ce2f92b9eff1	0	0	163.564752475248	145.057425742574	361.14297029703	236.093465346535	263.104158415842	0	0	0	0	94.0372277227709
9fb73d89-f7c4-47b2-810b-3ce37cd8a3c9	0	0	0	0	1004.83832335329	0	278.623324779013	0	0	0	0	464.538351867697
c00de7a0-0b09-4e07-988c-ef2a7f8e932a	925.247371333702	0	0	695.191293119351	679.619811842833	0	0	0	0	0	0	422.941523704114
5bebc389-de0d-45b8-9d2f-6476988c358a	186.669249930805	0	0	0	1142.59645723775	164.088292277885	168.604483808469	0	0	0	0	151.041516745091
4ecbfd89-393f-4126-aa1c-951a2c23ef89	0	0	314.755905511811	0	324.716535433071	352.606299212598	256.486220472441	0	0	0	0	269.435039370079
0b811c6a-8f05-44bd-ac33-fb720d189e71	0	0	193.451726155647	256.098010532475	262.112053832651	659.038911644236	287.170567583382	0	0	0	0	55.1287302516089
9a90f951-ad96-4883-b97f-ac43395dae5d	197.040094339623	0	437.308372641509	196.034787735849	498.632075471698	0	241.27358490566	0	0	0	0	134.711084905661
a592e80a-3b1a-46aa-be30-bcd87d6bca6f	357.040518191841	0	237.691289966924	0	830.912348401323	0	171.218302094818	0	0	0	0	230.137541345094
ba686386-8113-4885-b20f-6ad09a295604	0	0	0	245.028746646225	399.678037562284	503.614411651974	0	0	0	0	0	161.678804139517
d648c804-4eaf-4252-8b6f-13378158a07d	213.917587939698	0	461.133668341709	0	171.537688442211	0	0	0	0	0	0	157.411055276382
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	246.545185914799	0	307.680374292046	292.647131248461	821.817286382665	185.409997537552	0	0	0	0	0	180.900024624477
81bb13fc-f082-4c0b-8066-1729f11ef617	0	0	113.249723756906	0	327.221546961326	108.238674033149	164.362430939226	0	0	0	0	193.927624309393
a3deafcb-b54f-4b7e-89ac-c92c16fb919f	382.59889676911	0	732.015760441292	0	702.855791962175	0	0	568.116627265563	0	0	0	166.41292356186
07e0e938-f61f-477a-92a2-5b7e74b78943	0	8976.26713584775	0	0	0	0	0	0	0	0	0	1174.73286415225
58c7e9c3-1345-48c0-a758-0887358b8696	0	0	128.805234021137	157.262204328133	332.497232008052	196.702566683442	0	0	0	0	0	176.732762959236
93b51c61-6eea-4228-a102-840a2e118522	0	0	189.424364123159	0	547.562695225346	190.939759036145	131.839357429719	0	0	0	0	72.233824185631
85ed2434-da94-4333-90ca-6ca4691cbdd3	316.725186460126	0	367.341078600115	0	1384.16924842226	495.133677567413	655.500860585198	0	0	0	0	275.129948364888
24f887e1-ce82-40f3-9674-11102bd076c0	206.846657929227	0	349.273918741809	0	763.97378768021	329.142857142857	0	0	0	0	0	270.762778505897
715f59dd-a80f-422d-988c-f73f4b987baf	447.664419475655	0	186.859925093633	254.808988764045	693.979775280899	290.282397003745	0	0	0	0	0	127.404494382023
345a06d6-fa5c-4674-a847-88a6b537cf3c	0	0	139.324675324675	0	196.367024280068	287.230942970073	0	0	0	0	0	271.077357425184
6400c324-2c94-477d-acb9-669d4ea46f1e	0	0	145.607966457023	0	364.522012578616	164.185534591195	135.06394129979	0	0	0	0	148.620545073376
c29f6ed6-880d-4f03-977e-1087738e5e60	0	0	189.445754716981	0	522.365094339623	155.598113207547	0	0	0	0	0	203.591037735849
64f696a6-58b2-40a8-b848-fd775cd52529	312.714849681142	0	0	405.13058001822	449.59003947768	0	190.82599453386	0	0	0	0	286.738536289098
9dfcbabf-2bc0-43a2-bdde-d0b2aaca3f6b	0	0	0	0	889.619583759809	301.217673149096	0	0	0	0	0	278.162743091095
68b7fdb1-22b5-4152-9e69-a41151640cd8	485.206382978723	538.72914893617	1628.69276595745	603.256595744681	644.274042553192	1084.46127659574	2068.37978723404	0	0	0	0	3.63797880709171e-12
f3c1a125-06e9-41c4-9558-275a3e346cc5	400.438080653395	0	1549.12904543134	820.923124042879	0	886.075752935171	792.356202143951	0	0	0	0	460.077794793264
d01710f9-efc8-4b5f-9e53-300b30f9219f	689.818754925138	379.900183871815	1933.99185710533	630.334384029419	0	0	1522.10007880221	0	0	0	0	552.854741266088
9c181313-5b4c-41c5-9ad5-a5a86fe609aa	0	276.597058348149	556.189752707289	350.489413285922	0	481.29885243252	1143.33441086148	0	0	0	0	281.09051236464
51206157-94cc-4702-8247-c98283b487aa	804.611307837583	0	2049.10351746931	919.842067988669	0	932.868153918791	3101.21045797923	0	0	0	0	681.364494806417
aad8c8d6-d828-4aac-9cfb-cee893e36850	519.935363579863	0	1244.8452454941	321.460037290242	396.450714729646	718.410689869484	581.92765692977	0	0	0	0	238.970292106895
d429c27a-5963-42fe-b3a0-7252c20669d8	895.728797628516	424.081772829152	733.506254066951	1840.52490781578	0	1026.40806883089	1608.70689031885	0	0	0	0	396.043308509861
10d15b7a-16d1-4953-aaef-f193ffa97f42	1025.12968653964	0	1884.65765212047	1195.73448063921	0	889.046097111248	1473.9053472649	0	0	0	0	857.526736324532
85448d11-9f84-44b7-8ae3-a115f24bdb76	0	0	867.681291269259	330.593103448276	492.37270726339	1063.12311078503	292.40909757887	0	0	0	0	377.820689655175
b6365bdb-e6d5-4615-95b3-db12a0c2f3d9	490.112856150104	0	1947.97400972898	1188.3489923558	524.051424600417	1150.41765114663	1552.68950660181	0	0	0	0	328.405559416259
a54aac0e-4108-49cf-bf50-687031c7cda6	0	0	1295.96076026977	598.830165542612	0	1226.74923359902	447.367259350092	0	0	0	0	521.092581238506
b51fa117-2c0a-4e1d-8ec4-9f039073a486	350.624935333678	265.731505431971	785.138644593895	648.003103983445	331.536471805484	589.23072943611	913.734609415416	0	0	0	0	9.09494701772928e-13
fd74de4d-6973-4597-a541-e8a13d80ad55	0	255.100248984406	0	499.696370069454	340.133665312541	1972.77525881274	450.677106539117	0	0	0	0	298.617350281742
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	543.84674617335	392.389426237205	1716.51629260963	589.833787210067	0	0	1588.55235233355	0	0	0	0	491.861395436198
9ae0744a-9bc1-4cd7-b7cf-c6569ed9e4aa	687.148865784499	0	311.293950850662	744.202741020794	241.227788279773	471.445179584121	556.525519848771	0	0	0	0	165.15595463138
fb194ca3-10aa-4dc5-8d08-619ddbd6d1b6	270.235891990291	288.285042475728	548.994993932039	474.792930825243	0	568.046875	956.103610436893	0	0	0	0	198.540655339806
a4f8305f-4409-4776-b34d-4878d18c8693	529.473910797314	460.866023764422	1439.27415188566	926.703633545721	505.11313931462	582.669881177889	1329.89925951438	0	0	0	0	0
063cfacf-9933-4a2d-8921-0aeb76e12779	377.261633919338	278.455015511892	1033.47730667586	367.281167413536	292.427668620016	603.319200275767	1390.77800758359	0	0	0	0	9.09494701772928e-13
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	0	0	1143.40507686807	365.670122750566	655.512334644262	1202.27148134906	333.742581337147	0	0	0	0	485.398403050895
81d0d6bb-7319-4b67-bcf7-36df24e76b43	922.986640029966	0	3798.79229616681	0	0	770.49319515545	1976.39530528156	0	0	0	0	566.332563366213
64446aec-c125-4c81-b9cc-62482cb1aaed	516.957435706299	0	805.874767051808	689.609243384271	624.740067089079	2049.36697726426	1623.22638837123	0	0	0	0	384.225121133053
dacd4cc2-fc2b-4fbd-adf6-c8a46ae69c91	631.81285164347	449.366893692627	1410.5821735268	851.747705063666	768.772283091501	0	2162.35949067219	0	0	0	0	477.358602309746
db4592fb-13c2-4d61-9dc3-a5d43def8d4b	505.429260591176	0	777.930269274625	428.788351898956	369.178756249452	1854.91035874046	1495.7500219279	0	0	0	0	279.012981317431
fbf937f1-5f30-470c-8a77-46cd1c41e073	722.814734144779	0	1914.50928891736	1272.17392696989	918.764509929532	1157.70326713645	1463.12498398463	0	0	0	0	353.909288917359
a56cd282-f6c5-4373-b3d8-676562894598	562.422783449758	342.257281031703	1166.87716281569	0	480.361096184847	908.683073616335	888.668027941967	0	0	0	0	306.7305749597
bcf54c96-2b62-4e24-926f-d77576250dd1	516.646938310949	0	1656.36808559071	0	306.790348281357	750.487138629638	681.034600500797	0	0	0	0	478.672888686549
d991f23a-dc1b-427a-b798-bd4187d3aa02	0	749.41745624791	946.289822762234	1363.07814067551	0	931.762345334968	4171.8907591127	0	0	0	0	825.561475866678
fa5e2900-95e7-4700-9707-a329cd0c77fd	528.464981036662	294.202149178255	754.73590391909	338.657142857143	297.199115044248	830.159544879899	907.581163084703	0	0	0	0	0
39c55051-e1bc-4081-962a-17205645de45	362	0	1149.5	479	0	747	1274	0	0	0	0	381.5
252a1c43-f954-44d7-8e31-6bcd0157a05c	0	0	1533.65594059406	739.093234323432	0	1283.79345434543	997.451045104511	0	0	0	0	897.006325632567
0f53e757-1823-409f-a0ea-249270728e15	322.379258704605	291.890677648821	0	818.193560464245	0	1464.95132909023	830.688880569075	0	0	0	0	276.896293523024
f64e9609-d75d-400c-a92d-d77fd54d6c29	508.295341216698	541.847841572874	737.654224248468	1605.5121812224	710.611910528565	735.651089898846	2190.42741131215	0	0	0	0	0
267a9862-17bd-4056-ba4a-1f373736ffbb	579.806406685237	327.956128133705	1279.27924791086	425.091225626741	493.686629526462	0	1671.32451253482	0	0	0	0	255.855849582174
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5	457.126140420468	0	912.245140817136	0	286.017453391511	506.30107100357	1162.6358587862	0	0	0	0	470.674335581115
2c581a74-7716-4c20-b366-a8e1d9a901f6	534.121030042919	0	0	890.201716738197	714.654935622317	2717.48412017167	1255.75793991416	0	0	0	0	859.780257510737
54842328-9432-4820-8976-7964bf9bf147	729.660771191842	418.16523263225	1982.65407903123	737.172721478649	666.059592096877	0	1602.04859783301	0	0	0	0	150.239005736142
de4c3f91-d164-47df-9971-feba840d247c	0	0	1558.59926918392	857.454323995128	443.958587088916	656.699147381242	947.344701583435	0	0	0	0	455.943970767359
0ed63d84-d3fe-4289-9255-35f4a03b703b	0	349.393263992075	0	718.751857355126	0	404.797052996533	2156.25557206538	0	0	0	0	401.802253590886
6ba5f81a-b7a0-4c18-a112-2e11094eec85	274.042264383773	286.544192503471	310.047817368502	305.047046120623	205.53169828783	363.556069720808	1497.23091161499	0	0	0	0	3.18323145620525e-12
f03330dd-c616-4ad5-abc3-6d6b0445e9e9	418.635065329687	409.12063202674	422.641142509875	624.948040109389	0	0	2419.67061683379	0	0	0	0	648.984503190519
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	627.625978719133	0	1170.7349929733	809.162417185304	630.12648062638	1768.35494880546	2032.90805059225	0	0	0	0	434.087131098173
e6801359-d1d7-4871-b2fb-180674a2e469	0	751.647690795938	890.174909924664	1019.20026203734	654.128529315427	854.167834916476	3126.61434654438	0	0	0	0	338.066426465774
bef23192-57cd-4301-b7a7-5e82ca62482d	327.308615343131	261.746797896724	426.402049346097	307.289739786976	0	950.896588917352	1261.68963192666	0	0	0	0	176.66657678306
42f88b95-fa12-47c7-93f1-cf72f207291c	0	423.452544704264	791.345712975699	779.833409750879	0	1495.59834938102	2478.64893779612	0	0	0	0	581.121045392018
14dd86c1-dfb3-4124-a453-4d64223bc048	317.035243778854	0	507.755658146605	608.108546334872	352.483278910033	1156.80418871749	1219.71196937282	0	0	0	0	272.101114739326
d8415cf6-8e4d-4c54-811e-199da14237f1	438.207292976469	523.845518232441	387.124842823783	677.092868690498	0	655.057301957967	2709.37309143165	0	0	0	0	185.299083887192
63d0c49d-918d-41fb-808a-1f8001981917	0	269.227734789865	0	508.596571081778	0	793.749051737217	1123.68988013958	0	0	0	0	584.73676225156
642e1379-1061-40bc-9a4c-f7c191e84d9d	1197.11058563091	0	0	0	0	1130.63242101026	0	2056.79412356611	0	0	0	620.46286979272
ad9455e9-7147-489e-9b1f-3540c457c260	0	0	726.813496015936	3753.20082171315	586.656623505976	1520.2015064741	786.880727091633	0	0	0	0	667.246825199205
483bb781-0179-42e1-bf9c-487b240769b8	438.360618719657	349.194083775545	379.580444845885	505.609122727786	0	1020.18471265666	1513.34040871627	0	0	0	0	205.730608558197
5ecc88f7-8391-4168-af11-07a6bf9b3652	0	561.809523809524	1185.20779220779	1098.58297258297	0	808.164502164502	3662.77777777778	0	0	0	0	664.457431457434
e1217ebe-1826-41a9-b6c4-702100a66f5e	0	175.368731563422	0	344.724820901812	244.514117151285	816.717235566793	551.65992414665	0	0	0	0	245.015170670038
33b7e799-ad10-498f-9948-8ce433311539	0	514.398751997565	0	763.834563579636	0	1822.68457499429	2623.08302260102	0	0	0	0	857.999086827489
88e35d25-d98d-4576-8ebe-1cd74010ecd8	711.066729235101	985.092444861567	1030.09666823088	1400.13139371187	0	1436.63481933365	4644.43585171281	0	0	0	0	448.542092914122
c14407ad-670e-4d1e-9417-2b76f4810fff	0	447.218679838348	506.181589582398	706.555545577009	0	1531.03691064212	2029.22352941176	0	0	0	0	343.783744948365
2deb8f9a-9e0a-46d1-bcb5-902db3b5c8ac	1041	0	1503	591.5	782.5	571	1983	0	0	0	0	380
7815397b-aa39-4b79-bcaa-6859a3f115f8	0	509.237936187044	967.052825876769	796.807594269139	0	598.104948580469	2526.71881866925	0	0	0	0	282.077876417329
c504d5a9-29b0-4b7e-ac7b-5e543449a0f4	0	507.033307513555	0	723.474403211041	0	2855.31899162031	2083.2455460883	0	0	0	0	945.927751566794
a441697c-4ca0-4eab-9b01-b9cb50223ce2	392.02084702789	401.509249694807	695.150342755188	0	0	1356.84158136914	1879.20311766363	0	0	0	0	593.274861489345
cf5deb22-f7eb-409d-a0e4-882716199c39	295.884630375471	258.899051578537	310.378978822918	469.317006625958	0	1154.05001948811	1125.06132259322	0	0	0	0	233.408990515786
b19ec4cd-2876-4a2b-bcb9-b3c8db54fc15	525.193941480206	526.197177280551	0	853.753666092943	0	1588.62388984509	2969.57796901893	0	0	0	0	822.65335628228
dddea2e4-b8c3-4157-9d92-6de472e8375a	0	317.060920923111	0	608.697145357104	0	1629.17466914579	1301.14623209012	0	0	0	0	701.921032483875
2e8ad1cd-d5d5-4bb4-8bbd-e9bef45088da	592.988667241037	646.442574060574	730.370203459474	1004.13413745112	0	729.371065014249	3612.88461793359	0	0	0	0	221.808734839956
2425a532-f562-423a-88f5-228642f53875	0	546.902234137623	0	773.861662198391	0	553.401072386059	3019.46023235031	0	0	0	0	700.374798927617
b4f515ce-5bee-4e40-a66a-01f41e92181e	0	0	0	0	804.714265908776	564.676001663663	0	0	1859.14986829336	0	0	447.459864134201
8fb7fcac-6c1d-40c2-9309-b53821cbef30	700.547818963752	579.539559014267	0	819.055908253123	0	1694.61567342481	2695.18397160216	0	0	0	0	836.057068741888
bd2cc59d-f5ce-46ed-beb0-4c80b24cbe71	0	0	0	291.429485470541	232.539589442815	875.295121300986	243.612903225806	0	0	0	0	245.122900559852
a9dbd55c-5dcc-48db-8785-6baef3fdd7db	0	535.639681167771	0	991.333141265726	579.61010275617	0	2380.39873235379	0	0	0	0	716.018342456543
ca2b9fe2-97e0-4d4f-afd7-a5acf638800f	0	0	308.945648248465	454.65583243048	198.28602383532	1056.52401589021	607.876850848682	0	0	0	0	146.711628746843
deb0de92-a46b-4e71-814c-2f6c5e97dbcd	353.748329304706	275.803782169771	446.182567894213	526.125693160813	0	440.186833499218	1272.09498080478	0	0	0	0	199.857813166499
cbb788dd-964b-4cfd-80e1-979c7b5b3c52	788.926966292135	0	2342.26763232706	1132.11269798294	618.834912684446	0	1770.45816975768	0	0	0	0	738.399620955739
decfb419-63b3-47b0-9dfc-baae180566a0	0	0	341.505725403002	404.414674819344	298.567871039466	2513.36231239578	524.740522512507	0	0	0	0	408.408893829901
33bf46dd-16b3-49c6-80d7-76caf27aa0f4	781.873043755989	0	1864.58200255509	0	0	1296.94817949537	1294.94594378793	0	0	0	0	1030.65083040562
c5bc0826-8037-4fe6-ad4e-b1b675e771fb	0	103.81311769991	0	164.703504043127	110.301437556155	245.55795148248	426.232704402516	0	0	0	0	60.391284815812
d4c6061b-5019-4564-806d-4e75910a4690	0	685.807856300463	2681.65889503765	1537.31089540053	0	1306.5390547038	4061.28404245668	0	0	0	0	763.399256100878
3232f77f-b745-4232-a802-6699b6356efd	723.082622908788	514.702903660022	1406.18832126146	872.49637843728	463.23261329402	1284.75841292225	2531.53874751619	0	0	0	0	0
6bd4bca3-e568-4d1b-8b42-401fdf13d751	932.887115992333	0	3233.64243899912	1477.23773506709	0	0	2354.1915764389	0	0	0	0	1642.04113350256
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	875.75557669944	733.470345702506	1326.65947774606	1364.73580716778	847.69933396765	1531.57025055503	2798.10920816154	0	0	0	0	0
741c4656-0fd0-416e-86c8-f6533b6c96f4	538.646411092985	500.135943447526	1275.84679173464	998.271343121262	524.642604676455	823.723898858075	2696.73300706906	0	0	0	0	0
005794f1-5a87-45b5-9811-83ddf6924568	426.918089391905	0	1475.21695760599	435.916362938807	0	1365.23805869941	1017.8047189718	0	0	0	0	490.905812392088
04db8bef-8777-48ac-bc2e-3c9acb103f48	1000.85553410553	592.618404118404	812.976512226512	1389.10553410553	0	0	3120.99034749035	0	0	0	0	848.453667953674
a335b03d-41ac-4d41-a2a9-3134b5b0a0a7	473.102181896738	0	1225.26463599049	0	596.128753510477	847.683084899546	963.208036292936	0	0	0	0	524.613307409813
79fa8423-2014-4536-a1f9-cb48aed3c45f	0	0	1167.72473532243	489.094128970164	407.57844080847	1311.75245428296	1257.24196342637	0	0	0	0	562.608277189606
45348eff-4b09-4776-825e-b18de9dba937	638.582116788321	0	1791.63321167883	928.846715328467	495.451642335766	493.449817518248	956.872262773723	0	0	0	0	180.164233576645
3b7810f7-f8ff-4d62-b766-3ba06170194c	0	0	0	0	5186.37600173273	3892.2889502563	0	0	0	16196.8958197964	0	2503.43922821457
675a5a32-b405-4f03-bfcd-756343d1dfaf	1027.93710614867	0	1623.90064239829	1527.40654634445	739.954726215968	1600.90204955644	1344.41774242888	0	0	0	0	307.481186907302
ebe80d6c-7513-4f5e-9919-669b6d1fa68c	521.83324795082	0	1025.11910860656	0	0	489.751280737705	1206.58273565574	0	0	0	0	670.713627049175
49ad3c8d-88cd-43cd-a273-1623fe2aec0b	476.287903225806	0	1012.61209677419	540.326612903226	314.189919354839	937.566733870968	1413.85463709677	0	0	0	0	268.162096774201
34ab4c57-5240-4af7-a329-a5ab55934fd4	486.598455166237	0	1005.23631478787	613.254225903952	538.662487406247	418.514720698534	1146.40994066943	0	0	0	0	263.32385536773
759e20be-6a2b-4c54-aca0-6d358598d6f5	0	0	0	0	0	3077.70409730412	2671.78150453885	0	0	0	30750.5133560047	1.00104215233296
bb567851-d4ff-4a93-8576-04a37aea68af	0	0	925.184852118305	717.143285371703	354.57084332534	721.644184652278	1673.33433253397	0	0	0	0	613.122501998404
c298ec82-8305-4c89-898f-268308f782b2	0	0	2224.69921352935	0	0	0	2304.17060758713	0	0	0	11799.7526472705	3118.37753161302
e053d377-e4f2-4aee-af7d-e61605e0f4f5	719.453529290002	0	2072.42586076037	608.537776857793	535.59318291589	1255.54633271234	1759.6634237218	0	0	0	0	289.779893741805
29548b5f-c88a-4908-8c46-e86483e75067	0	432.170886075949	1317.02076740506	1001.89616297468	481.690466772152	0	1200.4746835443	0	0	0	0	624.747033227859
b7fbd99c-dea0-4448-a430-7f94c611e702	532.221279427668	0	1809.75243324183	667.277431162133	0	675.280758672323	1712.71208718077	0	0	0	0	615.756010315276
b28f7607-f162-425f-b44d-64e9633c8824	0	0	328.868254937895	325.860313581755	178.471187130931	679.293422928121	644.702097332519	0	0	0	0	304.804724088779
f6e758a5-150f-4424-90b7-1c1a34aec9a3	0	385.426908150065	779.86379597117	608.674182221401	383.925244871558	1220.85224542598	1670.85067455184	0	0	0	0	367.406948807986
5c156f63-6537-4d93-a6c2-4155618cf638	0	0	2995.10989229363	0	0	1087.35511307182	1580.19593815826	0	0	0	5637.11736417471	1302.22169230158
ba67c02a-180b-43f3-b53c-2b77d84fbe3c	621.547036212826	474.562950974442	1769.32719670915	858.326859531998	0	1457.29954818262	1903.26832557826	0	0	0	0	354.668082810704
6d3551d6-b5f4-4fd1-b8d7-8e5931096c19	992.641548596697	0	4378.41891526036	1586.92694702644	0	0	2992.91923111633	0	0	0	0	1126.09335800017
15a93657-0521-430a-a816-bf0842374b75	504.536058796509	0	1172.42191088654	363.166054203032	343.683968764355	648.903307303629	1117.47243913643	0	0	0	0	199.816260909505
50a5970d-a0cb-4251-8ab0-74ad0e94be9a	499.039013340045	376.652068126521	1960.18927762396	1023.55449282658	0	616.430573034651	1322.27854685796	0	0	0	0	155.856028190283
a0eb2611-1ca6-44b7-897e-ce18399eb7bc	814.976759107436	519.666357738647	1370.62001853568	735.527767876239	0	659.076851785841	2765.72431738789	0	0	0	0	143.407927568267
8fa0484b-5f95-4ec8-b3de-cea2e8f3c5ca	0	0	1788.51060786651	858.06579261025	0	695.83694874851	1856.39713945173	0	0	0	0	1083.189511323
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	620.454333488775	0	1163.85224168943	1136.83245619879	712.021384318167	1420.54020385051	2019.97914862434	0	0	0	0	437.320231829988
7bd3d112-d411-4ea8-a9a9-bd965f0fc943	343.515902054602	247.650999155643	834.324233042499	324.043343653251	346.511680270194	540.238671545173	911.715170278638	0	0	0	0	0
bb659e7c-0b97-41b5-ac10-a66bb1f6f283	800.235965433076	0	1752.42179563296	584.307210238142	0	1670.44884227192	1977.84741737582	0	0	0	0	791.738769048082
141918cd-3e23-45bc-96e1-b208c80f69e7	583.635287705365	0	1875.72093747567	871.70847932726	0	1069.91481741026	1370.96877676555	0	0	0	0	640.051701315895
a89a2341-263d-4e7f-87fa-18d9692d6b2b	0	0	1722.49310941606	1056.10890327543	847.488622524197	1154.16543811294	2107.71521056343	0	0	0	0	917.028716107943
87e0b332-60f3-4d59-8c4e-691a820c9ee1	1019.05481465353	535.976920145882	1901.86968591802	950.685319253171	0	862.353927385553	3596.13564857656	0	0	0	0	301.923684067284
8fc7a4cc-c25d-4372-bf17-2dae795e5596	319.775743707094	0	1052.96872616323	291.882532418002	235.099923722349	651.007627765065	570.814645308924	0	0	0	0	143.450800915336
51e5a835-eb48-4640-87d0-f40f5e2bff18	596.164890145747	0	2635.64998912334	567.108113987383	0	0	2123.14857515771	0	0	0	0	986.928431585819
603594e3-e427-494c-b9ee-e872d6629563	469.836899942163	0	803.720994794679	460.84002313476	480.333256217467	553.807750144592	1298.54921920185	0	0	0	0	253.911856564489
db4d1d04-1189-4c0e-99a7-904667af07b5	420.634702569034	0	1289.9464212117	0	0	636.460365434813	1003.01346338783	0	0	0	0	294.945047396623
b30dfb8b-8288-4e5a-afc2-3d5bd7bfa26c	0	0	1257.11402508552	846.413422381495	564.275614920997	1258.11451376446	1638.80045610034	0	0	0	0	577.281967747188
1d325d84-a3a0-4802-9842-76cb21cecb1c	807.560633018073	0	1681.50294971439	638.362206199082	525.064144582826	0	1122.99840809065	0	0	0	0	554.511658394979
d2ab7fd4-d1c7-48ae-ba9a-78c5d811465e	670.801155726774	405.87968587939	1624.51844717736	996.204696992147	0	572.330345236331	2153.86153504223	0	0	0	0	323.404133945768
72a27124-24b9-41f7-a065-774fdf5f7d19	433.163244922872	0	1377.42914215958	435.66130285207	416.676062590168	741.423593385862	933.274442348241	0	0	0	0	164.372211741207
959efb81-1d56-4659-9b7a-09f2b62483f2	517.924659065504	0	1375.45562262464	0	416.744019673597	818.461211714733	1087.44142633579	0	0	0	0	264.973060585736
f9a81200-5381-496a-8062-099f9e793618	661.566848836554	0	2206.88714857175	1302.16327680433	899.231618682743	1068.49287283791	2269.29911544312	0	0	0	0	454.359118823593
85422a8e-2599-4dab-a257-150e380ecba8	0	0	913.482662071936	0	0	468.003446047814	304.827912987293	0	0	0	0	637.685978892957
cdf045a6-ab6a-4dc5-b0b0-d72fbb26b0bb	266.478135511773	0	777.85519782156	0	286.551818036201	889.765977895243	601.206791606599	0	0	0	0	311.142079128624
155873b2-e5de-405f-87f6-6de0d238b160	0	0	0	1595.82866299192	0	2530.19210357646	1839.68450198692	0	0	0	12510.2551980515	1055.0395333932
c2aafb9c-230a-43df-9a43-b34aa145a7bd	567.445995591477	0	2369.95097187897	1032.72166187963	0	1277.1291162915	1564.10754124641	0	0	0	0	686.644713112013
