ICGC-NET_common_SBS5	ICGC-NET_common_SBS8+23	ICGC-NET_common_SBS18	ICGC-NET_common_SBS1	ICGC-NET_common_SBS2+13	ICGC-NET_rare_SBS140	ICGC-NET_rare_SBS160	ICGC-NET_rare_SBS123	ICGC-NET_rare_SBS6	ICGC-NET_rare_SBS3	unassigned
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	562.484224364592	307.037248028046	0	141.247151621385	0	0	0	0	0	0	132.231375985977
7c477f01-8000-49dc-a692-e47fc15e0b4f	495.811301192328	231.814411612234	0	134.76412649041	84.4790046656299	0	0	0	0	0	23.1311560393981
b4e5626b-44fe-4cdb-a7d5-42028e0dbc4d	829.758754863813	300.824902723735	0	402.428015564202	166.350194552529	0	0	0	0	0	92.6381322957209
16c6f975-48fd-4cda-946a-777cb922949d	802.171554252199	0	0	1304.09174696271	0	0	0	0	0	0	282.736698785091
9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43	1039.85688729875	1213.16636851521	0	622.11091234347	303.542039355993	0	0	0	0	0	181.323792486577
559c30f2-8ae7-43c8-819c-800261065e06	1016.62151953378	2099.18605655083	635.450895747896	526.045434923376	351.696093244118	0	0	0	0	0	0
59e2d6d1-debd-4796-ab0c-6a5673a990fc	957.786249800606	1619.86664539799	0	334.297974158558	0	0	0	0	0	0	230.049130642846
0e7ac212-0469-4f17-9432-205ab1831257	1160.33581555206	1355.47186023199	311.918229987112	409.73578691107	247.538307317772	0	0	0	0	0	0
4b5d9d8c-ff95-45f4-9287-2804e8a98ade	637.044349939247	1337.24179829891	0	727.764277035237	442.572904009721	0	0	0	0	0	155.376670716885
a4beedc3-0e96-4e1c-90b4-3674dfc01786	1712.96882494005	276.560044272274	0	432.375576461907	181.868289983398	0	0	0	0	0	112.227264342371
5f13e9b8-6c8e-4fd7-aef1-da4e5d5e2a5e	1555.1353954436	368.295239859233	0	481.73217262456	191.893313576588	0	0	0	0	0	100.943878496019
69fe982d-6ab8-49b7-9efa-8349d60eb076	685.66056407719	100.950024740228	0	132.434438396833	0	0	0	0	0	0	90.9549727857491
aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44	1901.83566068206	2042.52759570628	0	679.512111712739	502.39992400494	0	0	0	0	0	125.724707893981
3728982b-4547-4249-bd42-72a91d3fda8c	0	226.880992430614	0	132.222035323802	0	622.545416316232	0	0	0	0	209.351555929352
cef1fb1c-18fa-453a-b87f-295d3b0bc12b	266.240930232558	124.346046511628	0	115.320930232558	0	0	0	0	0	0	33.092093023256
5ee28a35-7aa0-48e3-9c14-daca7b0241fe	1214.82904252242	183.520971940989	0	192.497541220712	0	0	0	0	0	0	133.152444315879
7ae3671f-bf98-4693-8f35-3b762c9121d4	0	0	6921.07743216413	0	0	0	0	0	0	0	638.92256783587
0363fe2c-d765-450e-8b1a-d13a23d9af2a	498.996996996997	232.965465465465	0	173.847347347347	0	0	0	0	0	0	95.1901901901911
dc4ba4bc-6333-4fe9-8805-e058cc9e6e18	2169.43898203918	2522.41716859298	520.705409951707	3251.90542080417	762.53301861197	0	0	0	0	0	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	1908.73163565132	1577.08325171401	0	299.58570029383	0	0	0	0	0	0	306.59941234084
