ICGC-Uterus_common_SBS3+8	ICGC-Uterus_common_SBS2+13	ICGC-Uterus_common_SBS13	ICGC-Uterus_common_SBS1+5	ICGC-Uterus_rare_SBS44	ICGC-Uterus_rare_SBS26	ICGC-Uterus_rare_SBS10a	unassigned
e7d74d34-3255-4c20-90fd-b105e6e229c8	1562.5957738958	1402.03455641163	1034.39438553665	2557.97528415592	0	0	0	0
554b9439-7e11-43ec-8bc3-448c59100b9e	719.878615071283	3840.18696537678	0	2813.93441955194	0	0	0	0
a0e317b1-3f3b-4d25-b2d9-fcc2211dfda3	275.841944125526	0	0	2254.3809797168	0	0	0	90.7770761576739
55ada396-0878-4724-8ebe-00da367eed3d	1262.14543063774	0	425.059303090072	2110.76028928337	0	0	0	14.034976988818
2b78de4e-4c8b-4adf-a058-3dae797e7881	4679.70667639548	1380.00328347318	1253.9573148486	2283.33272528274	0	0	0	0
f7187888-f261-4a39-99b4-966fd7207117	0	0	0	5090.72134646962	13010.7878215654	0	0	167.49083196498
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	1204.55714810731	329.878721058434	0	2545.56413083425	0	0	0	5.91171556152403e-12
cc19a480-9c66-4ee8-a0c0-921acac02689	3536.1468248228	1053.62946622306	0	2164.87537971937	0	0	0	172.34832923477
96f337d2-cec4-4484-87cd-ab2109d2bf50	6031.3081206161	0	5048.09487309278	2191.47530551739	0	0	0	561.12170077373
31bc44b9-35ff-43fd-8a01-a834f3b1ce46	2368.65849790976	0	0	4005.42251693816	0	0	0	561.91898515208
ea6efcd1-11de-45f0-8bde-f1c06ad27e79	1847.67853395817	729.162411694761	1724.06623767224	2854.09281667483	0	0	0	0
f7dcc2e4-1fc4-4b39-bc6a-720e66116d68	8227.12180494074	0	23704.0636869913	0	0	0	0	3058.81450806796
0385961e-ea99-40b2-ad79-6872bc30d8a1	300.210276679842	0	0	2682.34624505929	0	0	0	187.443478260868
99696731-c88f-427b-975b-1d90013e63ff	3080.26981351981	0	783.594988344988	2646.38665501165	0	0	0	367.748543123552
ed32c725-08ae-48eb-8fa2-719b9aeb7550	10337	0	0	4124.5	0	0	0	1421.5
95e8d38a-122e-494c-a304-bef4275fed7e	2301.22331129853	1120.0954334777	0	3079.13684370489	0	0	0	83.5444115188802
8dd14f0e-8601-4aa1-864c-3c49e768cdd1	9811.13130581704	1495.13902968863	2331.43712285783	2930.2925416365	0	0	0	0
82d2ea5f-ebdc-4907-a287-fe837fd6b59c	1258.2290406223	0	0	2484.54105445117	0	0	0	296.22990492653
15d597de-d26c-4ce1-b0cb-077e39b55f30	3957.51943694844	0	0	2590.32178542776	0	0	0	311.158777623799
19def402-fb8d-4b27-90dd-ce9135a3c0a2	328.839707673569	0	0	3576.25676004872	0	0	0	197.903532277711
8d4cb709-c95c-4bdc-844b-c0bfa2a3028e	7951.20818204847	0	0	2998.02934222748	0	0	0	903.76247572405
7364a112-61b9-41c6-b85f-18c97c54cefd	0	0	0	11625.4099411917	0	104023.590058808	0	3.05590219795704e-10
eae45fbe-9f7d-4f59-a0a9-1f0f0d69afc4	0	0	0	10917.4141728203	15301.9821220365	0	0	800.603705143199
b0a83df8-dd2c-4c1b-b238-9081d2c22258	0	0	0	0	0	0	269511.608841857	12880.391158143
23cc70c4-b744-4fa0-a0de-b25c0fdf212f	615.919792661301	0	0	2904.97994816533	0	0	0	147.100259173369
