GEL-Liver_common_SBS5_a	GEL-Liver_common_SBS4	GEL-Liver_common_SBS92	GEL-Liver_common_SBS5_b	GEL-Liver_common_SBS110	GEL-Liver_rare_SBS102	GEL-Liver_rare_SBS18	unassigned
GEL-2096731-11	3882.51507393281	1474.91634881655	1215.28313913998	2251.81879931031	731.466638800355	0	0	0
GEL-2287935-11	1274.01718226007	1293.56347262519	0	2448.79935189721	7347.4004295565	0	0	937.21956366103
GEL-2387251-11	2092.3685300207	3860.56728778468	2421.03372284802	4233.68719514335	1626.34326420325	0	0	0
GEL-2404398-11	677.207424761218	0	0	1752.47576139845	311.394485492882	0	0	54.9223283474498
GEL-2551765-11	2119.72552348613	678.2120624141	1925.02110113995	0	1219.28013582343	0	0	248.76117713639
GEL-2237058-11	1932.60281137627	645.366459627329	878.137953579601	692.320366132723	435.57240928408	0	0	0
GEL-2432649-11	2295.32331340734	1408.77779675491	1296.33543979505	0	0	0	0	851.5634500427
GEL-2559610-11	2420.51210254941	1635.26403609281	1373.68203953022	1581.54182182756	0	0	0	0
GEL-2757414-11	2558.6287454324	1088.70377588307	1359.00609013398	898.842630937881	0	0	0	247.818757612669
GEL-2095411-11	2329.79341412853	0	1116.78520172221	874.482698134269	1558.51363418912	0	0	373.42505182587
GEL-2259797-11	2528.33447289472	0	4037.11456080374	0	0	6885.25026163399	0	918.30070466755
GEL-2385762-11	0	5762.20741638254	3260.30798275522	4916.92389191017	3172.43444447575	0	0	607.126264476319
GEL-2991920-11	2441.38181997242	2804.81081347252	2221.6224148119	1832.66328540477	865.521666338389	0	0	1.81898940354586e-12
GEL-2834293-11	3514.83687150838	1799.01117318436	1321.94748603352	2389.82849162011	0	0	2086.65251396648	548.723463687151
GEL-2110838-11	0	1305.59931604446	6927.29153605016	1277.04246223995	2508.9951553149	0	0	287.071530350529
GEL-2969444-11	1522.40129696738	3078.26745184055	2096.29863627694	2989.36081441923	788.671800495899	0	0	0
GEL-2354474-11	2001.4412024107	4124.90930471851	4501.99242981038	1921.42356313391	1059.2334999265	0	0	0
GEL-2570342-11	2755.20619286346	1049.95830138602	2840.41875552934	0	1327.52202890003	0	0	475.89472132115
GEL-2087414-11	0	3991.83152383152	4488.05644105644	1479.16085316085	2169.16886116886	0	0	877.782320782329
GEL-2265466-11	2694.03971624797	14249.0773992409	0	0	3959.4675131032	0	0	1254.41537140793
GEL-2216195-11	2307.20445062587	810.625869262865	2014.7983310153	1619.74965229485	0	0	0	447.621696801115
