GEL-Lymphoid_common_SBS1	GEL-Lymphoid_common_SBS5_a	GEL-Lymphoid_common_SBS18	GEL-Lymphoid_common_SBS9	GEL-Lymphoid_common_SBS127	GEL-Lymphoid_common_SBS101	GEL-Lymphoid_common_SBS5_b	GEL-Lymphoid_common_SBS5+8	GEL-Lymphoid_common_SBS17	GEL-Lymphoid_rare_SBS7a	GEL-Lymphoid_rare_SBS95	GEL-Lymphoid_rare_SBS169	GEL-Lymphoid_rare_SBS124	unassigned
GEL-2595825-11	1138.56396184503	0	639.812491833268	493.209787011629	0	2377.38200705606	0	1761.24761531426	859.464654383902	0	0	0	0	441.319482555851
GEL-2878330-11	955.370417654569	0	0	0	0	318.289987233266	0	765.19715484224	0	0	0	0	0	705.142440269925
GEL-2336009-11	3188.6517316331	0	0	0	0	0	0	0	0	9854.64796406318	0	0	0	4250.70030430372
GEL-2746524-11	0	600.641744548287	345.671339563863	395.052959501558	0	598.626168224299	0	0	223.728971962617	0	0	0	0	424.278816199376
GEL-2920315-11	622.380906829922	0	614.382437344557	1103.78878898029	1200.2703271475	657.374210828391	1005.80753778458	1730.1689305529	904.826860531854	0	0	0	0	5.45696821063757e-12
GEL-2883384-11	0	0	0	5288.67960703335	4268.01316563419	0	0	0	5476.03619297916	0	18386.0602465428	0	0	6717.2107878105
GEL-2441466-11	0	0	4842.04979466119	1160.32993115111	2342.18453315618	0	4623.79964367677	1771.02989491484	968.610188428554	0	0	0	0	868.996014011356
GEL-2778778-11	254.57334076966	0	348.915225878416	0	0	290.513106525376	0	0	187.186279977691	0	0	0	0	708.812046848857
GEL-2105479-11	0	1023.2708593234	544.47435238864	1680.55067146107	957.091656270639	547.482497981948	0	0	1213.28538930065	0	0	0	0	865.844573273653
GEL-2747830-11	0	0	1080.39590655365	3357.49948315071	1647.91709737441	1406.26938184825	0	1189.68885672938	0	0	0	0	0	1018.2292743436
GEL-2241212-11	983.904292499328	970.945066762255	910.136392149834	542.293753920602	0	1188.26131373779	0	0	0	0	0	0	0	966.459180930191
GEL-2044617-11	761.776050320437	0	516.509138381201	0	392.626869214337	626.904225017802	450.072276287681	730.305957749822	392.127343935438	0	0	0	0	338.678139093282
GEL-2296654-11	0	0	0	0	2251.65190102595	0	0	0	0	31769.6907664454	0	0	0	3346.65733252865
GEL-2373146-11	0	0	0	461.752659574468	0	486.643617021277	0	0	1426.91223404255	0	0	2617.61436170213	0	546.077127659575
GEL-2495739-11	0	0	1098.12073317308	2386.93608774038	4268.85676081731	1495.02581129808	1299.82659254808	1635.66935096154	3829.90877403846	0	0	0	0	642.655889423069
GEL-2334334-11	536.232680994117	639.566574618802	0	894.389962780646	464.500900468243	610.472565734182	0	0	382.736703085605	0	0	0	0	650.100612318405
GEL-2200500-11	0	0	376.167241559528	836.483746210933	0	1121.99017455838	1029.32580746315	0	598.060834117278	0	0	0	0	829.972196090731
GEL-2605175-11	0	0	983.52643817612	0	0	1531.09790044822	0	0	0	11016.4971522933	0	0	0	1320.87850908236
GEL-2059311-11	811.599457679644	0	0	1980.28258764284	3405.603912454	0	1934.57989540965	0	3332.78094131319	0	0	0	0	1500.15320550068
GEL-2920869-11	0	0	0	0	0	1807.43346308864	0	0	0	9977.65303661855	0	0	0	2736.91350029281
GEL-2435398-11	0	0	627.90927957308	1952.27251704714	2369.54450044471	0	1213.79116513489	0	1087.7089831011	0	0	0	0	1186.77355469908
GEL-2328669-11	0	2069.81285082216	6508.69462237778	5529.49279094851	0	0	0	1551.23555438156	5195.26522705761	0	0	0	0	1841.49895441238
GEL-2932553-11	418.89406779661	0	0	340.320150659134	297.279661016949	527.496233521657	415.891242937853	846.796610169491	0	0	0	0	0	342.322033898306
GEL-2036047-11	604.906742183257	0	1033.31949724571	446.514702459462	862.356660718442	1587.44022034293	0	936.27294592288	475.678951043525	0	0	0	0	534.510280083794
GEL-2906786-11	526.010092334121	0	632.910528952831	1538.56703170854	901.160690000716	485.547777539188	0	1196.88526232911	908.154176508482	0	0	0	0	789.764440627012
GEL-2716289-11	375.22726791574	0	0	846.769556472954	758.480787551603	662.16576691013	920.009103419075	389.774849158463	419.371652376416	0	0	0	0	367.201016195619
GEL-2983320-11	0	0	313.106853352985	0	0	511.625644804716	658.881355932203	802.116433308769	0	0	0	0	0	442.269712601327
GEL-2636260-11	187.952728187076	0	0	0	0	257.435252703042	480.879054563741	216.945436258486	305.923057581091	0	0	0	0	538.864470706564
GEL-2992455-11	540.217703349282	0	0	0	404.285486443381	435.885964912281	1330.7312599681	632.511164274322	0	0	0	0	0	430.368421052634
GEL-2277451-11	382.141560798548	0	0	0	0	502.577132486388	572.196007259528	676.878402903811	0	0	0	0	0	386.206896551725
GEL-2310823-11	0	553.72401506668	0	695.51318334521	0	0	519.396111167668	517.406087753232	1795.99613152805	0	0	0	0	804.96447113916
GEL-2044484-11	262.733126110124	0	0	0	0	428.380106571936	543.982682060391	576.011101243339	0	0	0	0	0	442.89298401421
GEL-2069586-11	393.738170347003	0	0	809.044164037855	0	0	787.977917981073	451.419558359621	1998.78548895899	0	0	0	0	170.034700315457
GEL-2443657-11	427.608092485549	290.612331406551	0	268.954913294798	0	451.280154142582	342.489402697495	341.482080924855	188.872832369942	0	0	0	0	302.700192678228
GEL-2695625-11	280.5	0	0	910.5	0	440	855.5	408	0	0	0	0	0	700.5
GEL-2401211-11	365.969970768004	0	0	1098.41124103109	0	0	714.894764815307	556.976215785278	288.264018070688	0	0	0	0	748.483789529633
GEL-2230742-11	608.548835529879	0	0	0	0	608.548835529879	567.511825239213	494.445928868027	0	0	0	0	0	492.944574833002
GEL-2890979-11	505.023393854749	0	0	0	252.007681564246	521.655900837989	743.926675977654	601.29032821229	0	0	0	0	0	263.096019553072
GEL-2704908-11	795.507939868727	0	0	0	0	259.448655515562	434.096972263392	468.420918907474	0	0	0	0	0	426.525513444845
GEL-2701762-11	363.729009552539	0	0	872.648190045249	0	446.623051784817	768.653846153846	725.950854700855	527.50754147813	0	0	0	0	291.887506284564
GEL-2717150-11	754.893371757925	0	0	0	359.256484149856	0	797.842459173871	524.989433237272	0	0	0	0	0	193.018251681076
GEL-2643365-11	0	544.140871817005	0	861.723090202849	551.642813983599	577.649546827795	1177.80492015537	1096.78394475615	400.103582218386	0	0	0	0	584.151230038846
GEL-2711252-11	506.06101531412	0	498.060050645122	0	397.547931990836	413.049801037019	971.617146991439	983.118533703123	0	0	0	0	0	377.545520318341
GEL-2728979-11	0	240.152759526938	0	295.261498028909	0	0	334.697109067017	0	201.222733245729	0	0	0	0	467.665900131407
GEL-2384298-11	365.813737884534	0	0	0	262.739148756848	304.676359039191	683.121786767804	521.941424357354	0	0	0	0	0	259.707543194269
GEL-2549521-11	532.143356643357	0	0	0	0	213.671328671329	346.961538461539	390.204545454545	0	0	0	0	0	263.01923076923
GEL-2719166-11	205.788857796998	0	0	0	0	432.454846095141	470.72958534724	437.425591452557	0	0	0	0	0	407.601119308064
GEL-2043828-11	312.504311251314	0	0	0	354.707465825447	0	654.148895899054	640.081177707676	0	0	0	0	0	427.558149316509
GEL-2106520-11	364.974798140445	0	0	0	226.971862001468	0	674.344017616834	394.799608514803	0	0	0	0	0	404.90971372645
GEL-2515767-11	199.895250135452	0	0	604.733610258263	451.78345674553	0	734.46360845223	272.58443200289	329.12046234423	0	0	0	0	202.419180061405
GEL-2895277-11	214.53496383052	0	0	113.987254564244	0	172.22528418877	358.38787461247	171.229762314847	0	0	0	0	0	414.634860489149
GEL-2277783-11	581.448284756255	0	356.355429455765	298.95924684034	0	405.766056229043	499.097240134124	1181.36316739747	0	0	0	0	0	547.010575187003
GEL-2551639-11	259.606276747504	0	0	833.552068473609	356.017118402283	0	666.339514978602	333.420827389444	822.504992867332	0	0	0	0	248.559201141226
GEL-2757084-11	289.762579730687	0	0	0	0	171.766477675407	374.401133947555	210.102763997165	0	0	0	0	0	358.967044649186
GEL-2818221-11	247.476702508961	336.64846980976	0	0	218.420733388475	463.893575958092	266.012406947891	237.958367797077	0	0	0	0	0	46.5897435897439
GEL-2340044-11	287.802265705458	479.170786131136	0	284.804325437693	361.751458977	436.699965671129	444.194816340542	423.209234466186	0	0	0	0	0	193.367147270856
GEL-2232479-11	0	0	460.102985240262	878.378426367773	0	0	846.011874375763	585.087670624792	452.633780934413	0	0	0	0	1264.785262457
GEL-2355670-11	477.861468584406	395.799394398183	0	404.305828917487	581.94019682059	435.329295987888	696.526873580621	689.021196063588	0	0	0	0	0	285.215745647237
GEL-2855294-11	338.003781818182	0	0	0	471.796945454545	0	588.488727272727	907.3792	686.570181818182	0	0	0	0	465.761163636364
GEL-2263291-11	0	0	0	204.291129643669	230.521101844832	228.503411675512	550.829416224412	269.866060146576	176.043467273187	0	0	0	0	335.945413191812
GEL-2529197-11	580.463747099768	0	280.275377030162	228.003770301624	0	473.431409512761	487.868329466357	716.867749419954	0	0	0	0	0	666.089617169374
GEL-2715750-11	0	0	0	1396.92655367232	0	0	583.805147520402	666.919774011299	301.916384180791	0	0	0	0	1038.43214061519
GEL-2069620-11	195.5	278	0	0	0	445	449.5	568.5	0	0	0	0	0	361.5
GEL-2299078-11	0	401.125159642401	302.471406272172	728.13480913864	0	0	862.844756634029	591.42173974741	298.465162480488	0	0	0	0	344.53696608486
GEL-2103522-11	0	0	201.294166840895	0	279.408321137361	236.345389922643	831.214718795735	758.608613840686	0	0	0	0	0	88.1287894626798
GEL-2594772-11	302.716345253698	329.691069088186	0	0	0	485.545029020783	568.966860138551	570.465455907134	0	0	0	0	0	410.615240591648
GEL-2724191-11	210.43758043758	0	137.925353925354	127.783783783784	0	285.485199485199	0	341.263835263835	134.882882882883	0	0	0	0	338.221364221365
GEL-2758376-11	183.425107350341	0	0	149.662793634756	0	287.231624147512	451.004041424602	503.411214953271	0	0	0	0	0	420.265218489518
GEL-2547851-11	407.39618166726	457.568125222341	0	352.708763192221	0	344.681252223408	869.981501245108	933.699869560062	0	0	0	0	0	864.9643068896
GEL-2218398-11	0	473.45003756574	0	1001.52892561983	0	0	433.490045078888	296.412096168295	0	0	0	0	0	488.118895567247
GEL-2905969-11	511.216022889843	0	0	0	0	721.716738197425	324.271340009537	1065.53457319981	0	0	0	0	0	530.261325703385
GEL-2783702-11	658.387517251955	0	0	0	348.411286612483	293.504063793897	504.148136788836	908.464959362061	0	0	0	0	0	542.084036190768
GEL-2733981-11	0	0	0	444.598381601363	0	0	524.755536626917	0	503.347103918228	0	0	0	0	865.298977853492
GEL-2797880-11	182.453271028037	0	0	0	289.094933595671	212.777914412199	665.625922282341	473.569847515986	0	0	0	0	0	231.478111165766
GEL-2651695-11	384.5	0	0	0	0	696.5	387.5	897.5	231	0	0	0	0	767
GEL-2692835-11	391.341692789969	0	270.967607105538	0	0	477.467084639498	538.409613375131	1535.65099268548	0	0	0	0	0	642.163009404384
GEL-2858549-11	357.28688681046	0	0	0	0	451.335941973659	615.548577972896	467.2595915251	0	0	0	0	0	715.569001717885
GEL-2820031-11	511.247514910537	0	576.727492189719	0	320.851888667992	0	915.208605509798	857.284010224368	0	0	0	0	0	365.680488497586
GEL-2784114-11	0	0	0	0	0	164.771625045241	472.211364458921	331.552660152009	0	0	0	0	0	419.464350343829
GEL-2624533-11	0	0	276.004173187272	0	352.589114936533	341.648408972353	673.848026430186	539.575725960702	240.695531211963	0	0	0	0	435.639019300991
GEL-2674299-11	0	0	0	240.149211579195	0	321.859731701577	482.789597552365	473.821369734055	0	0	0	0	0	598.380089432808
GEL-2295079-11	446.078954684459	0	0	0	0	308.126772310259	450.610230747845	259.289685849319	0	0	0	0	0	346.894356408118
GEL-2164581-11	247.156676656677	0	0	0	0	469.748085248085	565.502497502497	870.813686313686	222.090076590077	0	0	0	0	635.688977688978
GEL-2036278-11	0	580.300193316763	0	614.847832090583	0	347.979839823253	445.614471140569	431.595139464236	747.530792598729	0	0	0	0	458.131731565867
GEL-2495229-11	264.56414613424	206.72217502124	0	0	0	525.607476635514	340.513169073917	303.293118096856	0	0	0	0	0	135.299915038233
GEL-2162881-11	0	0	0	644.843316144387	271.330226100754	0	349.207457358191	284.227092423641	458.334787782626	0	0	0	0	493.057120190401
GEL-2602313-11	0	0	223.157201646091	0	0	374.944307270233	443.298765432099	438.272702331962	0	0	0	0	0	352.327023319615
GEL-2375029-11	552.395531650807	0	0	0	404.325610260654	0	606.239139429044	1354.56557716177	0	0	0	0	0	697.474141497725
GEL-2688533-11	437.372001170275	0	424.875658279696	0	0	672.303247513166	818.760386190755	603.323434757168	0	0	0	0	0	460.36527208894
GEL-2101981-11	303.308187961653	0	253.675939022474	0	0	326.870972811567	432.151500864372	599.096338205249	879.84441301273	0	0	0	0	395.052648121955
GEL-2689924-11	0	0	0	483.771014035641	0	341.83819586816	543.742627345845	321.847658098092	692.67213373285	0	0	0	0	785.128370919412
GEL-2930707-11	0	0	0	468.328639356255	0	336.876737381127	539.802487198244	485.82223847842	276.898683247988	0	0	0	0	625.271214337966
GEL-2744087-11	0	0	298.369036027264	418.719571567673	0	0	854.990262901655	822.395326192794	646.382667964946	0	0	0	0	1079.14313534567
GEL-2232041-11	670.973333333333	0	332.738823529412	267.290196078431	0	454.143529411765	408.179607843137	763.400784313725	0	0	0	0	0	288.273725490197
GEL-2803450-11	163.349862258953	0	194.998898071625	0	193.467493112948	192.446556473829	483.41349862259	521.698622589532	0	0	0	0	0	103.625068870523
GEL-2310134-11	135.266177739431	0	0	0	0	215.62726488352	338.415012942192	177.193701466782	0	0	0	0	0	290.497842968075
GEL-2125312-11	788.499411764706	266.853529411765	0	0	0	337.210392156863	456.314509803922	457.822156862745	0	0	0	0	0	256.299999999999
GEL-2373076-11	140.819277108434	0	0	211.731841652324	0	0	384.235456110155	0	245.427882960413	0	0	0	0	478.785542168674
GEL-2261636-11	201.978622327791	246.083135391924	0	0	0	345.819477434679	496.175771971496	346.821852731591	0	0	0	0	0	473.121140142519
GEL-2164142-11	459.512522907758	0	0	0	0	310.196090409285	416.276114844227	735.018937080024	0	0	0	0	0	547.996334758706
GEL-2756348-11	305.940777297964	668.054287476866	0	520.099321406539	385.184454040716	320.485502776064	632.94632942628	878.200493522517	0	0	0	0	0	354.088834053054
GEL-2398009-11	294.161828289067	0	0	0	0	752.356269302038	920.377516985794	964.252501544163	0	0	0	0	0	1104.85188387894
GEL-2267543-11	347.122518610422	715.466501240695	0	258.194478908189	0	578.53753101737	611.885545905707	572.97952853598	0	0	0	0	0	173.813895781637
GEL-2151046-11	116.946018376723	197.754211332312	0	0	0	225.861408882083	275.550918836141	314.700229709035	0	0	0	0	0	180.187212863706
GEL-2745088-11	242.906860866232	0	329.873514756612	0	0	498.808738980452	747.213491759295	567.782292065926	0	0	0	0	0	221.415101571483
GEL-2218204-11	299.319727891156	0	198.548752834467	0	0	266.394557823129	479.909297052154	728.843537414966	0	0	0	0	0	446.984126984128
GEL-2313526-11	396.479455385364	0	0	0	0	534.033552151714	0	546.17067833698	0	0	0	0	0	603.316314125942
GEL-2348312-11	155.35056542811	205.463651050081	0	338.764458804523	0	162.366397415186	195.942164781906	274.619709208401	0	0	0	0	0	218.493053311793
GEL-2154916-11	352.343331547938	498.817487948581	280.867970005356	934.71652383503	0	335.229512587038	562.742635243706	386.06762185324	0	0	0	0	0	408.214916979111
GEL-2093955-11	171.727128503437	356.932839767319	0	0	0	397.368588048651	423.327340031729	282.051824431518	0	0	0	0	0	256.592279217346
GEL-2471863-11	0	0	232.145579268293	0	0	464.790396341463	623.048780487805	844.21112804878	0	0	0	0	0	455.804115853659
GEL-2618626-11	0	0	0	733.090346959808	396.210695064697	435.429520210695	1364.1111874499	630.518035039505	414.311691285927	0	0	0	0	417.328523989468
GEL-2765738-11	364.125493142965	0	235.670110839752	310.518128874695	0	380.308848393763	612.438850272403	313.046778132632	204.31486004133	0	0	0	0	271.57693030246
GEL-2261064-11	0	796.869279638204	332.74200495316	977.083557661247	0	0	604.070205663831	954.934316786906	506.915580919565	0	0	0	0	502.385054377087
GEL-2041050-11	306.986842105263	0	0	0	0	552.475499092559	676.480036297641	346.305353901996	0	0	0	0	0	339.752268602541
GEL-2616720-11	205.354214123007	168.521640091116	0	0	0	212.417995444191	410.708428246014	225.031890660592	0	0	0	0	0	106.96583143508
GEL-2253759-11	407.305357614146	0	0	0	0	324.634468197414	585.753496964898	289.348112958564	0	0	0	0	0	302.958564264978
GEL-2284790-11	315.974842767296	280.251572327044	0	224.40251572327	0	268.679245283019	392.955974842767	492.578616352201	0	0	0	0	0	345.157232704403
GEL-2845183-11	359.5	354.5	260	0	0	556	0	519.5	0	0	0	0	0	658.5
GEL-2951335-11	251.075129533679	0	0	0	171.256476683938	211.670984455959	290.984455958549	311.19170984456	0	0	0	0	0	128.821243523315
GEL-2765108-11	218.073797139142	0	0	0	0	335.344603381014	412.693433029909	300.911898569571	0	0	0	0	0	267.976267880364
GEL-2534514-11	447.847487001733	0	0	0	0	343.954939341421	609.23396880416	752.464471403813	0	0	0	0	0	465.499133448873
GEL-2061681-11	0	0	0	200.749063670412	248.189762796504	187.265917602996	441.947565543071	399.500624219725	0	0	0	0	0	522.347066167292
GEL-2014783-11	0	0	0	188.964963177862	231.180540058023	352.299040392769	702.587815219817	352.299040392769	0	0	0	0	0	424.66860075876
GEL-2584471-11	0	0	445.524465386009	0	0	562.449438202247	843.170170351577	746.908662558898	0	0	0	0	0	182.947263501269
GEL-2788694-11	297.533808447766	430.82496088997	0	225.64644533287	0	484.241265426734	408.859377715974	680.433860594472	193.696506170694	0	0	0	0	150.76377542152
GEL-2717095-11	0	368.55214399153	270.473795659079	568.753308628904	0	259.857067231339	0	523.758602435151	452.474854420328	0	0	0	0	421.130227633669
GEL-2184722-11	193.247203834741	0	0	346.151563569961	0	282.399908696645	533.920109564026	0	166.35197443506	0	0	0	0	659.929239899567
GEL-2205058-11	0	0	0	0	0	268.709929632525	708.053166536357	440.34401876466	0	0	0	0	0	502.892885066458
GEL-2711221-11	0	0	0	0	0	442.928224828144	787.037808329964	656.1156490093	0	0	0	0	0	594.918317832592
GEL-2554220-11	225.139944022391	0	0	0	0	600.709716113555	633.521591363455	554.268292682927	0	0	0	0	0	511.360455817672
GEL-2176017-11	0	0	0	0	0	0	472.838224767359	543.889047959914	1417.01360057266	0	0	0	0	1061.25912670007
GEL-2398009-12	0	0	0	239.034225977374	0	657.594157239009	781.611914649864	802.114850350852	0	0	0	0	0	1011.6448517829
GEL-2480694-11	444.858741258741	0	0	0	0	419.753846153846	370.046153846154	765.699300699301	0	0	0	0	0	512.641958041958
GEL-2483120-11	0	0	0	830.850721833606	415.926477154338	0	861.418812323262	708.578359874981	0	0	0	0	0	550.225628813813
GEL-2056073-11	0	0	0	0	0	423.459534240258	584.514641457229	519.791560986857	0	0	0	0	0	648.234263315656
GEL-2657779-11	371.682010902483	0	0	0	0	196.92095699576	489.028770442156	292.611447607511	0	0	0	0	0	312.75681405209
GEL-2003923-11	0	0	1962.78941204836	2470.95332897048	0	5179.65298109048	1003.76196052768	0	2990.17521441119	0	0	0	0	985.667102951809
GEL-2579139-11	0	310.941339127	0	633.023898874185	0	0	0	0	813.815524392653	0	0	0	0	806.219237606162
GEL-2791104-11	0	824.5	576	682	0	361	0	752.5	405	0	0	0	0	722
GEL-2599529-11	305.662437948152	0	0	0	0	273.697738554881	428.526751241037	348.61500275786	0	0	0	0	0	454.49806949807
GEL-2469742-11	0	0	0	0	0	496.142194323144	478.689956331878	440.793668122271	1337.34006550218	0	0	0	0	901.034115720527
GEL-2347778-11	0	0	0	334.655836092715	398.760347682119	255.408526490066	640.03559602649	258.94184602649	182.72309602649	0	0	0	0	368.47475165563
GEL-2074181-11	333.792426917795	0	214.796939376104	0	262.19344712576	448.24995095154	613.129291740239	408.416715715127	0	0	0	0	0	289.421228173435
GEL-2956616-12	337.334313869687	457.810854537432	0	351.389910280924	0	485.922047359906	642.039564641859	304.705250772172	503.491542873952	0	0	0	0	330.306515664068
GEL-2804497-11	0	0	1745.45191370459	1406.24049645851	1554.9290077328	1416.82510234583	0	2133.05010072129	0	0	0	0	7150.15329131198	106.350087725001
GEL-2308609-11	0	0	233.856597845601	0	234.359515260323	431.000224416517	499.899910233393	487.829892280072	0	0	0	0	0	354.053859964094
GEL-2956616-11	305.993692746659	410.321069229614	0	352.416879411323	0	500.671572308154	626.962606998048	322.96561045202	506.661660910047	0	0	0	0	298.006907944135
GEL-2700642-11	773.653206650831	0	323.795724465558	0	0	0	0	0	0	0	0	0	0	186.551068883611
GEL-2950017-11	259.455232170629	0	377.572983781382	0	0	243.807153965785	746.059986669629	436.127082870473	0	0	0	0	0	208.977560542102
GEL-2079289-11	680.214227970897	0	0	637.856565423259	425.071601801594	0	544.171382376718	1051.4666820649	338.861300381106	0	0	0	0	637.358239981526
GEL-2861679-11	0	329.874371859297	0	224.21536252692	0	320.449389806174	429.580760947595	220.246949030869	148.815506101938	0	0	0	0	399.817659727207
GEL-2967064-11	281.890678637444	0	0	0	187.589120675997	346.78637443887	364.024293636124	586.596250330077	0	0	0	0	0	153.113282281488
GEL-2274193-11	268.308096567581	397.456396781081	0	0	0	461.529972080801	510.58630316965	813.434061422237	0	0	0	0	0	596.68516997865
GEL-2821195-11	0	0	0	0	0	440.762010552624	712.582060538739	316.703138017217	0	0	0	0	0	345.95279089142
GEL-2145560-11	583.499355946758	0	0	0	0	477.226277372263	342.881064834693	508.306139974238	0	0	0	0	0	423.087161872048
GEL-2969262-11	0	0	0	305.864721485411	456.298187444739	0	541.760389036251	232.896993810787	215.90450928382	0	0	0	0	508.275198938992
GEL-2593352-11	0	275.225870646766	0	306.195024875622	0	0	468.533333333333	339.162189054726	0	0	0	0	0	618.883582089553
GEL-2365585-11	269.905044510386	0	126.360039564787	0	0	354.818991097923	225.426310583581	394.243323442136	0	0	0	0	0	162.246290801187
GEL-2173110-11	804.730814073109	0	1558.60503394829	0	1301.82909265482	856.584596392566	933.368081750223	0	549.450654961937	0	0	0	0	1265.43172621906
GEL-2293109-11	820.001368405048	0	2683.73164056561	857.95514672343	0	3449.29930059298	0	2155.37509502813	1382.31655770108	0	0	0	0	1789.32089098372
GEL-2730742-11	570.585050580742	0	258.301985762458	0	0	309.760584488573	775.410453353316	581.17946796553	0	0	0	0	0	197.762457849381
GEL-2111514-11	465.871921182266	286.070541871921	0	0	0	368.164729064039	451.769852216749	652.220689655172	0	0	0	0	0	331.902266009853
GEL-2054246-11	0	0	5540.55183369951	1275.66314010478	0	2968.20638837249	1094.49795504479	0	1763.6080446172	0	0	0	0	2163.47263816123
GEL-2320801-11	224.335904628331	326.215521271622	0	0	0	388.447405329593	280.04347826087	456.701729780271	0	0	0	0	0	471.255960729313
GEL-2165866-11	0	1096.7891166774	1562.12391526773	1919.88131418394	1448.54219561181	0	0	0	4535.26302626094	0	0	0	0	2641.40043199818
GEL-2898533-11	0	0	0	532.76382832224	0	0	367.596970392472	459.747991737434	170.70599036034	0	0	0	0	663.185219187514
GEL-2686827-11	312.080676839402	457.584529385103	0	0	0	0	811.811149720501	830.877171778214	0	0	0	0	0	908.64647227678
GEL-2278389-11	445.711741791875	0	0	0	0	280.204785754035	373.774067890929	438.165831942126	0	0	0	0	0	270.143572621035
GEL-2907014-11	453.745424454829	0	0	350.507009345794	728.712130062305	710.078855140187	721.158099688473	479.932729750779	1401.02083333333	0	0	0	0	327.844918224303
GEL-2281489-11	454.301278022208	0	0	0	0	464.341085271318	514.03813115441	484.922690131992	0	0	0	0	0	478.396815420072
GEL-2397683-11	0	0	0	0	450.334514767932	0	784.453670886076	529.481181434599	345.139578059072	0	0	0	0	858.591054852321
GEL-2957892-11	467.265964597804	267.08043916648	0	0	0	254.100829038763	362.430652027784	566.110687878109	0	0	0	0	0	311.01142729106
GEL-2996420-11	0	281.056692913386	0	0	0	154.256692913386	409.354330708661	320.494488188976	0	0	0	0	0	419.837795275591
GEL-2221010-11	623.956263016959	0	0	0	0	417.477982743231	0	1114.27938113657	256.716304671229	0	0	0	0	964.570068432011
GEL-2939459-11	197.333333333333	274.572390572391	0	0	0	245.171717171717	450.478114478114	277.063973063973	0	0	0	0	0	479.380471380472
GEL-2615231-11	0	472.419982204144	395.351468158129	546.485826871743	0	682.106393796873	908.807931867294	0	431.883945595526	0	0	0	0	499.944451506291
GEL-2845504-11	247.160185967878	407.235418427726	0	0	0	314.613271344041	338.775570583263	681.578191039729	170.142857142857	0	0	0	0	222.494505494506
