GEL-Myeloid_common_SBS5_a	GEL-Myeloid_common_SBS1	GEL-Myeloid_common_SBS17	GEL-Myeloid_common_SBS18	GEL-Myeloid_common_SBS100	GEL-Myeloid_common_SBS8	GEL-Myeloid_common_SBS124	GEL-Myeloid_common_SBS5_b	GEL-Myeloid_common_SBS2+13	GEL-Myeloid_common_SBS9	GEL-Myeloid_rare_SBS57	GEL-Myeloid_rare_SBS31	unassigned
GEL-2034191-11	600.45078071962	358.658520027155	0	0	0	0	0	0	0	0	0	0	524.890699253225
GEL-2028902-11	452.642208499818	414.583726843444	0	0	0	0	0	0	0	0	0	0	529.774064656738
GEL-2698704-11	0	321.243044822257	362.839258114374	342.792890262751	0	916.119010819165	0	595.377125193199	0	625.446676970634	0	0	727.18199381762
GEL-2633922-11	668.580220936349	529.418726985797	0	0	0	0	158.825618095739	244.036822724882	0	0	0	0	316.138611257233
GEL-2909307-11	0	0	1491.95294246495	1664.96933411215	2544.09320239486	3298.34437061916	1269.28836886682	0	871.099919684579	1248.22550379673	0	0	1349.02635806075
GEL-2198361-11	504.721109399076	0	832.714946070878	0	1336.93682588598	695.926040061633	542.662557781202	1280.02465331279	0	802.261941448382	0	0	808.751926040059
GEL-2642042-11	459.121909081093	0	372.722600151172	569.632653061224	867.007018680488	0	362.173847316704	991.582766439909	0	523.419069214988	0	0	506.340136054422
GEL-2477336-11	766.154560129136	0	661.133373688459	1158.23365617433	0	3068.11894673124	0	1317.7658393866	0	953.192292171106	0	0	1989.40133171913
GEL-2915941-11	880.286327845383	0	572.686275785775	765.749072688228	983.319841218195	928.802108414134	697.226784668445	1398.4548708271	0	573.686601158326	0	0	885.788117394414
GEL-2186446-11	434.687356321839	646.754482758621	0	0	0	0	258.802298850575	0	0	297.497011494253	0	0	548.258850574712
GEL-2090414-11	435.643458980044	0	474.522394678492	347.916629711752	537.326829268293	0	0	713.777383592018	0	1039.7623059867	0	0	947.050997782701
GEL-2249420-11	0	0	1711.19725818736	0	1585.81645087586	1656.0297029703	5306.1157654227	0	0	1987.03503427266	0	0	923.80578827112
GEL-2914753-11	0	0	480.583491953625	0	730.60667935629	1230.15400588337	451.638691815193	849.879217857761	0	875.8297283267	0	0	1149.30818480706
GEL-2605305-11	399.912165129556	0	474.895696091348	355.921826965305	0	0	401.411835748792	1088.76086956522	0	759.333223539745	0	0	1072.76438296003
GEL-2265608-11	626.7787028922	195.020157756354	0	0	0	0	0	0	0	0	0	0	325.201139351446
GEL-2280119-11	0	440.289284645316	697.750823106854	0	993.781502544148	562.508380724334	0	868.05612092188	0	1564.30425022448	0	0	1567.30963783299
GEL-2352163-11	746.553133514986	570.626702997275	0	0	173.405994550409	0	0	0	0	0	0	0	544.41416893733
GEL-2691339-11	610.431317128321	460.589033352176	0	158.893159977388	0	0	0	220.74081401922	0	0	0	0	328.345675522895
GEL-2764503-11	630.889844683393	532.661409796894	0	327.596893667861	0	0	0	0	0	0	0	0	627.851851851852
