GEL-Ovary_common_SBS8	GEL-Ovary_common_SBS3	GEL-Ovary_common_SBS17	GEL-Ovary_common_SBS5	GEL-Ovary_common_SBS1+18	GEL-Ovary_common_SBS13	GEL-Ovary_rare_SBS44	GEL-Ovary_rare_SBS26	GEL-Ovary_rare_SBS6	GEL-Ovary_rare_SBS1	GEL-Ovary_rare_SBS111	GEL-Ovary_rare_SBS31	GEL-Ovary_rare_SBS116	GEL-Ovary_rare_SBS57	GEL-Ovary_rare_SBS2	GEL-Ovary_rare_SBS103	GEL-Ovary_rare_SBS14	GEL-Ovary_rare_SBS30	GEL-Ovary_rare_SBS10a	unassigned
GEL-2343183-11	0	0	0	7765.95261350942	0	0	71836.5620522058	0	0	0	0	0	0	0	0	0	0	0	0	5907.48533428478
GEL-2036180-11	0	456.975575876838	0	1351.90693367288	2263.85600185207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.261488598212
GEL-2000678-11	1962.42330608286	2873.44097270334	0	1243.9377165027	679.878897048635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477.319107662465
GEL-2722354-11	485.778926806848	943.54176720671	0	1030.59174997127	1349.77502010801	472.271170860623	0	0	0	0	0	0	0	0	0	0	0	0	0	72.0413650465389
GEL-2265651-11	750.282795895933	939.231769879077	0	2145.09710516673	1445.43459142543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.95373763283
GEL-2010990-11	723.056191377678	1573.29816711126	0	1093.09672145254	2144.13200240943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.416917649092
GEL-2684573-11	1552.94713349142	2793.50258055517	0	1078.85269912122	1219.02845585158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533.66913098061
GEL-2347321-11	1162.08548396451	2754.94403526069	0	2208.46331844807	939.686365481645	1202.15739720466	0	0	0	0	0	0	0	0	0	0	0	0	0	369.663399640425
GEL-2636707-11	3913.00091451465	3121.41680094064	0	1693.970038758	2082.77459391194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649.83765187477
GEL-2587944-11	473.796729868734	541.624472249942	0	1261.79550165042	3838.75097873647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381.032317494434
GEL-2798410-11	0	0	0	1017.19682601123	0	0	0	0	0	868.66808592994	0	0	0	0	0	0	0	0	0	698.13508805883
GEL-2536000-11	3271.45831027185	8579.01305551034	0	1774.51981116718	1088.31880188833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648.6900211623
GEL-2349877-11	4703.59455920861	0	0	5555.29275530986	8962.58565609543	0	30433.0819901077	0	0	0	0	0	0	0	0	0	0	0	0	1912.4450392784
GEL-2239980-11	1931.67924866902	3329.41460788419	0	0	2160.7262068553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920.17993659149
GEL-2553770-11	0	0	8827.4850066392	0	8313.13154843808	0	95385.3242577534	0	0	0	0	0	0	0	0	0	0	0	0	12077.0591871693
GEL-2266783-11	6479.66107013965	6760.14639887023	0	3175.83388252524	2139.8880694597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562.470579005181
GEL-2224047-11	506.585932315859	1305.64413688501	0	1504.78481372642	1679.46961797327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.515499099441
