Hartwig-CNS_common_SBS8	Hartwig-CNS_common_SBS1	Hartwig-CNS_common_SBS120	Hartwig-CNS_common_SBS5	Hartwig-CNS_rare_SBS14	Hartwig-CNS_rare_SBS119	Hartwig-CNS_rare_SBS18	Hartwig-CNS_rare_SBS26	Hartwig-CNS_rare_SBS97	Hartwig-CNS_rare_SBS6	Hartwig-CNS_rare_SBS11	Hartwig-CNS_rare_SBS126	Hartwig-CNS_rare_SBS35	Hartwig-CNS_rare_SBS2+13+17	unassigned
HMF000729A	0	47617.5	0	0	575748.5	0	0	0	0	0	0	0	0	0	0
HMF003339A	0	0	6191.59323495592	953.09131851284	0	2515.24099271752	0	0	0	0	0	0	0	0	777.074453813721
HMF003793A	3604.96717649081	1237.14555765595	1491.07280746978	2392.81445838346	0	0	0	0	0	0	0	0	0	0	0
HMF002335A	3664.06258258893	2864.17569638987	2291.04022411333	0	0	0	0	0	0	0	0	0	0	0	650.72149690787
HMF002436A	523.62784767086	0	361.468888133288	936.806868412105	0	0	957.390513430806	0	0	0	0	0	0	0	173.705882352941
HMF001333A	474.129449248976	2862.78161128812	576.657441966318	1580.43149749659	0	0	0	0	0	0	0	0	0	0	0
HMF001338A	1737.97587070339	3012.92533576144	1098.74914636922	747.349647165946	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
HMF003517A	588.807712418301	4158.17307189542	0	2552.33385620915	0	0	0	0	0	0	0	0	0	0	354.685359477129
HMF001602A	441.033210332103	284.165716202617	2035.76920496478	0	0	0	0	0	0	0	0	0	0	0	227.0318685005
HMF003015A	0	575.620280474649	1052.13376483279	1471.5857605178	0	0	0	0	0	0	0	0	0	0	148.660194174761
HMF001910A	0	0	1433.09085475194	1767.57886697217	0	0	0	11030.0927143521	0	0	0	0	0	0	848.237563923789
HMF002474A	0	0	2199.23112397143	0	0	0	0	0	3130.1599602134	0	0	0	0	0	247.60891581517
HMF001611A	1125.16893921886	4418.08995840074	927.964062861105	2191.7770395193	0	0	0	0	0	0	0	0	0	0	0
HMF003616A	1738.75322591429	3666.52316641038	1415.87056227853	677.853045396804	0	0	0	0	0	0	0	0	0	0	0
HMF003232A	559.753028807323	387.868258099255	4592.2799964103	0	0	0	0	0	0	0	0	0	0	0	44.0987166831228
HMF001855A	627.714655480186	2831.45751517315	856.927882898965	1278.8999464477	0	0	0	0	0	0	0	0	0	0	0
HMF003415A	373.280922431866	418.876310272537	391.819706498952	1445.02306079665	0	0	0	0	0	0	0	0	0	0	0
HMF003686A	1422.80978172999	1574.91527890057	653.305578011318	2517.96936135812	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
HMF000655A	962.132112611582	4952.68006408789	3975.54589150835	1033.64193179217	0	0	0	0	0	0	0	0	0	0	7.27595761418343e-12
HMF000925A	2020.39828540811	1146.06215395606	840.245043757814	4414.29451687801	0	0	0	0	0	0	0	0	0	0	5.45696821063757e-12
HMF002371A	2650.06812715335	2347.40297731262	1811.99531950855	873.533576025483	0	0	0	0	0	0	0	0	0	0	0
HMF003406A	1766.30359957961	3555.59813452443	0	1968.22398843931	0	0	0	0	0	0	0	0	0	0	318.87427745665
HMF001474A	1920.46294948319	2908.25848012811	1693.43536177027	0	0	0	0	0	0	0	0	0	0	0	362.84320861843
HMF003589A	0	7952.63191511824	0	0	0	0	0	0	0	20341.0885592624	0	0	0	0	169.27952561936
HMF002821A	2621.82046003759	0	1537.2057638951	1322.6886243623	0	0	0	0	0	0	0	0	0	0	118.28515170501
HMF002784A	2110.97083188305	3077.49961712496	1055.48541594152	935.04413505047	0	0	0	0	0	0	0	0	0	0	0
HMF001180A	0	0	0	17473.1668112922	0	0	0	0	0	0	187386.029944645	0	0	0	4825.80324406279
HMF000387A	1911.43050921621	2596.36810151507	1164.54378384291	1129.57249904283	0	2332.08510638298	0	0	0	0	0	0	0	0	0
HMF002393A	1332.97635363382	1062.16851655246	1380.11697712576	1420.73815268796	0	0	0	0	0	0	0	0	0	0	0
HMF003405A	1691.5	3644	1004.5	3945	0	0	0	0	0	0	0	0	0	0	0
HMF002478A	1833.05583817829	3282.2046996124	1825.05777616279	1313.68168604651	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-12
HMF002651A	1612.06087507926	2586.91185795815	2914.03297400127	786.994292961319	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
HMF001624A	1996.18866126727	4066.73535016675	1321.47689375893	995.599094807051	0	0	0	0	0	0	0	0	0	0	0
HMF001787A	1268.77338083726	1310.83216694236	704.484667260466	650.909784959919	0	0	0	0	0	0	0	0	0	0	0
HMF001020A	0	559.774471417384	6529.03319077164	927.282934762966	0	0	0	0	0	0	0	0	0	0	295.90940304801
HMF000649A	2745.9396634873	2869.07148215625	2289.95150573358	1436.03734862287	0	0	0	0	0	0	0	0	0	0	0
HMF002266A	2275.36310511507	2559.78349325445	1062.43806363177	1055.4153379987	0	0	0	0	0	0	0	0	0	0	1.00044417195022e-11
HMF003026A	2242.73840987077	3378.63831495948	946.499744469592	0	0	0	0	0	0	0	0	0	0	0	295.123530700158
HMF003436A	0	16512.3466748472	0	4825.64702733266	0	0	0	0	0	60764.5353628314	0	0	0	0	1058.47093498874
HMF000329A	1394.51165721487	3909.63088986907	611.785759294266	1223.07169362179	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
HMF001167A	0	1006.07040433257	4144.67037971567	2451.23509139024	0	0	0	0	0	0	0	0	0	0	515.02412456152
