Hartwig-Liver_common_SBS3+8	Hartwig-Liver_common_SBS167	Hartwig-Liver_common_SBS18	Hartwig-Liver_common_SBS110	Hartwig-Liver_common_SBS2+13	Hartwig-Liver_common_SBS4	Hartwig-Liver_common_SBS92	Hartwig-Liver_common_SBS1+5	Hartwig-Liver_common_SBS5	Hartwig-Liver_rare_SBS24	Hartwig-Liver_rare_SBS18	Hartwig-Liver_rare_SBS102	Hartwig-Liver_rare_SBS31	Hartwig-Liver_rare_SBS23	unassigned
HMF000270A	0	1917.77285809165	0	1210.30329864955	1093.72592428603	0	1324.87934469781	0	8227.9610360859	0	0	0	0	0	2045.35753818906
HMF001979A	0	0	0	147.285513361463	0	0	174.638537271449	87.3192686357243	0	0	0	0	0	0	338.756680731364
HMF001395A	0	1553.69811320755	1457.03024220527	983.207413354744	0	1064.84919041884	2319.02716445872	1148.99531647263	1496.09808644453	0	0	0	0	0	1206.09447343772
HMF002729A	799.093974571587	0	0	0	3451.62096922793	0	0	2649.49437995209	0	0	0	0	0	0	1328.79067624839
HMF000700A	0	0	1651.29518072289	0	860.583668005355	3123.63721552878	0	0	0	2576.72423025435	0	0	0	0	2301.75970548862
HMF000749A	2509.62587337031	0	1163.75394367212	0	950.615861125117	2432.57595620543	3365.68047252035	0	1415.41698480156	0	0	0	0	0	2054.33090830511
HMF000217A	4080.80744938008	0	2942.80778727939	0	2160.84160320225	6154.65217165285	1470.90102149559	0	0	0	0	0	0	0	2536.98996698984
HMF000142A	2241.03414664561	1757.13473688586	0	2284.52510599385	1455.19750187048	5275.90327541774	0	0	8128.81022944551	0	0	0	0	0	2910.39500374095
HMF000860A	0	0	1106.29282308351	0	391.993519990219	0	0	1205.18792028365	0	0	971.52903777968	0	0	0	515.996698862941
HMF000153A	0	0	0	0	733.79392907233	0	0	2966.18813864957	0	0	0	0	0	0	1293.0179322781
HMF000484A	1407.55429960264	1319.05088538251	0	0	0	4370.66860846418	2132.58226920258	827.031904633309	0	0	0	0	0	0	2904.11203271478
HMF001143A	1671.84593023256	1026.47529069767	1927.08575581395	0	0	985.356104651163	4525.61773255814	1065.5886627907	0	0	0	0	0	0	873.030523255817
HMF001811A	0	0	0	0	729.919301069088	0	923.530520749511	0	3233.357397402	0	0	2390.87343372801	0	0	1426.31934705139
HMF003373A	0	0	624.350250448918	561.915225404026	0	0	2129.78357433135	0	0	0	0	0	0	0	1968.95094981571
HMF001588A	2532.39644970414	1847.86982248521	0	2271.86390532544	1374.08284023669	0	0	0	0	0	0	0	0	0	1068.78698224852
HMF003425A	0	0	0	1352.46677782831	693.700672022637	2650.53544540448	2069.12445050781	948.723005406498	1030.07063816886	0	0	0	0	0	1132.37901066141
HMF002918A	1570.31143552311	0	1298.15085158151	741.800486618005	858.58394160584	1161.31873479319	871.615571776156	914.720194647202	0	0	0	0	0	0	411.498783454987
HMF002675A	1963.18937637005	2739.57785049401	1993.14648791181	1175.31734282174	0	3789.07532484036	1318.11290783747	1110.41026781459	1191.79375416971	0	0	0	0	0	435.37668774026
HMF000751A	0	2084.99290417142	0	2368.35097596724	0	0	0	0	3489.22306493265	0	0	0	11809.6007723984	0	1842.83228253029
HMF003194A	0	0	0	0	4014.14433740792	0	0	1115.85614830406	0	0	0	0	0	0	1126.99951428802
HMF000259A	983.495953283475	0	0	0	0	494.746439913943	580.202643171806	873.052556090565	0	0	0	0	0	1068.45241266264	878.049994877571
HMF000048A	1796.49206044154	0	0	2879.59016984169	1459.80613544094	2190.20947942441	3720.05429168568	0	6948.83729310303	0	0	0	0	0	1830.01057006271
HMF000927A	2208.44958258863	0	2475.00384606683	2832.57663853759	0	3905.79511775752	0	0	7510.02884550123	0	0	0	0	0	3173.1459695482
