Hartwig-Ovary_common_SBS5	Hartwig-Ovary_common_SBS8	Hartwig-Ovary_common_SBS1+5	Hartwig-Ovary_common_SBS17	Hartwig-Ovary_common_SBS13	Hartwig-Ovary_common_SBS111	Hartwig-Ovary_common_SBS3	Hartwig-Ovary_common_SBS31	unassigned
HMF001437A	745.633303520611	1556.40930156923	2264.9613789739	0	0	0	1042.28311244817	0	553.712903488089
HMF001093A	2210.2866946446	5022.6980230686	1696.03431256104	0	0	1551.74408108322	6206.97632433289	1256.67305408187	971.587510227779
HMF002184A	1263.78451972556	1295.71590909091	1887.44446826758	0	0	0	3048.44982847341	903.059605488851	909.54566895369
HMF001102A	1464.5635882072	3568.65494333724	1737.57544179584	0	0	0	3094.13434067127	0	1651.07168598845
HMF000223A	1219.17226602674	3412.58489029825	1147.83771854645	705.363986972917	0	0	3275.90191121015	0	1880.13922694549
HMF000684A	772.859369202226	0	1743.93914656772	0	428.976994434137	786.874953617811	2048.77810760668	506.563265306122	457.008163265304
HMF001509A	1552.75554628277	2131.53717226511	2158.05007302316	0	0	0	5268.563599694	1678.81688573614	1596.27672299882
HMF002496A	0	0	1047.44010088272	0	0	1739.73097940311	0	2807.17948717949	1545.64943253468
HMF003430A	3274.47181266262	5441.65119126575	0	0	0	2310.89286260905	4749.53104433447	1589.33141166267	2196.12167746544
HMF002251A	1319.33888714241	3662.38887142408	1683.87991197737	0	935.821754165357	0	3182.99245520277	919.841873624646	1003.73624646337
HMF000242A	3207.88470831895	1401.23123537759	1040.30046408162	0	0	0	4278.17941932267	1283.75376826602	1822.65040463315
HMF003302A	3894.20729467331	7291.32430413984	1564.28411682781	0	0	0	8013.95555376138	0	4012.22873059766
HMF000776A	1243.22373956378	1472.8574202317	1448.84344055401	0	0	633.869005242379	2166.76137466831	0	764.445019739821
HMF002413A	860.798344456965	2905.00684753402	1016.35225795267	0	1748.60605009968	0	3785.31195284736	0	1224.92454710931
HMF001921A	265.251908396947	0	1079.12730854469	0	0	0	0	218.946072395962	480.674710662401
HMF001589A	692.112484726515	1129.39488248401	2611.6314238482	0	0	961.518651620786	577.51433910731	608.174369294904	412.653848918275
HMF003260A	2307.57044176707	3041.86570281125	0	0	0	2823.98136546185	4799.46602409639	0	2617.11646586344
HMF000280A	1057.2110365399	401.700223713647	819.388516032811	0	427.680835197614	773.422818791946	0	932.803877703207	277.792692020875
HMF000508A	1688.28707667528	3191.378120629	1638.73462467681	0	0	0	3786.50807442886	0	1504.09210359005
HMF001728A	0	2016.90081494733	1042.20711588153	0	0	3021.60047704234	4137.82230172928	1034.70562512423	1326.76366527529
HMF003403A	865.114448266737	2248.29743318338	1141.15096586399	0	0	0	2111.27930669489	0	1193.157845991
HMF001224A	1275.53364026368	2328.47415506958	2281.95469289526	0	0	728.804907397719	1587.66422517526	890.372501831118	468.195877367383
HMF000311A	0	1173.83071079761	773.034906854766	0	0	6621.14668113583	0	1735.44583107253	776.541870139265
HMF002858A	0	0	1533.37395973154	0	0	566.725369127517	305.468993288591	1141.48939597315	195.942281879202
HMF003335A	0	1460.32710665219	1689.34889379703	0	0	1046.38400778647	7162.31812226257	0	2028.62186950174
HMF000064A	0	444.741601343785	2353.06914893617	0	308.862262038074	0	0	0	475.326987681971
HMF003018A	582.81336036709	1103.14672927116	1018.17394088144	0	0	0	1292.58606338704	0	687.27990609327
HMF001617A	642.284893419833	1477.85458758109	1751.05041705283	0	0	0	857.04578313253	0	660.764318813717
HMF003172A	2959.68382414282	3106.41603403687	2564.05772920664	0	707.119045632769	0	1932.55835488446	0	736.16501209644
HMF002200A	4392.70622117411	5234.32051255296	0	0	0	4103.49512699042	5565.06191956926	1674.72237410522	3005.69384560803
HMF002839A	0	0	1445.85950777365	0	5641.60848492478	0	0	0	874.53200730157
HMF002520B	226.305609284333	270.058027079304	493.84912959381	0	0	237.369439071567	0	992.727272727273	119.690522243713
HMF002038A	391.872434341205	0	985.66387111013	0	0	0	0	305.122048112999	576.341646435666
HMF002504A	4029.64376556086	3640.27481326963	0	0	2019.82020052486	3390.35892604805	4175.09481192383	2866.5352264316	2162.27225624117
HMF002356A	1163.07705615224	1474.33006559504	1736.62192748504	0	0	683.957255099834	1121.11035824984	0	751.903337418006
HMF000613B	2653.97485949633	3361.20168175383	1254.01561628555	0	0	0	2325.10189197306	0	2055.70595049123
HMF003458A	0	420.244816387709	1987.65792322425	0	1643.95769839287	695.405112832043	0	538.813889582813	721.920559580315
HMF001584A	1435.63201937899	1611.70953534464	2195.96674741246	0	559.746421493063	696.306540409601	1612.20975556045	698.807641488659	275.621338912137
HMF001292A	1012.49851924975	1507.98716683119	1534.01283316881	0	419.413622902271	0	468.461994076999	0	634.62586377098
HMF002168A	2585.77139190614	1444.97520509648	1020.42320912966	0	2784.06214766946	691.270544021266	1532.382968972	0	839.114533204995
HMF003205A	1808.54029348088	4102.89728169353	1087.32788068318	0	0	3395.2076016358	4576.19292759201	0	1685.8340149146
HMF002751A	0	1432.85424488945	1069.77127659574	0	727.664215686274	1152.67605340008	3993.9126512307	633.272632457238	566.848925740518
HMF000194A	842.677784029874	3697.86249936058	1122.23438539056	0	0	621.737889406108	2370.21914164407	0	1139.26830016881
HMF000034A	0	205.971563981043	544.0663507109	0	0	0	0	99.4691943127962	210.492890995261
HMF003329A	0	445.626000607964	1412.56925727024	0	0	1777.99260310062	504.274191914074	433.094335798966	373.443611308136
HMF002780A	2418.03363636364	3836.17363636364	3119.60818181818	0	0	0	2529.96575757576	0	1288.21878787878
HMF002439A	0	0	1446.02748876044	0	5699.93371868979	1529.70267608649	1053.7061014772	715.999058017555	1256.63095696853
HMF002534A	293.504047093451	0	729.739514348786	0	0	0	0	122.628403237675	220.128035320088
HMF001680A	374.508302781971	0	1391.9644166487	0	0	0	0	0	564.527280569329
HMF002316A	2257.24235922485	4347.5037775901	1744.80084910182	0	4106.0313391614	0	7009.19997260962	0	2438.22170231221
HMF001243A	0	0	1580.23982022959	14008.1780376868	1144.74461230236	1542.56722438813	0	0	277.270305393122
HMF002905A	3728.91105545617	4118.90175313059	0	1179.47186642815	1385.96694096601	3784.90971973763	4217.89939177102	2151.94867024448	393.990602265949
HMF002158A	1808.94024133308	1707.27499521165	1316.6400593756	0	0	1022.66222945796	2384.8763646811	1497.43392070485	721.17218923576
HMF000243A	2620.89291834561	3121.77689778148	1580.63387522579	668.345190125515	0	0	1231.71469593812	914.788106155342	654.848316428142
HMF000019B	0	4347.50195088363	1596.1335781501	0	1034.76245122791	1092.2492540739	7161.85586412669	0	2191.49690153777
HMF003668A	1523.86016702272	3220.37444163915	0	0	0	2647.36298310352	1994.28005437949	1901.19697028549	1596.92538356963
HMF003560A	0	6900.30942638197	3118.54372814523	0	0	4617.04525332936	6617.21467896734	0	5637.8869131761
HMF002582A	564.389001577643	868.367816091954	1616.54631507776	0	304.980392156863	0	700.603560964616	0	389.112914131164
HMF001462A	1416.02018037325	0	907.795115635324	877.2515403161	6174.80935797839	0	0	0	1839.12380569694
HMF002670A	0	585.775377330571	3071.17253625333	0	0	0	1726.6546315478	910.088783663806	502.308671204493
HMF000070A	0	1983.48554790143	927.961082309495	0	0	616.806476812726	2186.08621546765	0	1329.6606775087
HMF003217A	504.041162227603	504.041162227603	1189.13591606134	0	259.794350282486	0	336.027441485069	0	313.959967715899
HMF001973A	1914.37593840846	4395.82647030636	1246.46589783727	0	1750.14394786442	0	4000.97083346644	0	2318.21691211705
HMF002648A	2862.53449502134	2735.44416785206	2030.44310099573	0	0	0	2863.53520625889	0	2171.04302987198
HMF001305A	0	0	1508.62013172967	0	610.037657502864	1777.69566151203	948.50372279496	1026.38087056128	1101.7619558992
HMF000057A	1419.30105115627	1852.74029432376	0	0	7725.41709880869	1335.81275402943	0	0	1934.72880168185
HMF001906A	682.132809900858	1187.47202075986	2708.49797059019	0	1182.46370350655	619.52884423448	0	573.953157229357	572.951493778705
HMF002173A	681.398887099136	2465.94354956802	1082.13347488651	0	0	0	1612.94420852248	0	990.579879923854
HMF003031A	2308.83870212932	1626.64768738788	1746.76936276421	0	0	2139.16683566024	3856.40628656111	0	1156.17112549724
HMF000511A	1474.49564547206	4010.6880539499	0	1616.25487475915	0	0	3678.25267822736	0	2173.30874759153
HMF002016A	0	1904.59936908517	1363.21324921136	0	0	0	3383.28832807571	1174.75289169295	1682.14616193481
HMF003496A	2014.92929576476	2224.42194462964	2041.9283483631	0	0	2292.91954103653	3880.36383732763	843.970384925787	950.466647952553
HMF002654A	528.855732555531	528.855732555531	2226.49764415526	0	0	0	466.814000448732	0	708.976890284946
HMF000201A	437.696536650975	1457.31338264963	854.287155346335	0	0	0	0	0	239.70292535306
HMF000676A	1504.69322394888	1529.17196497594	1020.11406484184	0	0	548.523625463438	866.247692671768	0	864.249428098134
HMF003013A	540.912011325275	817.622781226179	2202.67777414788	0	0	0	629.979854078188	0	403.807579222478
HMF003688A	2360.68908608842	5249.59174287106	0	4012.92110816514	1538.57848601266	0	4302.81272658406	0	1041.40685027866
HMF001196A	3216.87653224374	2410.28507135666	4342.60851542607	2230.98703144431	1367.95914016699	1031.83774501096	1522.78474566234	0	744.661218688931
HMF001375A	681.693022440393	890.057678821879	2239.92005610098	0	0	0	1333.33345021038	0	568.995792426368
HMF000509A	1408.38345282574	1289.43552458851	1129.00575583157	0	2315.98613214851	0	5653.02527853512	1924.15766266115	1128.0061934094
HMF001788A	0	0	1955.68595744681	0	0	0	584.146382978723	2054.54921985816	712.618439716307
HMF000643A	0	0	543.035681271954	0	0	914.853022739878	0	1049.09225365132	233.019042336848
HMF002838A	0	240.977565900168	485.476724621425	0	0	606.720134604599	0	1111.31407739764	246.511497476168
HMF002520A	0	287.921674025725	721.817623344212	0	0	0	0	1300.68112881551	311.579573814553
HMF002598A	2007.69042544794	9501.7328913095	0	0	1259.6880574631	0	3352.49254084774	0	2907.39608493172
HMF000586A	2281.77638607478	1474.94105728495	1685.28918769571	0	0	0	6103.10075520354	0	2049.89261374102
HMF000654A	867.710871995528	1590.21911682504	2724.30170486305	0	0	0	1022.42677473449	0	961.341531581892
HMF002161A	0	4804.45985431	2042.5310805342	0	0	1719.47515176042	1311.66689599352	881.42420072845	1559.44281667341
HMF002404A	691.088709677419	2406.03110599078	1140.62211981567	0	0	0	1644.78110599078	0	1077.47695852535
HMF000375A	0	224.121120889301	1368.79342288096	0	0	0	0	0	572.085456229739
HMF001102B	1136.77798815615	3947.70172823591	1531.54816097974	0	0	1048.21737904363	3011.06070982557	901.116706280466	843.577327478533
HMF002902A	860.645192307692	0	1992.67850274725	0	0	2145.11565934066	1058.5635989011	451.313942307692	768.683104395606
HMF000069A	0	2112.19635138928	684.03513892787	0	0	1783.69924221162	2429.67678922257	1009.02694358687	902.36553466179
HMF000613A	2907.10399014019	3581.39616391927	1107.1587582807	0	0	858.735325835773	2682.67316284086	0	1840.93259898321
HMF002078A	858.994215810119	1342.61698025397	1561.12426035503	0	502.165813443255	0	2064.7935642577	566.314739711455	641.990426168471
HMF000080A	665.671013498055	517.79981697552	637.600549073439	176.944177533745	0	0	0	0	192.984442919241
HMF002714A	575	999.5	1565.5	0	0	0	473	0	592
HMF002586A	0	1945.89941972921	2367.1353044119	0	1361.37828129317	0	2502.87243253201	918.103896103896	1780.61066592981
HMF002544A	0	0	0	0	13950.8348098105	1976.664572435	0	1708.23482558292	1415.26579217158
HMF002212A	0	317.4795042898	1030.56434699714	0	0	253.784556720686	0	451.338417540515	556.833174451859
HMF001159A	0	0	0	0	0	864.663992594878	0	4632.8417155199	974.494291885221
HMF003292A	0	15362.1588229851	0	0	1539.52021837698	0	4335.18880355325	0	5816.13215508467
HMF000449A	1326.54428904429	2195.05536130536	2028.36130536131	0	0	0	1633.9020979021	0	1406.13694638694
HMF000422A	198.107630522088	311.24016064257	759.244979919679	0	0	0	0	335.375100401606	274.032128514057
HMF000524A	0	697.118260869565	825.786086956522	0	0	0	0	149.777391304348	350.318260869565
HMF000926A	0	0	1222.67351984385	0	0	461.329342875732	329.664541314249	1265.89173715029	582.440858815879
HMF003042A	0	338.764299065421	1651.53887850467	0	0	0	0	216.446728971963	486.250093457946
HMF001673A	401.914914716382	1182.99484331614	678.452598175327	0	0	0	0	0	285.637643792151
HMF003082A	0	0	1447.77841387439	0	545.80142560476	2228.85637312679	2121.0003928832	1552.12280406353	1042.44059044733
HMF002954A	3799.11665173341	1060.23023640499	2083.93531601075	0	0	1333.41839547867	3724.0649596802	1139.78502998139	1378.44941071059
