Hartwig-Skin_common_SBS1+5+18	Hartwig-Skin_common_SBS17	Hartwig-Skin_common_SBS7a	Hartwig-Skin_common_SBS38	Hartwig-Skin_common_SBS13	Hartwig-Skin_rare_SBS5	Hartwig-Skin_rare_SBS125	Hartwig-Skin_rare_SBS1+5	Hartwig-Skin_rare_SBS8+23	Hartwig-Skin_rare_SBS6	Hartwig-Skin_rare_SBS1+5+106	Hartwig-Skin_rare_SBS99	Hartwig-Skin_rare_SBS33	Hartwig-Skin_rare_SBS32	Hartwig-Skin_rare_SBS96	Hartwig-Skin_rare_SBS115	Hartwig-Skin_rare_SBS124	Hartwig-Skin_rare_SBS112	Hartwig-Skin_rare_SBS4	Hartwig-Skin_rare_SBS7c	unassigned
HMF002314A	0	0	33376.481855593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1385.518144407
HMF003695A	0	0	17580.7710982659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452.2289017341
HMF003635A	0	0	102610.982340727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455.017659272999
HMF001013A	0	0	41834.4533435669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4408.5466564331
HMF001368A	0	0	27862.504162227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162.495837773
HMF003261A	0	0	72868.3277227592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2753.6722772408
HMF000744A	2250.64295498128	6504.24805953794	0	0	1485.58446717195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718.52451830883
HMF000299B	0	0	175995.108009197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2973.89199080301
HMF003659A	0	0	27696.4728781437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1588.5271218563
HMF002328A	0	0	77872.7104816644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1977.2895183356
HMF001977A	609.949412183826	0	0	114.365514784467	0	549.255432846455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.429640185252
HMF000897A	0	0	36394.8950553099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3529.1049446901
HMF000792A	2287.77596201151	0	17845.9518085175	2045.90537100811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1183.36685846288
HMF000078A	0	0	31219.0818187165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2781.9181812835
HMF001387A	1626.32792155602	0	0	321.361195949204	455.511975566629	0	666.248834592509	0	0	0	0	0	0	0	0	0	0	0	0	0	44.5500723356381
HMF003079A	0	0	73564.8863100778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2167.1136899222
HMF000004B	3468.64212625219	13956.4892003869	21981.7202488269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2429.14842453401
HMF000274A	0	0	13508.5353857706	1744.32738877417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731.13722545523
HMF001743A	0	0	103013.260044791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2821.73995520901
HMF000939A	1089.42273402675	0	125.278603268945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.298662704305
HMF003350A	0	0	38685.6137837804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1639.3862162196
HMF002124A	0	0	626413.2222613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485.7777387
HMF003124A	0	0	123062.264964417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8402.735035583
HMF000880A	0	0	84538.3311964307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653.668803569293
HMF000639A	0	0	40325.8132287395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1746.1867712605
HMF000220B	0	0	34466.0686104956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2538.9313895044
HMF003258A	0	0	83774.4107668187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1381.58923318129
HMF002749A	0	0	88380.3978612937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2052.60213870629
HMF002661A	0	0	70216.2294454017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2627.7705545983
HMF001154A	0	0	242572.443940614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802.556059385999
HMF002681B	635.336143308746	0	0	0	0	0	0	1029.16438356164	0	0	0	0	0	0	0	0	0	0	0	0	237.499473129614
HMF000300A	2801.61864729798	0	18749.7940454006	1406.55956716924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655.02774013218
HMF002175A	910.578080636002	0	0	0	0	1463.1425326519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.279386712098
HMF002774A	2305.44237068302	0	19523.277803425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910.279825891979
