ICGC-Biliary_common_SBS3+8	ICGC-Biliary_common_SBS18	ICGC-Biliary_common_SBS5_a	ICGC-Biliary_common_SBS130	ICGC-Biliary_common_SBS1	ICGC-Biliary_common_SBS2+13	ICGC-Biliary_common_SBS5_b	ICGC-Biliary_rare_SBS32	ICGC-Biliary_rare_SBS24	ICGC-Biliary_rare_SBS166	ICGC-Biliary_rare_SBS6	ICGC-Biliary_rare_SBS44	ICGC-Biliary_rare_SBS28	unassigned
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	0	0	1329.73289233577	0	1415.50593065693	0	0	2936.34717153285	0	0	0	0	0	915.414005474449
a47c2012-c13d-48ac-88b6-e09bfd50122b	1121.2248818114	2173.40512565315	0	714.962229410301	3702.89395371983	1634.55675541179	706.957053993531	0	0	0	0	0	0	0
5975deb5-00d2-4d18-b5c0-34ac9947fe11	609.448991354467	0	0	0	768.086455331412	1451.83400576369	518.081844380403	0	0	0	0	0	0	136.548703170028
ec399861-7a56-4ffd-8619-700b6e3a4367	0	1902.71400693842	0	1215.2040329575	0	9666.35002891009	0	0	0	0	0	0	0	1122.73193119399
4ef20a13-f107-4654-adca-fc60b8f5be47	754.461568322981	849.645962732919	0	0	2251.36141304348	0	677.813082298137	0	0	0	0	0	0	628.717973602483
e7c90af0-4b03-453e-b44f-e07248415088	1232.43055287254	976.386817602287	0	0	4252.63995672835	4545.40509214542	1494.00764980875	0	0	0	0	0	0	519.129930842653
50e3a421-9741-4cd8-911b-0f47ca518b6a	0	624.442001007218	1524.80023501763	486.734262212523	2384.09652509653	829.250965250965	0	0	0	0	0	0	0	116.676011415134
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	2700.64891499104	2312.84033446148	0	3826.04439577942	1852.97441767868	3288.6167628907	0	0	0	0	0	0	0	1099.87517419868
796a8782-6d7e-47c8-b322-fcfe1dd240c8	1071.40914471089	2197.06685371093	0	0	0	0	3759.72688615142	0	3317.19924597782	0	0	0	0	1112.59786944894
bb65d670-0411-4fc5-a6cb-019caec1ab36	0	4226.31061540186	0	933.609012442551	4972.39558345477	2120.42562492994	0	0	0	0	0	0	0	1166.25916377088
56cc8740-b132-4cbc-b513-f0b5b2305ca6	1255.60874439462	1553.72813901345	0	0	3389.54236066624	4070.958119795	1231.05773542601	0	0	0	0	0	0	1013.10490070468
f0e0d978-3e32-4444-a07a-26049b2594e6	1469.28270659328	4964.95531349833	0	0	2976.57272622301	881.6696432008	2226.42838997729	0	0	0	0	0	0	474.091220507291
97a6f44a-c622-11e3-bf01-24c6515278c0	343.314506539833	0	833.978596908442	0	243.577883472057	0	932.211652794292	0	0	0	0	0	0	175.917360285376
bcc74a5e-c622-11e3-bf01-24c6515278c0	1006.33474692956	2455.15712948174	1290.00627857025	0	0	0	3705.70909291182	0	0	0	0	0	0	610.79275210663
d876d576-c622-11e3-bf01-24c6515278c0	1132.95394546681	1492.78051835437	0	1026.00549185856	0	0	5464.36631660083	0	0	0	0	0	0	1257.89372771943
da5b9926-c622-11e3-bf01-24c6515278c0	0	0	0	2393.98777173913	1173.17934782609	875.873641304348	449.217391304348	0	0	0	0	0	0	642.741847826084
df9f8c80-c622-11e3-bf01-24c6515278c0	182.499542543458	0	490.843549862763	0	177.987191216834	0	504.380603842635	0	0	0	0	0	0	288.28911253431
e4fd1b3e-c622-11e3-bf01-24c6515278c0	0	399.127738794215	937.474437920665	0	639.505799799513	0	1044.64299011886	0	0	0	0	0	0	476.249033366747
f2b2111c-c622-11e3-bf01-24c6515278c0	1312.16329218107	2573.60768175583	0	1613.96587105624	0	0	11744.1878737997	0	0	0	0	0	0	1060.07528120716
2109e1d4-c623-11e3-bf01-24c6515278c0	597.014410850523	499.767730997457	927.8536309692	0	350.890081944052	0	1045.65244419327	0	0	0	0	0	0	126.821701045498
2584b428-c623-11e3-bf01-24c6515278c0	0	2214.62150403978	996.855189558732	0	0	1219.26911124922	3667.3250466128	0	0	0	0	0	0	767.929148539468
39458b0e-c623-11e3-bf01-24c6515278c0	0	271.018660140716	283.176506576935	0	0	0	0	0	0	850.542673600489	0	0	0	251.26215968186
5a51a6fc-c623-11e3-bf01-24c6515278c0	0	0	0	0	911.738002996022	0	0	0	0	0	8565.4854073041	0	0	306.776589699877
5c9b8a2c-c623-11e3-bf01-24c6515278c0	454.764606814354	609.524808913072	959.112579349657	0	556.435548646198	289.987563155849	873.468584013473	0	0	0	0	0	0	122.706309107397
60f81dba-c623-11e3-bf01-24c6515278c0	437.05661820964	2230.84111196123	1367.24126498342	0	0	369.470543228768	910.659780668197	0	0	0	0	0	0	573.730680948745
6f395380-c623-11e3-bf01-24c6515278c0	0	650.069632613206	0	1097.71634321982	0	0	2410.94763822776	0	0	0	0	0	3503.62858537776	588.637800561454
7034e5f6-c623-11e3-bf01-24c6515278c0	179.635420154001	266.182457315032	551.485771677268	0	0	0	266.685637763642	0	0	0	0	0	0	239.010713090057
7512b38c-c623-11e3-bf01-24c6515278c0	459.655143456963	0	0	0	1886.7122463261	0	726.943596920924	0	0	0	0	0	0	543.689013296013
760881cc-c623-11e3-bf01-24c6515278c0	0	0	0	0	16895.4859705044	0	17057.2874994558	0	0	0	0	169553.976202338	0	3622.2503277018
7789ef18-c623-11e3-bf01-24c6515278c0	5701.11122159797	1115.15139462039	0	0	0	839.873464923184	1487.20280415652	0	0	0	0	0	0	941.661114701936
78bc2608-c623-11e3-bf01-24c6515278c0	350.455923638405	491.042859816582	605.83866741531	0	782.836608646828	0	453.620437956204	0	0	0	0	0	0	18.2055025266709
79b23f34-c623-11e3-bf01-24c6515278c0	448.663194003303	1076.89226273663	763.029221191716	0	505.500571718968	0	975.792148392835	0	0	0	0	0	0	189.122601956548
7ae872a6-c623-11e3-bf01-24c6515278c0	584.543444328824	637.502081165453	601.530176899064	759.906477627471	624.012617065557	0	576.549687825182	0	0	0	0	0	0	56.9555150884489
7bdcb78a-c623-11e3-bf01-24c6515278c0	1034.09860803955	0	0	899.018212566671	0	0	1765.15168466242	0	0	0	0	0	0	190.731494731359
