ICGC-Breast_common_SBS17	ICGC-Breast_common_SBS8	ICGC-Breast_common_SBS1	ICGC-Breast_common_SBS2	ICGC-Breast_common_SBS13	ICGC-Breast_common_SBS3	ICGC-Breast_common_SBS5	ICGC-Breast_common_SBS18	ICGC-Breast_common_SBS127	ICGC-Breast_rare_SBS26	ICGC-Breast_rare_SBS44	ICGC-Breast_rare_SBS33_a	ICGC-Breast_rare_SBS30	ICGC-Breast_rare_SBS33_b	unassigned
fc8130df-6977-7704-e040-11ac0d485de4	0	298.497647849462	817.623991935484	0	0	253.573252688172	790.66935483871	335.435483870968	260.062331989247	0	0	0	0	0	215.137936827957
f7c6a336-3126-7580-e040-11ac0c485971	0	297.14749861547	760.938526859886	0	0	0	891.944434188665	0	253.47886283921	0	0	0	0	0	515.490677496769
fc8130df-2e39-3814-e040-11ac0d485de0	0	300.548056932672	711.113705421398	249.539900847593	0	0	1020.6632016632	252.040300655685	362.057892211738	0	0	0	0	0	231.036942267714
fc8130e0-0db6-b568-e040-11ac0c483281	0	0	645.39667896679	0	0	0	435.267527675277	0	158.597478474785	0	0	0	0	0	387.738314883148
fc8130df-1f21-c8f9-e040-11ac0d485dfc	0	0	688.073408824678	364.713783678251	0	217.233893010543	635.259664193674	234.174150722374	0	0	0	0	0	0	412.54509957048
fc8130e0-096a-b991-e040-11ac0c48327d	0	0	0	24529.2647424733	10392.8912664842	0	0	0	0	0	0	0	0	0	1272.8439910425
fc8130e0-aed2-bb2f-e040-11ac0d485e12	0	243.315857885615	555.721403812825	0	0	213.276863084922	745.467720970537	0	262.340554592721	0	0	0	0	0	290.87759965338
fc8130e0-09f1-b964-e040-11ac0c48326e	0	268.22218537556	367.304261316531	656.543856740176	212.676173105621	261.216382026198	706.585309235616	366.303432266623	0	0	0	0	0	0	179.148399933675
fc8130e0-0e1f-b54d-e040-11ac0c48326c	0	0	805.402597402597	533.111688311688	0	499.698701298701	1784.85194805195	1129.55844155844	516.155844155844	0	0	0	0	0	683.22077922078
f7d7b3db-02af-61cb-e040-11ac0c480c03	0	0	374.945339652449	1302.28341232227	539.861137440758	237.097788309637	423.066666666667	0	0	0	0	0	0	0	295.745655608219
fc8130e0-a774-d834-e040-11ac0c483268	0	0	993.198680956307	314.806265457543	324.863973619126	0	1020.35449299258	341.962077493817	314.806265457543	0	0	0	0	0	350.008244023084
f809247c-2bab-ab06-e040-11ac0d482b8a	0	0	653.526220614828	0	0	0	385.077757685353	568.065099457505	0	0	0	0	0	0	339.330922242314
f7b847e5-0f5d-69b4-e040-11ac0c4845fe	0	0	768.241525423729	0	0	0	525.216101694915	450.902542372881	0	0	0	0	0	0	388.639830508475
fc8130e0-0b9c-bbc9-e040-11ac0c483266	0	0	864.013412816692	0	0	196.028315946349	672.451564828614	0	0	0	0	0	0	0	598.506706408345
fc8130df-2ca4-39d2-e040-11ac0d485e00	0	0	537.987392169874	0	0	0	367.700066357001	322.49104180491	0	0	0	0	0	0	285.821499668215
f7b84c09-15d4-3046-e040-11ac0c4847ff	0	140.906125166445	480.679760319574	0	0	0	540.140146471371	143.404460719041	0	0	0	0	0	0	195.869507323569
f7d70fac-c76f-399e-e040-11ac0c482f9c	0	666.146099055823	1025.42156700348	0	0	240.356799734968	476.178565512672	0	0	0	0	0	0	0	633.896968693057
f7d128d2-3964-e3bc-e040-11ac0d481667	0	0	331.719878207917	672.960417572858	467.013484123532	0	414.900391474554	0	0	0	0	0	0	0	417.405828621139
f7b84b5d-8f28-e6b7-e040-11ac0c484704	0	205.242680290823	732.937708783651	360.180782078994	0	0	563.411279229711	0	0	0	0	0	0	0	698.227549616821
fc8130df-e399-e34d-e040-11ac0c483279	0	0	0	3915.41726067747	2722.22350515464	0	591.091369661267	0	0	0	0	0	0	0	1267.26786450662
fc8130e0-0d25-b475-e040-11ac0c483277	0	170.685483870968	442.778225806452	277.614919354839	0	0	378.01814516129	0	0	0	0	0	0	0	224.903225806451
f7ed28a6-8f5f-e87b-e040-11ac0c48120e	0	186.078912171199	722.748551047704	0	451.404369148462	0	520.619705751226	0	0	0	0	0	0	0	369.148461881409
f7e4a2a8-093d-9e36-e040-11ac0d480c7d	0	1531.24437907123	448.339567135953	0	0	828.279890733347	805.812985921412	0	480.791762975415	0	0	0	0	0	657.531414162643
fc8130df-1bc2-c537-e040-11ac0d485de6	0	372.496021618376	837.367062002702	0	0	270.134514337187	718.028524245609	644.62783365861	0	0	0	0	0	0	483.346044137516
fc8130df-35ac-2304-e040-11ac0d485dda	0	1449.737253569	651.854860639021	0	0	0	980.040448674371	1018.68003625651	0	0	0	0	0	0	328.687400861098
f7c7373c-1972-4968-e040-11ac0d486e80	0	0	0	32618.6608224875	21652.4472410455	0	0	0	0	0	0	0	0	0	1506.891936467
fc8130df-1cdd-cade-e040-11ac0d485dec	0	0	675.254896474538	122.637101287073	0	0	420.97062115277	254.284275321768	0	0	0	0	0	0	315.853105763851
fc8130df-3225-3f96-e040-11ac0d485dfe	0	0	0	4915.77512843641	6015.50782383623	0	0	0	0	0	0	0	0	0	1826.71704772736
f7c6486a-bb08-f77a-e040-11ac0c482953	0	0	396.106706489275	0	0	282.144447461309	653.149334781428	0	302.225902796633	0	0	0	0	0	215.373608471355
f7b84bac-f161-9eee-e040-11ac0c4847ed	0	0	624.608935051933	816.988487047929	934.414966837692	307.807283193593	554.153047178075	0	0	0	0	0	0	0	755.027280690778
fc8130df-30a5-3e6a-e040-11ac0d485de2	0	1633.21263117481	0	0	0	2094.47875607883	1602.66188891733	982.632070642437	0	0	0	0	0	0	1514.01465318659
fc8130df-897d-5404-e040-11ac0d485e0a	0	0	722.71256454389	0	0	264.860585197935	358.843373493976	0	0	0	0	0	0	0	405.583476764199
fc8130e3-01ba-c740-e040-11ac0c483291	0	2658.77285607755	0	0	745.777777777778	2573.6841163311	1455.01744966443	990.032513049963	0	0	0	0	0	0	1644.71528709918
f7f66114-e321-1d4c-e040-11ac0d48541a	0	118.026315789474	476.140350877193	0	0	0	358.618421052632	130.635964912281	0	0	0	0	0	0	181.57894736842
fc8130df-3147-3e94-e040-11ac0d485df8	0	310.437535330695	683.365743357829	0	0	0	549.313171283211	0	0	0	0	0	0	0	239.883550028265
f7e7d61f-e2dc-b523-e040-11ac0c482000	0	266.153770086527	358.400247218789	0	0	283.796538936959	643.709023485785	0	274.219035846724	0	0	0	0	0	212.721384425216
fc8130df-2d5f-3b53-e040-11ac0d485dee	0	1597.15169499146	666.567395018434	0	0	1393.86871684201	952.167430986422	0	0	0	0	0	0	0	972.244762161674
fc8130e0-0c53-b432-e040-11ac0c483283	0	186.487457880943	431.12691875702	0	0	0	458.197678771996	117.306626731561	0	0	0	0	0	0	145.88131785848
fc8130df-2211-cfcc-e040-11ac0d485dde	0	1300.6538139145	0	0	453.227829002515	1726.36781223806	1146.57636211232	0	0	0	0	0	0	0	1341.17418273261
fc8130e0-a538-dda3-e040-11ac0c483264	0	591.234740146495	1534.20404604116	1598.33798395535	0	0	1113.8261248692	0	470.983606557377	0	0	0	0	0	437.413498430418
fc8130e0-095f-b953-e040-11ac0c483287	0	0	415.49865735768	240.155209452202	0	0	754.629967776584	0	0	0	0	0	0	0	460.716165413534
fc8130e2-f2ef-d096-e040-11ac0c483293	0	274.10110701107	513.189298892989	604.723062730627	0	0	753.277859778598	0	0	0	0	0	0	0	565.708671586716
fc81312a-99ae-7672-e040-11ac0c4832a2	0	0	956.839993080782	0	0	278.162774606469	853.964711987545	0	0	0	0	0	0	0	798.032520325204
fc8130e0-0bc1-bba7-e040-11ac0c483289	0	0	536.402906539714	0	0	0	598.949887246304	258.694312202456	337.253319969932	0	0	0	0	0	265.699574041594
fc8130e0-ad8a-b832-e040-11ac0d485e14	0	0	635.611963725148	0	0	0	1069.00645273805	0	494.309382629927	0	0	0	0	0	664.072200906875
fc8130e0-a8b4-d80d-e040-11ac0c483272	0	398.9109375	623.860714285714	315.429575892857	1092.75602678571	0	899.799107142857	0	615.362611607143	0	0	0	0	0	532.881026785719
fc8130e5-18b8-ef38-e040-11ac0c483297	0	500.925309229305	1033.78211227402	301.852402473834	297.362036156042	325.801022835395	721.452188392008	531.360014272122	404.631898192198	0	0	0	0	0	77.8330161750764
fc8130df-18fe-c74d-e040-11ac0d485df2	0	310.011908306043	563.338791306937	0	0	0	389.270616254838	0	0	0	0	0	0	0	422.378684132182
fc8130e0-a539-dda8-e040-11ac0c48326a	0	815.927189988623	667.758816837315	0	0	636.222980659841	1618.33902161547	622.707622298066	539.613196814562	0	0	0	0	0	379.431171786123
fc8130df-34f8-22c6-e040-11ac0d485de8	0	0	561.847938780548	0	0	178.746976055295	556.826956307085	0	285.191804492718	0	0	0	0	0	451.386324364354
fc8130df-297f-34a3-e040-11ac0d485e02	0	181.139795421335	681.790063321968	395.488553336581	189.190452995616	0	421.653190452996	0	0	0	0	0	0	0	196.737944471504
fc8130e0-a94d-d9d0-e040-11ac0c483262	0	0	506.094353458812	252.5450989978	242.001466634075	0	438.815937423613	261.080420435101	0	0	0	0	0	0	353.462723050599
fc8130df-6860-7677-e040-11ac0d485ddc	0	2912.59890463918	605.599806701031	0	0	1540.34085051546	1068.20380154639	0	0	0	0	0	0	0	1660.25663659794
fc8130df-6bec-7627-e040-11ac0d485e04	0	1586.87907528156	0	1057.25192649674	1190.91019561352	779.422940130409	1242.97184350919	0	0	0	0	0	0	0	898.564018968581
fc8130df-90ba-5d94-e040-11ac0d485e0c	0	2316.44859813084	0	0	799.583786133449	2075.02716800695	1809.66311671376	648.445990002173	0	0	0	0	0	0	1530.83134101283
f7fdda4f-7bf7-ede7-e040-11ac0c486e57	0	165.637230514096	334.276948590381	0	0	0	445.368988391376	0	0	0	0	0	0	0	261.716832504147
fc8130e0-0f1a-b6eb-e040-11ac0c48328f	0	1989	0	718.5	1320	1260	1365.5	635.5	622	0	0	0	0	0	430.5
fc8130e0-08dd-b996-e040-11ac0c48327b	0	343.741323591401	573.402557257271	539.879022059857	454.318954615709	323.22692145567	584.410285232542	495.848110158775	0	0	0	0	0	0	246.172825628775
f80293b8-ddb7-f575-e040-11ac0d48309d	0	0	512.891986062718	125.217770034843	0	0	563.980836236934	0	0	0	0	0	0	0	522.909407665505
f7f3e156-0dde-72b9-e040-11ac0d48542c	0	1094.67569601204	0	2732.44243792325	2914.30549285177	0	660.502633559067	781.911211437171	0	0	0	0	0	0	1112.1625282167
f7f6619b-fae8-3381-e040-11ac0c483f78	0	176.240506329114	777.26582278481	0	0	0	532.738396624473	252.059071729958	0	0	0	0	0	0	165.696202531645
f7e7b258-b4b2-e6c5-e040-11ac0d486773	0	0	1855.9450946395	0	404.141309059384	754.697587053894	1045.65929778934	1269.01372634012	1081.71651495449	0	0	0	0	0	520.826470163272
fc8130df-3361-3c8a-e040-11ac0d485dea	0	0	782.191616766467	176.31777823663	0	0	579.40119760479	189.803840594673	251.739830683461	0	0	0	0	0	439.545736113979
fc81312a-d451-38fb-e040-11ac0c4832a4	0	0	524.205147615443	995.490537471612	0	0	470.286903860712	0	271.588190764572	0	0	0	0	0	376.429220287661
fc8130df-2628-304a-e040-11ac0d485dfa	0	0	910.606716962765	0	0	0	555.174738379168	0	0	0	0	0	0	0	591.218544658067
fc8130df-8ec8-5b1e-e040-11ac0d485e06	0	4171.87753094866	0	6368.57854225909	7278.23228068675	2305.45851061555	0	1787.73271899254	0	0	0	0	0	0	1529.12041649741
fc8130df-24d9-32f1-e040-11ac0d485df0	0	0	938.575043936731	433.57539543058	0	0	1050.23831282953	0	0	0	0	0	0	0	439.611247803159
fc8130e3-023d-c7d4-e040-11ac0c483295	0	1034.63473328368	0	0	0	1278.31318397983	1629.34996848679	1547.45803013809	1823.09431043374	0	0	0	0	0	1402.14977367787
fc8130e0-0bfa-bba4-e040-11ac0c48328d	0	204.663382594417	510.16091954023	0	0	183.1986863711	912	0	0	0	0	0	0	0	317.977011494253
fc8130e0-ad66-b82e-e040-11ac0d485e0e	0	213.941705257423	320.912557886135	0	0	182.950149822937	537.35358213021	0	270.926178153092	0	0	0	0	0	308.915826750203
fc8130df-8e4e-586b-e040-11ac0d485e08	0	221.744827586207	736.293620689655	0	0	0	889.499137931035	0	496.91	0	0	0	0	0	578.552413793103
fc8130e0-0fde-b756-e040-11ac0c48328b	0	0	681.941272430669	334.452079934747	0	0	659.377039151713	387.603384991843	0	0	0	0	0	0	395.626223491028
fc8130e0-a38a-23b9-e040-11ac0c48327f	0	3422.60911634967	0	0	598.869041407769	2357.95304273585	2012.24000379453	0	0	0	0	0	0	0	2156.32879571218
fc8130e0-a39a-23b5-e040-11ac0c483270	0	185.937183383992	381.925025329281	152.770010131712	0	0	398.006079027356	127.140830800405	0	0	0	0	0	0	242.220871327254
fc8130e0-ad63-b804-e040-11ac0d485e10	0	0	474.630464668683	168.046191916415	0	0	637.175144349739	147.540555402805	0	0	0	0	0	0	391.607643662358
f7d77a03-28a0-f446-e040-11ac0c4866fb	0	0	456.96	0	0	242.915555555556	703.36	0	257.848888888889	0	0	0	0	0	466.915555555555
f393baf9-2710-9203-e040-11ac0d484504	0	1091.94236848504	0	0	695.28167301613	2090.84704547297	739.799708194861	427.173056658831	0	0	0	0	0	0	1125.95614817217
f393bafd-1baa-e5f4-e040-11ac0d48450b	0	1485.03877703207	0	550.683072334079	415.269202087994	1428.36556466982	1339.09271687795	571.747452150137	0	0	0	0	0	0	262.803214847951
f393bafe-c99f-3725-e040-11ac0d484514	0	1295.75480030722	0	0	524.495967741935	1193.8527265745	681.844758064516	0	494.025249615975	0	0	0	0	0	1013.02649769585
f393bafe-7503-5c45-e040-11ac0d484511	0	3513.1498550843	0	0	0	2443.99559129689	2345.93558394906	1222.24794872842	1064.15120218802	0	0	0	0	0	1666.51981875331
f393bb01-6ed7-9533-e040-11ac0d484521	0	827.561890909091	0	1104.08378181818	1628.57367272727	1521.87229090909	806.522181818182	458.365090909091	0	0	0	0	0	0	541.021090909097
f393bb05-53c2-f80a-e040-11ac0d484528	0	369.036137351927	823.543859649123	0	0	260.939721097616	1001.02309191783	289.095066726646	308.703253861149	0	0	0	0	0	300.658869395709
f393bb0c-4178-ca4a-e040-11ac0d48455f	0	0	299.412322274881	247.668246445498	420.985781990521	294.890995260663	369.744075829384	0	0	0	0	0	0	0	487.298578199053
f393bb05-c737-4cc3-e040-11ac0d48452a	0	0	645.41851304776	0	0	232.592319054653	258.771541112752	505.460364352536	0	0	0	0	0	0	402.757262432299
f393bb0b-08ed-3335-e040-11ac0d484554	0	941.870033222591	1756.95946843854	830.562657807309	1510.88531561462	1934.65196013289	1634.17196013289	1310.73169435216	1136.53315614618	0	0	0	0	0	211.633754152819
f393bb08-4121-cad8-e040-11ac0d484535	0	3015.92911895524	0	0	0	2517.85369546702	1502.21945679947	1006.64190404088	929.707485568279	0	0	0	0	0	1585.64833916911
f393bb07-270c-2c93-e040-11ac0d484533	0	2838.03510400175	0	0	962.342359556696	2044.66506523994	1289.28880275154	596.902221979582	658.392149369438	0	0	0	0	0	767.374297101054
f393bb0a-9b20-a0e5-e040-11ac0d48454e	0	0	656.129883307965	404.19604261796	515.888381532217	1279.7037037037	847.960223236936	0	823.41796042618	0	0	0	0	0	408.703805175042
f393bb08-5b50-e009-e040-11ac0d484537	0	590.806540924035	1270.1590240526	920.977850839246	0	0	924.979927323066	401.208167503028	1088.06454403876	0	0	0	0	0	585.803945319265
f393bb0a-df7d-645c-e040-11ac0d484550	0	0	595.785669608729	2898.82271179373	2417.68823406769	0	604.797553686844	0	0	0	0	0	0	0	686.905830843008
f393bb0c-3ffa-cb72-e040-11ac0d48455c	0	296.411519364449	351.988679245283	164.228003972195	0	271.877457795432	686.953723932473	239.33227408143	338.469910625621	0	0	0	0	0	171.738430983117
