ICGC-Esophagus_common_SBS2+13	ICGC-Esophagus_common_SBS28	ICGC-Esophagus_common_SBS93	ICGC-Esophagus_common_SBS18	ICGC-Esophagus_common_SBS17_a	ICGC-Esophagus_common_SBS100	ICGC-Esophagus_common_SBS1	ICGC-Esophagus_common_SBS17_b	ICGC-Esophagus_common_SBS3+8	unassigned
3bb4c27b-4d0d-4d13-b910-41a9ebf95880	4422.99003749105	2266.26346939635	0	1999.17349087999	3590.20948649901	0	2021.68107333923	4494.01396436244	3340.62540545095	1612.04307258098
cb753e6f-5ea3-4b58-9db3-7a62d15c8b2e	0	2382.42548377493	2000.8573384936	4677.33533789818	2590.46263768979	1616.78874665079	5002.39339089015	0	4080.72878832986	2846.0082762727
bb5bedd3-d8fc-4739-8e6b-9e37223f8be2	0	0	0	3126.65707574868	6547.08055303475	0	2393.2436876101	3910.702556985	0	2804.31612662147
ba096d4f-5a6c-4c31-ae03-e7483cf58c38	4466.25034081614	0	0	0	0	4753.04167045351	1110.69185676634	0	0	665.01613196401
9bb9164e-ea1b-49ab-bbcc-f59cf8c32345	0	0	758.494666564347	830.732253856189	0	673.715831478781	1688.55360294682	0	2065.29268667025	520.210958483613
7c5c2293-3f40-4ae3-8346-6a327b2abf4d	0	20945.1558958734	0	0	20000.8783675433	7141.09880799658	0	15796.1425726962	0	10970.7243558905
a37a825c-d74e-46cc-92ef-b65016857b4a	1527.58590785908	2946.20135501355	1646.05379403794	1583.57073170732	4624.24647696477	1901.48455284553	6375.7716802168	3659.50799457995	0	1558.57750677506
96a2896c-1e32-4827-a526-6b7104832f9a	0	8720.95956912376	0	2740.22915660323	10268.3477441793	2933.02671239494	4201.98517051493	9260.79272534055	0	3342.65892184329
09497b9b-6fca-48cb-af97-161a3e434a51	1690.83412298885	0	1330.04945217649	0	0	0	1923.01732306781	0	3946.1136116869	1248.98549007995
b02b4bba-6e66-44fb-a48f-38c309aaaac5	1673.11338053996	1234.45256298135	1582.08000677067	1061.88929951759	1122.411487573	0	8325.55223291111	0	1307.47933534573	1423.02169436059
47874ff4-0b1c-4a31-9192-2a10e93ce9a1	2170.33319671081	0	2445.81202448959	2989.77021799831	0	0	5292.09327048697	0	3635.220611215	2983.77067909932
31f3ff14-7d74-447c-a5da-9ad8336c3f3f	0	2903.78228480651	2438.41652143066	2327.3292101732	6051.25610376791	2926.80037632833	2910.78779092185	5920.15306075235	5924.15620710397	1041.31844471522
35dc84c1-476c-4d48-ae23-622bf6e043ac	2084.05334846765	3740.80079455165	3353.97650397276	0	11581.7391600454	0	4466.97094211124	4674.37673098751	3362.47264472191	1959.60987514188
9749a9a5-cb7f-4038-a5f9-5e2d6b97c689	0	0	887.731161939616	3539.94034766697	0	1309.12885635865	3777.10137236962	0	2392.58027447392	1736.51798719122
6a0d0c42-1884-4c6a-936a-678a822c0936	0	14270.3180549004	0	4724.93975750003	0	2506.96803641324	2940.46250940293	10444.8668290133	3297.45795774738	1030.98685502272
4283773c-c04b-4f33-a398-f3566f6d293a	0	7204.65253001234	0	0	11932.7682411459	4491.65993492651	3152.91031826172	8158.47413889824	0	5160.53483675529
ded8b673-53df-4038-a375-7cd0fd2a1b9f	1863.16979785969	0	1212.13460166468	1616.84565992866	2193.93365041617	1059.24375743163	2584.15505350773	1710.27895362663	1873.16266349584	594.07586206897
64623aaa-a274-4baa-8b71-958d9c8df733	11350.4240189997	6759.63468150721	4704.83378823863	0	8171.6850519301	0	0	3814.4867604835	16741.5252915529	4901.41040728796
dd7d623b-b9af-4147-9aa6-e09793691f10	0	5047.95954114576	0	4819.50662865778	7362.48248385767	0	2880.40630581124	5862.79159225168	0	3136.85344827587
a08c196e-4f96-4b16-94b4-aa6a0153ac50	0	6256.50090744102	0	3470.94924184767	25096.9412797846	8414.10450207833	6626.67554592822	4866.22287922253	0	4999.60564369763
ce799e7b-30e7-44a5-a185-3e50d5e059ef	0	1235.1773685717	754.719397004103	1038.99036351493	1521.4502432974	1394.32907165347	1117.06478389467	1904.31518939033	1342.77993512069	182.173647552707
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	0	3222.74096057833	8807.08967493139	0	8492.67592267985	2434.20328574364	3772.46436817737	8497.6825110915	2955.38913939628	3232.75413740164
e7a0889c-dd8c-4230-9c63-384f1f6ee577	0	0	0	4215.74768972277	3995.31643797256	1257.96107532904	4344.49957994959	2800.4788574629	0	3064.99635956314
6495e68e-1434-45d3-a03d-f286447dda79	0	0	1753.49166787422	5208.9899289958	2345.32009853644	2824.18127807564	3701.92682219968	0	2488.77851036082	2374.3116939574
35eb6ecf-9514-4416-94b1-02200c0a1571	0	0	1807.29866123079	4458.23673626797	0	1274.71064955099	6526.57853561787	0	2342.38708611096	1744.78833122142
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	4070.14786607503	2623.33944332392	5607.38181524808	3528.09429608713	0	0	4715.61626462283	2930.58639774102	5346.0970068576	2140.73691004439
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	720.02821877581	0	1122.32334587501	3244.38010461595	0	927.180187207488	3105.77842525466	0	1254.42025328072	530.889464990361
fab0be4b-c84a-45cd-a76f-44d9a8bf1846	0	0	0	3432.19412519241	1240.33499230375	3676.95756798358	4315.64499743458	0	3534.30402770652	3311.56428937916
9258860c-a336-4075-996d-2ee0c18b281c	0	4169.42382666204	0	3222.94111843908	5247.90412335349	1944.96446644865	2216.95949723222	7507.86283501105	0	3057.94413285347
b757a040-3c9e-45e7-a045-9cd08db11d62	0	8716.87201660325	3608.29124870287	0	11299.1491470808	8592.93071055362	0	16973.9617688289	0	5711.79510823056
