ICGC-Head_neck_common_SBS1	ICGC-Head_neck_common_SBS18	ICGC-Head_neck_common_SBS17+18+100	ICGC-Head_neck_common_SBS2	ICGC-Head_neck_common_SBS3+8	ICGC-Head_neck_common_SBS127	ICGC-Head_neck_common_SBS13	ICGC-Head_neck_common_SBS3+16	ICGC-Head_neck_rare_SBS31	ICGC-Head_neck_rare_SBS4	ICGC-Head_neck_rare_SBS33+95	ICGC-Head_neck_rare_SBS33	unassigned
b86e88e7-0d5f-4b32-a35f-dc97251ab990	3064.72173170037	1333.42808316719	984.855596696098	941.598405012817	0	0	2009.4474508687	0	0	0	0	0	495.948732554825
a315b798-f037-48d5-91ed-e733e3bbd6ee	3980.43318296327	0	0	0	0	4923.82482863671	0	4621.51977268733	0	0	0	0	3532.22221571269
0e6ca8dc-0f31-4675-95b1-5920576daeff	1564.19892104812	0	0	714.342695667066	572.783952731632	613.085374207912	0	0	1898.1969515328	0	0	0	520.39210481247
8294a969-59a1-4d3b-895b-f07e96bf9f7a	3826.96166484118	0	0	0	2238.373932092	7467.5582694414	0	2146.18800657174	0	0	0	0	2518.91812705368
c76f7fcc-2748-4b6d-805e-d21652dd5e3a	3156.27663626341	2342.75674050316	0	0	2680.30229527914	4804.38167785908	6313.55637967325	5721.22160970232	0	0	0	0	1.5046607196382
a8041e86-071e-46cd-8fb5-7ecdc1ab0553	1977.66417657046	627.89337860781	471.91986417657	0	0	0	1579.2318336163	0	0	0	0	0	1232.29074702886
dd67dec6-35dd-4efe-b913-ed4884855365	2257.30329985653	0	0	499.119846963176	467.580679100909	0	774.461788617886	456.56700143472	0	0	0	0	778.967384026779
3e604a1c-b95f-44ff-9723-e2fac845da3b	0	14947.918071148	0	0	13438.3807839095	0	0	12154.774242973	0	42369.0127865838	0	0	6804.91411538571
81598359-24d5-4a8b-a6e6-7a6f94289119	2284.12171414082	0	0	2742.04707970586	0	0	0	0	0	0	0	0	894.83120615332
6bbd66dd-efee-4d6e-b02f-f88e98526b82	573.004267566495	0	780.271834061135	2204.48173878523	739.019551409289	0	673.619591107582	0	0	0	0	0	98.6030170702688
ef673d3d-2031-4036-ba25-4bc7ef04075b	796.089109593765	0	0	2785.56038347472	0	0	2279.55031381475	530.05807297055	0	0	0	0	872.742120146215
9988eb07-01f6-4f83-8699-bb63e0525f08	0	9620.9417280643	0	0	7812.76120041676	3951.17222966436	0	6572.60859938974	0	22428.344961673	0	0	3412.17128079184
83eca7b5-45bb-44c0-8afe-36f8988d0078	1619.25346855412	0	0	5059.91689555602	0	0	6605.61342348053	0	0	0	0	0	925.21621240933
e2b5c926-491d-430d-8d9c-5c73d7752d1b	0	13217.1643911524	0	0	8991.41466436806	0	0	10009.6977542445	0	29923.5120676651	0	0	2875.21112256994
dfa20d2d-1ba3-476a-b4b9-21d21470bee2	0	0	0	10537.3524201584	0	0	35301.3580364961	0	0	0	0	0	3936.2895433455
c0812962-a345-48b7-aec0-01336c2d1eed	1342.16120906801	0	0	690.983375314862	0	0	0	0	0	0	933.899244332494	0	71.9561712846339
54e78de0-d357-4125-a904-ab35e461572b	1102.53517128021	2304.1184205611	0	0	2904.40980238335	1283.62307146326	0	4961.40827076096	0	0	0	0	834.905263551122
46d35b82-e1b7-4d35-be5e-3a70fd47e421	0	0	7784.64048133631	11117.1287043481	0	0	7383.5817246053	0	0	0	0	0	1017.64908971029
02c6a893-49c5-49d1-8eb1-195021e70d52	1348.93360927152	593.711920529801	0	487.045033112583	0	0	0	0	0	0	0	0	609.309437086096
1aff91a6-1b0f-4575-8f4b-4e064a50b886	2211.61533460038	2022.3755626688	0	722.099129738922	2363.50515154546	753.473091927578	1015.91877563269	0	0	0	0	0	868.012953886169
1727e88b-df0a-4af2-9191-8c6061d98ad0	2516.54021554169	3078.90119115145	0	0	0	1740.90459444129	613.667612024957	0	0	0	0	0	917.986386840613
c2124bb2-30e1-4093-9a8a-3a188a6dc0a9	2871.77659453519	0	0	0	1676.90972827529	3785.90969037784	0	3047.60984575738	0	0	0	0	1798.7941410543
08227616-02a5-46e8-9db1-f2d1d691ab23	0	0	0	3637.64334975369	935.536866995074	1197.04717241379	1610.5634679803	3477.63704433498	0	0	0	0	1829.57209852217
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	3499.28785280353	0	0	0	2681.45429177688	2044.08400430195	2912.40729006191	5063.9694212714	0	0	0	0	996.79713978433
ee963667-56b1-49bd-8896-e07b536d3014	1604.03946530872	0	0	501.137173774666	286.364099299809	0	0	0	0	0	0	0	754.459261616805
7e584ff6-0b81-4f85-81da-b8117afee326	2764.85465838509	2110.12587991718	749.189648033126	0	0	0	0	0	0	0	0	0	1617.8298136646
a0fe80e0-e3ac-485b-8a1a-4c80c101b874	909.723327895595	699.978792822186	0	883.318433931484	2341.5660685155	0	956.056443719413	1310.28058727569	0	0	0	0	534.076345840132
e52ffa79-557a-4024-81f3-f3826c227ec5	0	9914.23192452251	0	3596.76086522973	2537.59509089514	4585.38229654062	6533.60691876966	3833.90993326686	0	0	0	0	1611.51297077548
878a7fe7-20ff-4651-9587-b4d6fd42e929	1863.69056806002	0	438.751125401929	440.754555198285	969.159163987138	0	0	0	0	0	0	0	960.644587352628
c121de15-78f7-4698-91bf-fd0485c466c2	298.650952858576	103.602808425276	0	70.8304914744233	0	0	0	0	0	0	0	0	53.9157472417247
190eb791-383d-4e27-870d-e470630843e7	2737.06367407407	1329.23066666667	0	0	3939.62942222222	0	6038.36198518518	2183.34272592593	0	0	0	0	669.37152592593
d3709eea-ca2a-49ac-b79c-871a5473d450	3459.97901435148	0	0	0	0	7425.55090712158	8427.21608448416	1961.7404549147	0	0	0	0	931.513539128078
