ICGC-Liver_common_SBS16	ICGC-Liver_common_SBS12	ICGC-Liver_common_SBS2+13+107	ICGC-Liver_common_SBS35	ICGC-Liver_common_SBS28	ICGC-Liver_common_SBS4	ICGC-Liver_common_SBS102	ICGC-Liver_common_SBS22	ICGC-Liver_common_SBS1+5	ICGC-Liver_rare_SBS118	ICGC-Liver_rare_SBS133	ICGC-Liver_rare_SBS103	ICGC-Liver_rare_SBS18	ICGC-Liver_rare_SBS24	ICGC-Liver_rare_SBS142	ICGC-Liver_rare_SBS30	ICGC-Liver_rare_SBS6	ICGC-Liver_rare_SBS19	ICGC-Liver_rare_SBS162	ICGC-Liver_rare_SBS53	unassigned
f4025b40-a249-487f-8e93-7a140bcf57c1	1618.74923783586	0	1235.95382301532	857.161497500102	0	3724.37421243039	1296.00016259502	0	1868.94231941791	0	0	0	0	0	0	0	0	0	0	0	1708.8187472054
7eb0ee38-fbe2-49ea-ba63-aa13825eca6e	3375.82406721028	0	2130.86409686187	677.162342475908	873.41957005189	1259.44205584384	0	0	707.125277983692	0	0	0	0	0	0	0	0	0	0	0	1081.16258957252
8cf713ff-256b-4411-a1b4-5bf6f445b747	1806.7683800942	0	941.767356133525	818.339135777186	804.792135981978	2854.90477165677	0	0	1479.13168134344	0	0	0	0	0	0	0	0	0	0	0	1094.2965390129
d3b72600-a888-4ef6-ac5d-661c105405dd	0	0	0	1584.40801873101	0	2929.32994059483	8117.52874475125	0	1949.38683024052	9277.46140598696	0	0	0	0	0	0	0	0	0	0	1979.88505969543
468083cb-95c3-47c1-9d96-79bcf7bf3f26	5668.49530391636	2904.48520290626	3428.39234449761	0	0	7930.59436469963	0	7349.69732411838	0	0	6625.82562466773	0	0	0	0	0	0	0	0	0	2765.50983519403
352fbbb4-88a5-4354-b1fa-3a01da3fbfa7	365.181818181818	0	0	281.912337662338	0	0	411.331168831169	0	467.011363636364	0	0	651.107142857143	0	0	0	0	0	0	0	0	604.456168831168
90611290-e44c-438e-91aa-f3b83dae3b71	0	0	6599.63376912942	3130.06344380257	0	10857.7200770244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4080.58271004361
dcf45005-7e6d-4c26-9994-f973da7e814f	706.907242990654	0	0	0	585.251109813084	1587.03679906542	1783.2886682243	0	2227.3585864486	0	0	0	0	0	0	0	0	0	0	0	1681.15759345794
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	0	1271.54611484984	0	1305.6277608135	9710.26189558566	0	0	0	1791.7924164715	0	0	0	0	0	0	0	0	0	0	0	2826.7718122795
463bf060-8ba6-4a73-8173-172025f7b527	0	942.30756284073	962.271706121254	1564.68972961106	0	3134.86959862427	3645.95166660569	0	1460.87618455234	0	0	0	0	0	0	0	0	0	0	0	1930.03355164466
3bacc189-01b8-46cc-a442-f393c0f428c6	0	0	0	0	0	0	0	3124.12076383123	2382.1170654389	0	0	0	0	0	0	0	0	0	0	0	1122.76217072987
4624fd20-e2ad-4826-b606-a694b04e1076	920.798750221592	0	1038.45359865272	1126.69473497607	734.844265201206	4321.32299237724	1137.66255982982	0	1350.53806949123	0	0	0	0	0	0	0	0	0	0	0	618.685029250122
a2f143d6-ba07-4ff0-960d-b29c3c716665	0	0	1193.47739095638	479.191676670668	0	402.66106442577	0	0	1756.70268107243	0	0	0	0	0	0	0	0	0	0	0	1167.96718687475
41840dc1-5ea2-4f01-a0d4-8b65add641c8	0	0	1321.62328582952	0	255.067760150578	364.238773863942	0	0	1445.8870664157	0	0	0	0	0	0	0	0	0	0	0	355.18311374026
f7e9eed5-7a0b-4b2d-bea3-fd8c42a3b90e	0	0	1800.06225221426	0	425.751244200759	537.317081400253	0	0	2186.29017292282	0	0	0	0	0	0	0	0	0	0	0	981.579249261908
2bff30d5-be79-4686-8164-7a7d9619d3c0	1029.33279352227	1908.04372469636	1789.94817813765	1083.87692307692	1233.9983805668	3348.70931174089	0	2512.03238866397	1625.31497975708	0	0	0	0	0	0	0	0	0	0	0	918.74331983806
992d9566-b1da-421a-bf36-d23382b115fa	882.125658925773	0	1479.21071377689	759.108135061975	1277.18193474854	3248.96281521584	0	697.599373130076	1233.67573728451	0	0	0	0	0	0	0	0	0	0	0	952.135631856396
c1d9ed06-7498-4c6c-a0de-dbf28e868109	0	0	1319.16871704745	838.78935475772	1106.72206879237	1134.21516444891	1071.23098167211	0	1659.58322872207	0	0	0	0	0	0	0	0	0	0	0	834.29048455937
305a5074-5384-45a0-985d-289b178d09f6	822.055685603673	864.53272710903	1411.73696767804	923.500855316467	0	2662.56090753579	1859.99468803457	0	1346.27235076978	0	0	0	0	0	0	0	0	0	0	0	1210.34581795265
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	736.030884860734	0	1166.92711425504	800.164277142677	878.827891113497	1139.87083938609	1068.22181519611	0	1446.00757910693	0	0	0	0	0	0	0	0	0	0	0	696.949598938922
47e5ff56-9534-4fcf-a593-33027e877f93	0	0	3411.46314414195	1595.51507049101	1135.65483714147	6640.981587263	0	1589.51689353427	0	0	0	0	0	0	0	0	0	0	0	0	2077.8684674283
d6ccfd6f-2ea9-499d-a25d-4ba9d4a9258e	1153.05304220621	0	658.242888876849	964.553936175977	796.107926531939	3184.43170612776	909.407921113941	0	1129.99198136208	0	0	0	0	0	0	0	0	0	0	0	457.210597605244
c016d025-3c92-41c5-b846-493b1fcce79e	842.729907773386	0	1409.06447079491	0	674.183926218709	0	483.064822134387	0	984.18814229249	0	0	0	0	0	0	0	0	0	0	0	1317.76873078612
36e1d9cc-32ec-4a0a-8fb1-c46f058a6fb8	900.08574845892	0	2521.33958965866	801.631060815162	996.54135615052	1856.14573557825	1169.96154200018	0	2170.50105805502	0	0	0	0	0	0	0	0	0	0	0	447.793909283288
c285c2fa-24b4-47a1-874d-86e74b002b05	0	546.650725330783	725.691375737287	560.191614857325	441.834210106807	0	1477.96301610075	0	1906.75785110792	0	0	0	0	0	0	0	0	0	0	0	632.911206759128
b9f03936-1de5-4330-8b0f-6d0ab533876e	0	0	696.184921381535	0	0	384.310173363795	0	0	1352.12793979304	0	0	0	720.833086950679	0	0	0	0	0	0	0	589.543878510951
9c681cd9-25fb-42ac-aa6b-bb962882fa22	0	0	811.285839929639	679.901495162709	1202.94107299912	742.846086191733	757.832893579595	0	2389.89621811785	0	0	0	0	0	0	0	0	0	0	0	799.296394019354
4c3eda94-56f4-46d3-8c88-50d476e773f6	799.626666666667	0	0	0	568.512	822.688	316.341333333333	0	377.002666666667	0	0	0	0	0	0	0	0	0	0	0	499.829333333333
c05adc19-2e01-4712-a35a-69eee4d40998	0	0	3433.27786965662	1523.90402242467	1665.70898388227	4721.50604064471	2806.14043447793	0	1732.11764540995	0	0	0	0	0	0	0	0	0	0	0	1930.34500350385
484a41c8-fcaf-488d-97dc-bfe6a4b88a95	0	0	3085.86765698852	1015.62100329666	955.1137943361	2839.33828494261	1181.64078325456	0	2155.25678198356	0	0	0	0	0	0	0	0	0	0	0	1357.16169519799
6b25a78f-20dc-4ccc-b4c0-f9885d16725d	0	0	1766.77302591801	1449.27469869805	0	5909.77564593494	0	0	1263.48309081382	0	0	0	0	0	0	0	0	0	0	0	2034.69353863518
