ICGC-Lung_common_SBS4_a	ICGC-Lung_common_SBS17	ICGC-Lung_common_SBS18	ICGC-Lung_common_SBS1+5	ICGC-Lung_common_SBS2	ICGC-Lung_common_SBS13	ICGC-Lung_common_SBS4_b	ICGC-Lung_common_SBS92	ICGC-Lung_common_SBS3+8	ICGC-Lung_rare_SBS28	ICGC-Lung_rare_SBS33	unassigned
020fab36-c7de-4933-b2bf-dc7b019a1326	0	0	1401.01410883962	4531.51454074287	0	948.864094442845	0	0	2010.39015260582	0	0	1542.21710336884
09bc8542-4ea1-4599-91b3-d606425b37e2	1287.72450705958	0	3659.50536774432	1882.17465932511	1295.2491925313	6851.97859054416	0	0	0	0	0	1331.36768279553
6726c157-f688-491d-8b56-35628645df89	5011.5445691459	0	1272.28841544607	1189.17158074948	0	0	3083.33414494959	904.771809016549	0	0	0	1699.88948069241
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	0	0	0	440.984402079723	0	0	0	0	0	0	0	148.015597920277
5a7f3c88-ef02-4e97-8009-5622245b6a09	0	0	0	1142.28059772296	0	0	0	426.411290322581	200.162476280835	0	0	346.145635673624
309f5324-5608-4f62-b744-5ab268b70927	0	0	0	1536.20671834625	182.091300602929	0	0	0	0	0	0	617.701981050821
bf7462a2-394f-4838-bcb6-4d0126fa48b1	0	0	954.284974093264	2733.91105354059	625.151986183074	0	0	0	1291.44559585492	0	0	786.206390328152
fa6a60f5-8949-4e01-9435-d3117601627f	0	0	538.475385673578	2995.7716419377	500.299891913137	0	0	459.612852510563	0	0	0	617.840227965022
2bde43e2-fd4e-413e-adc7-c50bca75d358	27196.6864554037	0	0	0	0	0	12708.3717822403	0	8014.24792648192	0	0	7964.69383587408
23d86395-9e20-4cf9-bf7e-f76544a1f772	1954.34337056824	0	0	1163.69305488101	2558.22195240408	3523.12578921807	2545.20301117047	0	1699.97328800389	0	0	989.439533754239
0176cf1d-0760-4769-a493-277f4bb7585e	16058.5357074387	0	3288.7905123658	0	3022.84788391488	0	9694.40863449003	2832.38897143405	2846.38595187883	0	0	3975.64233847771
37d0cf1b-1743-4852-8073-372b16b5c17d	0	281.647574517826	0	2882.24371712449	0	0	0	0	0	0	0	1131.10870835768
fa2c3620-7e82-4b12-b135-87986f0f2890	0	0	580.05125939019	2931.75908086611	755.066725585506	0	614.554308440124	492.043482103403	0	0	0	284.525143614667
14bf9bfb-14d6-4cac-a556-828f680e8a15	3102.75646861524	0	0	3187.23622424533	3495.16243411596	2435.91626736943	4628.89075227599	3312.20627695256	3607.13560134164	0	0	1268.69597508385
53d32d8b-5649-42b0-8c52-2c39af2a961b	9477.78403024911	0	0	1866.60859653025	0	0	6985.63367437722	0	5467.60559386121	0	0	3223.36810498221
52910a60-bb15-4ba5-9d09-50d8ee6a445b	0	0	1293.72628083491	2194.58017077799	595.064041745731	0	0	0	0	0	0	1191.62950664137
dd09c7aa-744a-413d-839f-e75e1825f9f9	0	0	0	2222.37359339835	600.50512628157	368.881720430108	378.469617404351	0	0	0	0	465.769942485621
de614a3e-1c0d-49c7-a2f1-28bc58e6e5c7	11635.2133473387	0	0	0	0	0	10888.3009338533	0	6326.22799545304	0	0	5941.25772335496
199bbb0f-996c-40c1-b06d-2066f04be778	14114.8531715251	0	2574.06440635556	0	3501.58761416239	0	10183.2547979482	3138.57853121481	0	0	0	6453.66147879394
fa8844f8-c4b6-487a-8187-e30c12a7a453	3646.34961646321	4085.33151187727	0	0	0	0	6674.7247195645	4454.81627350709	2298.90518805675	0	0	3086.87269053118
46693a2b-5105-4770-a9e1-031dfedeb694	7682.54624142144	0	2899.55453164788	0	17339.4060041337	2635.41395178879	7589.1732954221	0	2660.8793006977	0	0	2920.02667488839
68c2a355-862c-4657-b296-5776ed8447b0	0	0	0	1276.85498353786	0	0	0	0	0	8132.80205527287	0	735.34296118927
53bb7112-3e38-45fe-a9c4-1b0871babf4a	30203.0938126881	0	0	0	0	0	15968.0024448345	5127.17496238716	4498.66317703109	0	0	8063.06560305915
bd3e88b3-b37c-4641-85fa-d8125ba324ca	58255.1944438617	0	11268.440895549	0	0	0	100397.973399457	0	0	0	0	20731.3912611323
0b19bee7-5281-4915-9d98-c20eb3e84ecf	38319.2278275829	0	0	0	9257.61473723341	7741.62214172711	15897.1518029272	17045.7827064224	20830.5090211199	0	0	6695.09176298708
bce88385-4a1b-4a8c-920c-060f6a2675d4	13934.0929580309	0	3271.16968262338	0	7456.74702985292	5023.99268541683	7985.19366817371	2607.23672548998	0	0	0	4285.56725041228
49dec0c2-8e75-4f44-a253-82b2ea605890	2935.45429217101	19653.5415905643	0	0	12641.4563972386	8980.88988638826	3247.50258489924	0	0	0	0	1003.15524873859
9c7b3ac8-1352-49cd-8a8c-df6b19f6fd64	0	0	0	361.662198391421	0	0	0	0	0	0	0	208.337801608579
3b20d548-2a7d-4031-85a1-425ca7201d7a	43980.5167947831	0	0	0	17071.2169842253	22485.1886407519	23072.9026740501	17788.478195927	26821.267751102	0	0	13534.4289591606
23d77176-dfed-4bee-ac96-9934377d8d81	32364.9028939452	0	0	0	10279.651540189	0	28001.5508029321	9495.6781153341	23707.196373035	0	0	14152.0202745646
d9cd7f95-07d3-4b87-be83-87340b08d249	0	0	0	1323.00752718149	150.536938946195	0	0	0	228.836353498745	0	0	109.61918037357
15e097e3-e468-466c-8e57-b59fba90bbf2	7833.20246791008	0	1910.37890929721	0	0	0	4902.98971704134	2471.9614211758	1938.83242323239	0	0	2059.63506134318
d5443922-fea5-4ff0-bd6e-8ce04e1951d8	32459.757155805	0	0	0	0	0	14514.7249948835	7514.43528345467	0	0	0	14003.0825658568
cd0aeed5-93a1-4287-8a88-fe6b7b5e3983	0	0	1442.13762801871	2742.4174358326	1623.59533442913	741.871285876849	0	0	839.116576052598	0	0	539.861739790113
9ffcb7fa-424c-4f93-87a7-ce5e9053c613	17553.2443207327	0	0	0	0	0	14164.4053355681	0	9255.94804106432	0	0	9229.40230263488
b7f11036-7ac4-41bc-a9a4-64162725fdfc	0	0	0	2323.61126861977	16068.5578056793	12912.5110481076	0	0	0	0	0	2064.31987759333
c437535b-2acc-4236-beae-94e2c1336830	2628.18597943316	0	6793.8107913218	3206.78661901179	0	0	0	0	0	0	0	3308.21661023325
34881c6b-f59f-42c0-9f29-9c5c47262ae6	4372.4001255978	0	5999.1070479687	2293.49669098111	7191.12506642191	3155.87145548524	0	4247.34578039708	3077.33732669919	0	0	728.316506448973
369c06f2-8904-49cb-99d1-dd297ed0cd0c	0	0	2849.56719898056	3160.35639725619	2342.91085323862	5165.99601442399	0	0	3829.4025974026	0	0	1080.76693869804
a762dd44-a8ac-4269-8163-bbf6d0f8d4b3	11002.9266839075	0	4331.65218224195	2668.20972084757	4508.69927524664	4869.79532369124	3514.93494247736	8236.69088896693	7119.39369751924	0	0	741.697285101567
43aa4123-0fe2-4071-8a81-cbdd0410b917	4239.72994102931	0	2531.82456218728	2150.89959345961	1398.56026626162	0	0	6877.67289135097	2795.11829878485	0	0	2415.19444692636
