ICGC-Pancreas_common_SBS2	ICGC-Pancreas_common_SBS18	ICGC-Pancreas_common_SBS13	ICGC-Pancreas_common_SBS1	ICGC-Pancreas_common_SBS5	ICGC-Pancreas_common_SBS3+8	ICGC-Pancreas_common_SBS1+5+18	ICGC-Pancreas_common_SBS17	ICGC-Pancreas_rare_SBS28	ICGC-Pancreas_rare_SBS139	ICGC-Pancreas_rare_SBS26	unassigned
03c3c692-8a86-4843-85ae-e045f0fa6f88	2963.4183491938	1142.66131081806	1097.15488662356	0	1507.71284556519	3786.53454945924	3037.42879733431	3587.50645243272	0	0	0	586.582808573119
748d3ff3-8699-4519-8e0f-26b6a0581bff	410.5	0	0	1493.5	624	425.5	515.5	0	0	0	0	448
bbbc531a-dd41-40b7-ae59-e35508aea0c7	0	182.661111111111	0	987.667592592593	230.572222222222	295.451851851852	269.000925925926	0	0	0	0	190.646296296296
05070acd-3ec1-44bb-9c32-26d3a483a72a	422.677769084609	392.092544987147	0	2319.96445736001	0	0	781.176707276182	0	0	0	0	570.088521292052
ee8ba991-8c96-476e-b096-49f3aaaffc2f	626.873484798304	893.03205934954	479.285553421209	2384.92091143936	784.967675697158	710.923560972379	0	1189.70881632112	0	0	0	483.28793800093
ee5d5e7d-78cf-4a29-a9ee-56aa3da877dd	401.20060030015	407.218609304652	274.822411205603	868.09779889945	702.602551275638	765.290145072536	351.050525262631	0	0	0	0	239.71735867934
a2238b5f-0513-487a-9b1b-7bef85ebf336	0	1091.76966884623	431.408985446108	1085.77093440202	517.39084581312	489.896646277157	870.316388947479	0	0	0	0	253.446530267886
7fcd8af9-4d73-4c97-95cc-b30b09f21bb2	575.79805202811	569.249167796819	0	1234.21279743558	497.715201578104	942.031808654913	0	0	0	0	0	266.992972506474
8454fe53-869d-41c8-b0c8-a7929d00eec3	0	1690.15577948327	597.29193274357	820.775323686215	1019.70560665534	1847.99718788447	0	2550.51672622884	0	0	0	26.5574433182956
cafe9603-a804-48fb-9217-e2d1c3c346c5	1270.59113652609	1864.16654753395	0	2730.04717655468	917.84345961401	1120.69835596855	861.883488205861	0	0	0	0	321.769835596859
b37d6283-6f95-4975-a794-f3d5c4bbc7b3	486.972631578947	0	0	497.949473684211	654.618947368421	398.16	633.663157894737	0	0	0	0	409.635789473684
20d1b88b-3ff6-4201-a748-6a993500c652	0	524.088145896656	247.56925749023	416.275727312202	513.107251411203	0	0	0	0	0	0	597.959617889709
4db9e471-0068-4ec6-9bcb-33ef5fdec33e	349.375511082419	562.104153217129	0	1683.30923176243	560.102001291155	637.685388422638	534.074026253497	0	0	0	0	325.349687970732
84a6ea88-eeb8-4060-a90c-e4abac013ad4	0	1231.99918929874	885.561815970815	0	0	4017.97466558573	1620.36846372112	582.05472233482	0	0	0	1514.04114308878
1447c8cb-25d4-4092-8919-4df08f898d2d	0	897.681976969854	0	956.399534221762	496.113598136887	0	793.184629318152	0	0	0	0	702.620261353345
5b41e033-6df8-411e-a13b-59eeb8afbf9b	0	770.711375584112	0	3697.71634053738	571.415303738318	0	612.872882593458	0	0	0	0	1188.28409754673
1e181878-c640-4e91-a620-3fc4b08a4de1	0	456.413417951043	1191.07887579329	0	923.836808703536	2674.42248413418	758.687216681777	0	0	0	0	619.561196736174
cfe0bf13-2ff4-4164-9b6a-cd3615bf3ddc	0	705.54006514658	515.164169381108	863.93680781759	931.392833876222	1194.22149837134	873.930293159609	0	0	0	0	284.814332247551
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	0	1156.85492505353	0	0	1182.89668094218	344.051659528908	415.165685224839	0	0	0	0	643.031049250543
2102558b-87b0-447b-bb9a-e4ae9df8b75e	0	795.729578341372	0	1614.00816866345	0	1088.36564493543	1545.8600435662	507.10222498833	0	0	0	889.934339505218
3c86ba21-7b11-4ec7-9d20-a2325197c676	5471.98017795353	0	3709.38324270885	948.048294611962	0	0	0	0	0	0	0	23.588284725658
654dba9f-cfe5-4121-97c7-868613cdef53	969.365101904444	1017.80838623455	772.096057467424	440.484296692282	1216.57567657868	1222.56866020715	0	0	0	0	0	340.10182091547
1f81a1b0-8089-44ef-87b5-b3359a407ad2	0	349.446156216299	337.448004929903	677.395624711138	788.878447080573	597.907872438761	0	0	0	0	0	493.923894623326
68ba1105-569a-4209-9b45-0e2d64931806	0	740.467886259694	0	1598.77152515411	961.659574468085	542.743487770929	576.696162258898	0	0	0	0	601.661364088284
33070975-0f35-4518-9ffb-4c6170c32534	0	704.030791094268	0	2312.52818569398	489.564471814306	801.743249644718	532.157081951682	0	0	0	0	448.976219801046
7f42e118-aab6-438a-9e84-e7451fe12d7e	645.0722513089	0	0	771.380104712042	747.822687609075	826.013263525305	1303.17626527051	1000.93961605585	0	0	0	449.595811518318
ec646623-6d33-4fbd-888e-89f55d82eb11	1370.31648209406	1659.067093341	0	1309.8686897742	1797.94714511722	0	0	0	0	0	0	809.80058967352
