ICGC-Prostate_common_SBS5	ICGC-Prostate_common_SBS3+8	ICGC-Prostate_common_SBS1	ICGC-Prostate_common_SBS18	ICGC-Prostate_rare_SBS6	ICGC-Prostate_rare_SBS154	ICGC-Prostate_rare_SBS33	ICGC-Prostate_rare_SBS52	unassigned
f601cf2f-081f-484d-ab0e-21a8ec8d3770	0	0	1245.1748289136	774.272348160821	7390.55282292558	0	0	0	0
ad007b59-46f6-48b9-958a-2b9d28cca3b7	907.427309996846	3162.50409965311	1834.34232103437	0	0	0	0	0	433.726269315674
4b44b313-6f74-4233-bec4-7e41c91c77f1	395.159789644013	359.145226537217	881.356391585761	837.33859223301	0	0	0	0	0
39e32615-0160-4f13-b330-50748f5d87ed	378.628983764281	257.567348165965	686.514131088394	334.289536981359	0	0	0	0	9.09494701772928e-13
bd3028c7-1fde-401d-a6b2-5f8e61eb4aa1	0	240.284023668639	1028.21538461538	293.847337278107	0	0	0	0	129.653254437874
3c92c0e9-68e0-4354-8ed1-b6506878145d	213.812977099237	341.297709923664	607.309160305344	415.580152671756	0	0	0	0	0
dd5ed858-0623-4387-b1bf-109175c32ef4	0	0	746.699875466999	267.496886674969	0	0	0	0	185.803237858032
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	213.83255086072	336.736306729264	600.529733959311	0	0	0	0	0	125.901408450705
6fe135ef-54b4-4941-9bb9-872dc4d18d9f	301.730385548665	489.685359935293	830.009166891345	237.575087624697	0	0	0	0	0
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	297.161613004064	206.417630509534	778.304157549234	313.116598937168	0	0	0	0	0
3e7a30e6-2202-40bd-bfc1-0383604050da	282.754385964912	131.918859649123	499.798245614035	447.52850877193	0	0	0	0	0
edeea137-080d-42d3-a0ce-5cfe0d4a68e7	228.483734087694	0	847.794908062235	245.519801980198	0	0	0	0	95.2015558698731
de4faf55-1bcf-427f-b019-829bb4b64ff1	273.574706364381	254.569516525539	1028.28079759629	274.574979513794	0	0	0	0	0
8930735a-4eb4-4489-8513-d4b600c316ab	285.745629370629	310.138548951049	430.609702797203	0	0	0	0	0	112.506118881119
b0c61486-b061-4b6b-ac02-130a3ea0b080	106.027139874739	0	113.636743215031	0	0	0	0	0	23.33611691023
d74be531-b0fd-42c3-954e-4a4f7eef922a	0	258.598928434749	678.75966322235	249.595484117872	0	0	0	0	120.045924225029
b4aea804-fc6e-4d58-906f-f3a932ca9dc5	0	172.602240896359	938.27380952381	211.738795518207	0	0	0	0	110.385154061624
e6772001-dffc-4fb4-86e9-6c395edd176d	181.245923913043	215.292119565217	880.194293478261	197.267663043478	0	0	0	0	9.09494701772928e-13
54319e3d-c28f-4ba1-9c87-299d303e4de3	374.733853797019	138.901348474095	773.450674237047	0	0	0	0	0	120.914123491839
cd29af7e-d670-4d8e-83e2-da6e52abda71	358.044181345654	511.706901530465	713.577533930118	0	0	0	0	0	155.671383193763
4508ce0a-5a2e-4502-98e9-2fd76c4eebef	139.393348623853	286.280963302752	625.521406727829	255.804281345566	0	0	0	0	0
41c565a9-d44a-447f-85c0-98f23bfee1b3	0	0	1259.93256262042	949.865125240848	0	0	0	0	145.202312138732
b3f1d232-4392-4258-9256-d38ff4b59f94	840.188553259141	1933.88659247483	866.741918388977	1086.18293587705	0	0	0	0	1.81898940354586e-12
ec16d1f5-f8a9-4c19-8cce-92f6ea9eb3f7	0	855.602036299248	2005.05223550243	1647.34572819832	0	0	0	0	1.81898940354586e-12
