ICGC-Skin_common_SBS17	ICGC-Skin_common_SBS7a	ICGC-Skin_common_SBS3	ICGC-Skin_common_SBS38	ICGC-Skin_common_SBS155	ICGC-Skin_common_SBS18	ICGC-Skin_common_SBS1+5+18	ICGC-Skin_common_SBS99	ICGC-Skin_rare_SBS163	unassigned
9e0009d1-c993-4247-9706-88ee84591dec	0	0	3819.08447573175	0	4289.90996665432	3240.29899962949	0	0	0	2140.70655798444
b35d9a68-29f4-49ab-b83e-b5151679e3af	0	5112.29260350442	1380.714064196	0	6842.06078461777	2217.34377422856	1873.29043262521	0	0	1924.29834082804
1ac15380-04a2-42dd-8ade-28556a570e80	0	576.091209275022	2204.76262107426	0	1220.2522747285	900.924567067802	898.421998825947	571.586586439683	0	448.960742588786
35a74e53-16ff-4764-8397-6a9b02dfe733	0	0	461.095544041451	851.176373056995	725.150259067358	619.12829015544	1488.80849740933	362.075025906736	0	318.566010362691
74e5905f-6350-498a-9454-9ea0593d2f56	0	531.498699242167	0	2847.52935188327	0	0	0	0	0	1053.97194887456
b3befa40-8f44-4eb6-ada0-ec395f460656	0	0	0	1322.48592839301	1610.87382736608	3112.29020260894	935.136497363308	1675.34876491812	0	347.864779350542
20e02396-e676-412d-9724-44a428919cdb	0	0	1086.4225132927	0	449.174685514201	364.641810400726	1299.00518739463	0	0	657.755803397743
7f031d71-3cb7-4744-86bd-a3beecfe166e	0	552.361284361284	0	302.150612150612	0	301.151767151767	423.51027951028	355.58881958882	0	227.237237237237
ca004926-f3ac-4824-8ed5-d84e62efdfae	349.379772961816	734.747162022704	2079.78431372549	0	731.248366013072	566.804953560371	1073.63054695562	0	0	276.404884760927
eb9a8f12-6451-43cc-95b3-2e86cf704c96	13707.1972834105	0	0	1423.5724169507	0	0	0	0	0	4527.2302996388
2790b964-63e3-49aa-bf8c-9a00d3448c25	0	371208.631157961	0	0	0	0	0	0	0	12300.368842039
fc009c3d-66fc-4b9c-ae43-014607e3723a	0	122627.984678407	0	0	0	0	0	0	0	2386.015321593
d2620dab-4319-499a-b8f1-9575aaf8f4f3	0	48010.3512442666	0	0	0	0	0	0	0	3250.6487557334
1daefc49-5248-4948-87ce-0ec19a248ef9	0	97381.5312134756	0	0	6264.78865625123	0	0	6638.86560323582	0	3959.81452703735
ca8fa9f5-3190-440d-9879-22e33d05ca6c	0	210300.015653823	0	0	0	0	0	0	0	1658.98434617699
56ddcb96-e90b-4fce-aa4c-c677bbfee488	0	0	504.920741023682	2838.24388846448	0	605.80500381971	468.46256684492	0	0	812.567799847208
897ba508-d74b-46bf-8554-1210a66a36d1	0	58277.9393596749	0	0	0	0	0	0	0	4969.0606403251
83a1b304-2ec1-44ae-a9c5-8ad3a2a46a1f	0	50808.6135434964	0	0	0	0	0	0	0	2417.3864565036
7e22401d-f4cd-44c5-8a01-b08a439e5a31	0	42207.8789326235	0	0	0	0	0	2700.01905262819	0	1717.10201474831
12f1ae2f-2666-45be-9742-f502d212373d	0	82860.1484708166	0	0	0	0	0	0	0	7312.8515291834
13c62975-9f5e-4d40-a461-dceab08a31ec	0	237.008602150538	0	0	594.275268817204	0	546.67311827957	1072.80215053763	0	345.240860215058
3433b1f3-59d1-4ac2-9bbf-e0c4042b4ddc	0	1602.17232375979	2243.04125326371	0	1229.16657963446	2028.75070496084	0	0	4686.85472584856	2592.01441253264
e04bcdff-3206-4c25-bae9-09f0222b074a	0	0	1691.22454352442	0	0	0	1340.65978768577	432.196263269639	1350.17511677282	1082.74428874735
